应付职工薪酬,19300666.52,15067169.43,14883995.90,15488944.60,12914874.69,11422653.42,17650641.45,11600425.91,13430628.69,15498243.13,7921062.41,0,
应交税费,40967121.73,73313694.56,38867177.72,50165543.06,47866537.51,36686064.70,67712511.64,58499546.73,55290768.99,38955883.18,19657089.38,0,
其他应付款(合计),15082841.56,11189850.45,11894042.22,11570119.16,13003615.17,11690317.09,1587709.92,12038994.56,12317034.13,2216672.92,0,0,
应付利息,0,0,0,0,0,677327.78,553540.77,0,1049577.13,898022.12,1268295.52,0,
应付股利,0,0,0,0,0,0,0,0,0,0,0,0,
其他应付款,0,11189850.45,0,11570119.16,0,11012989.31,1034169.15,0,11267457.00,1318650.80,1213520.54,0,
预提费用,0,0,0,0,0,0,0,0,0,0,0,0,
一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,
应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,
一年内到期的非流动负债,94300044.86,90199181.55,53404608.78,53654100.73,80976849.98,60364629.46,83264739.78,180282383.87,206345541.25,223003855.32,177975723.07,0,
其他流动负债,0,0,0,0,0,0,0,0,0,0,0,0,
流动负债合计,1866333633.71,1762343802.79,1816175901.57,1664323560.26,1542102228.07,1245515275.57,1226298462.06,1753858267.51,1675903929.53,1752763946.31,1395672983.37,0,
长期借款,134700000.00,149700000.00,174550000.00,174700000.00,44700000.00,49700000.00,0,0,0,30000000.00,60000000.00,0,
应付债券,0,0,0,0,0,0,0,0,0,0,0,0,
租赁负债,0,0,0,0,0,0,0,0,0,0,0,0,
长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,0,
长期应付款(合计),80575661.60,90769164.59,117373012.58,85301158.87,84687819.34,46799147.59,36391414.85,0,182310088.77,314464836.79,0,0,
长期应付款,0,90769164.59,0,85301158.87,0,0,0,130271910.02,182310088.77,314464836.79,227765052.94,0,
专项应付款,0,0,0,0,0,0,0,0,0,0,0,0,
预计非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,
递延所得税负债,1492981.60,1451187.40,1461953.09,1506351.86,1487073.06,1503045.41,1521948.91,1537312.90,1558844.28,1601907.03,1688532.78,0,
长期递延收益,129869968.21,127066451.52,111253601.49,100265751.43,102137001.39,104688284.67,73324318.75,57328979.43,59730345.99,37406424.09,41160378.51,0,
其他非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,
非流动负债合计,346638611.41,368986803.51,404638567.16,361773262.16,233011893.79,202690477.67,111237682.51,189138202.35,243599279.04,383473167.91,330613964.23,0,
负债合计,2212972245.12,2131330606.30,2220814468.73,2026096822.42,1775114121.86,1448205753.24,1337536144.57,1942996469.86,1919503208.57,2136237114.22,1726286947.60,0,
实收资本(或股本),230670000.00,230670000.00,230670000.00,230670000.00,173000000.00,173000000.00,173000000.00,173000000.00,173000000.00,173000000.00,173000000.00,0,
资本公积,1327064075.12,1327064075.12,1327064075.12,1327064075.12,209624075.12,209624075.12,209624075.12,209624075.12,209624075.12,209624075.12,209624075.12,0,
减：库存股,0,0,0,0,0,0,0,0,0,0,0,0,
其他综合收益,-312564.33,1164964.17,1134608.24,881974.94,432877.03,368700.18,90731.33,-72354.66,-44852.06,0,0,0,
专项储备,0,0,0,0,0,0,0,0,0,0,0,0,
盈余公积,93287169.24,93287169.24,93287169.24,93287169.24,72056949.17,72056949.17,72056949.17,47856960.27,47856960.27,36995588.07,27003179.81,0,
一般风险准备,0,0,0,0,0,0,0,0,0,0,0,0,
未分配利润,1343391602.23,1240757902.69,1299116414.22,1245573809.07,1173070987.83,1081194959.25,985886365.88,817346699.09,713474641.89,508473909.68,283505351.50,0,
归属于母公司股东权益合计,2994100282.26,2892944111.22,2951272266.82,2897477028.37,1628184889.15,1536244683.72,1440658121.50,1247755379.82,1143910825.22,928093572.87,693132606.43,0,
少数股东权益,338160215.52,287752370.81,298294330.11,266320470.09,264294067.76,280432453.63,238938724.26,259073478.49,228928129.88,186678417.34,120746970.68,0,
所有者权益(或股东权益)合计,3332260497.78,3180696482.03,3249566596.93,3163797498.46,1892478956.91,1816677137.35,1679596845.76,1506828858.31,1372838955.10,1114771990.21,813879577.11,0,
负债和所有者权益(或股东权益)总计,5545232742.90,5312027088.33,5470381065.66,5189894320.88,3667593078.77,3264882890.59,3017132990.33,3449825328.17,3292342163.67,3251009104.43,2540166524.71,0,
