,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20171231,19700101,
一、营业总收入,148791089.69,88394900.00,32374300.00,185900985.92,132645479.55,76990600.00,31147800.00,219533969.30,175702142.65,0,
营业收入,148791089.69,88394900.00,32374300.00,185900985.92,132645479.55,76990600.00,31147800.00,219533969.30,175702142.65,0,
二、营业总成本,105076105.10,0,0,140676096.19,105504259.25,0,0,156665642.15,123556465.08,0,
营业成本,75801094.31,0,0,94116400.36,75128944.03,0,0,112343595.32,92974875.06,0,
营业税金及附加,1181399.96,0,0,915804.02,400977.99,0,0,1539902.00,1213520.16,0,
销售费用,3098564.07,0,0,7746395.31,6313344.46,0,0,7201303.02,3274206.21,0,
管理费用,9049505.02,0,0,13509049.17,8714617.09,0,0,12097893.65,9978603.57,0,
财务费用,-1211834.84,0,0,153162.02,37898.16,0,0,-1513228.86,-57197.28,0,
研发费用,17157376.58,0,0,24235285.31,14908477.52,0,0,24996177.02,16172457.36,0,
资产减值损失,0,0,0,0,0,0,0,0,0,0,
公允价值变动收益,2910076.17,0,0,3969779.44,3595601.36,0,0,0,0,0,
投资收益,5224528.21,0,0,4091740.29,3979321.72,0,0,4079199.46,3426816.48,0,
其中:对联营企业和合营企业的投资收益,0,0,0,0,0,0,0,384110.90,514548.95,0,
汇兑收益,0,0,0,0,0,0,0,0,0,0,
三、营业利润,71947057.16,38114400.00,17534000.00,62773722.77,41304553.64,12499800.00,7808100.00,73019144.28,57016312.63,0,
加:营业外收入,304689.97,0,0,427693.62,33328.23,0,0,527579.75,107851.59,0,
减：营业外支出,51127.12,0,0,200748.23,193414.86,0,0,118328.75,488384.02,0,
其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,0,
四、利润总额,72200620.01,38231800.00,17545300.00,63000668.16,41144467.01,12507800.00,7796200.00,73428395.28,56635780.20,0,
减：所得税费用,8868000.27,0,0,5244874.66,3363284.70,0,0,9431248.11,8925533.51,0,
五、净利润,63332619.74,33889900.00,15059100.00,57755793.50,37781182.31,12668600.00,7038900.00,63997147.17,47710246.69,0,
归属于母公司所有者的净利润,63479023.49,34045900.00,15228300.00,58478328.39,38291370.87,13098700.00,7276700.00,65066907.03,48586338.44,0,
少数股东损益,-146403.75,0,0,-722534.89,-510188.56,0,0,-1069759.86,-876091.75,0,
基本每股收益(元/股),0.677800,0,0,0.650000,0.424000,0,0,0.720000,0.540000,0,
稀释每股收益(元/股),0.677800,0,0,0.650000,0.424000,0,0,0.720000,0.540000,0,
七、其他综合收益,0,0,0,0,0,0,0,0,0,0,
八、综合收益总额,63332619.74,0,0,57755793.50,37781182.31,0,0,63997147.17,47710246.69,0,
归属于母公司所有者的综合收益总额,63479023.49,0,0,58478328.39,38291370.87,0,0,65066907.03,48586338.44,0,
归属于少数股东的综合收益总额,-146403.75,0,0,-722534.89,-510188.56,0,0,-1069759.86,-876091.75,0,
