,20141231,20151231,20161231,20171231,20181231,20191231
一、营业总收入,1245016055.49,1370799295.32,812192600.31,1068323190.08,1611223403.74,1873542573.97
营业收入,1245016055.49,1370799295.32,812192600.31,1068323190.08,1611223403.74,1873542573.97
二、营业总成本,1077262162.53,1227696977.48,837637947.37,1032775247.15,1460180925.37,1614241219.63
营业成本,890103642.72,1025576111.09,610341598.11,775975782.73,1159854412.06,1300525137.49
营业税金及附加,6368526.98,11655044.04,8419139.19,10567902.21,11496239.78,14013996.50
销售费用,65328439.40,63845681.46,66767277.10,75553369.12,92714627.13,94661601.40
管理费用,88278051.00,102243058.52,107409164.69,128412027.84,113862165.32,127311204.70
财务费用,1377559.07,-3985025.71,2935667.70,3252341.61,4071064.41,15826812.16
研发费用,0,0,0,0,54701280.08,61902467.38
资产减值损失,25805943.36,28362108.08,41765100.58,39013823.64,23481136.59,0
公允价值变动收益,0,0,0,0,0,0
投资收益,17548.18,21701424.94,32190010.94,28512628.15,13857454.65,-4191114.62
其中:对联营企业和合营企业的投资收益,17548.18,282056.13,3259783.46,8628215.10,1227969.39,-3960547.15
汇兑收益,0,0,0,0,0,0
三、营业利润,167771441.14,164803742.78,6744663.88,66854110.08,176179768.51,246370590.35
加:营业外收入,6675669.84,50319120.62,18446663.13,7430629.54,4557890.54,1804519.17
减：营业外支出,618429.59,1888315.01,5065029.96,4837621.33,9820213.52,4690935.52
其中：非流动资产处置损失,99781.63,1195125.50,263027.89,0,0,0
四、利润总额,173828681.39,213234548.39,20126297.05,69447118.29,170917445.53,243484174.00
减：所得税费用,25955360.43,32930075.17,3871948.45,13299961.60,22185441.31,36698649.38
五、净利润,147873320.96,180304473.22,16254348.60,56147156.69,148732004.22,206785524.62
归属于母公司所有者的净利润,145720144.93,178650719.73,15249548.11,46014851.33,135840577.70,174360858.83
少数股东损益,2153176.03,1653753.49,1004800.49,10132305.36,12891426.52,32424665.79
基本每股收益(元/股),0.380000,0.430000,0.017300,0.052200,0.151400,0.191900
稀释每股收益(元/股),0.380000,0.430000,0.017300,0.052200,0.151400,0.191900
七、其他综合收益,0,0,72899.86,-89219.07,78612.30,32516.89
八、综合收益总额,147873320.96,180304473.22,16327248.46,56057937.62,148810616.52,206818041.51
归属于母公司所有者的综合收益总额,145720144.93,178650719.73,15322447.97,45925632.26,135919190.00,174393375.72
归属于少数股东的综合收益总额,2153176.03,1653753.49,1004800.49,10132305.36,12891426.52,32424665.79
