,20141231,20151231,20161231,20171231,20181231,20191231
一、营业总收入,1422384008.51,1866876668.59,3904564233.41,5470039874.49,6244419974.70,4840615283.61
营业收入,1422384008.51,1866876668.59,3904564233.41,5470039874.49,6244419974.70,4840615283.61
二、营业总成本,1132370525.83,1359938865.90,1761503461.39,2048691545.82,3179455972.09,4670243622.33
营业成本,964011471.79,990520176.09,1122648458.40,1633247508.57,2023388498.23,2102641516.49
营业税金及附加,1713965.82,6877541.50,43634526.94,56268676.26,209230983.96,25008130.93
销售费用,21161870.92,30449778.38,35889266.10,38271642.49,43695797.54,43979595.61
管理费用,113497939.83,171890683.32,197977669.11,258487038.99,369345132.79,421820310.70
财务费用,19195813.21,99411165.80,95511049.31,55311199.94,470918827.19,2028431564.25
研发费用,0,0,0,0,49045766.49,48362504.35
资产减值损失,12789464.26,60789520.81,265842491.53,7105479.57,13830965.89,0
公允价值变动收益,1027790.28,1734750.92,2181758.29,-6539055.07,-8762280.94,246838547.82
投资收益,2412434.27,5835758.39,71315787.55,26629821.42,539098913.35,337345128.89
其中:对联营企业和合营企业的投资收益,865885.23,3151389.15,8053938.16,20449405.49,36655812.17,333087478.18
汇兑收益,0,0,0,0,0,0
三、营业利润,293453707.23,514508312.00,2216558317.86,3425896515.21,3585692208.94,-4538132097.58
加:营业外收入,35330686.04,7251995.95,16497045.08,49990504.68,64957798.87,97967810.64
减：营业外支出,997174.77,8707291.66,74369867.98,24289742.95,16932818.21,40043125.28
其中：非流动资产处置损失,65418.21,4872934.48,8998212.18,0,0,0
四、利润总额,327787218.50,513053016.29,2158685494.96,3451597276.94,3633717189.60,-4480207412.22
减：所得税费用,46268539.65,87224966.16,372125114.62,839968015.36,829376457.51,1002127216.95
五、净利润,281518678.85,425828050.13,1786560380.34,2611629261.58,2804340732.09,-5482334629.17
归属于母公司所有者的净利润,130501471.00,247863080.24,1512050934.72,2145038848.43,2200112183.21,-5983362461.57
少数股东损益,151017207.85,177964969.89,274509445.62,466590413.15,604228548.88,501027832.40
基本每股收益(元/股),0.540000,0.960000,1.540000,1.940000,1.930000,-5.240000
稀释每股收益(元/股),0.540000,0.960000,1.520000,1.920000,1.920000,-5.240000
七、其他综合收益,-308120387.28,-289295276.42,101415153.97,806275465.25,-1059335181.61,-274746595.50
八、综合收益总额,-26601708.43,136532773.71,1887975534.31,3417904726.83,1745005550.48,-5757081224.67
归属于母公司所有者的综合收益总额,-26922648.31,100592969.05,1536805241.13,2928812751.29,1243889042.11,-5902457331.32
归属于少数股东的综合收益总额,320939.88,35939804.66,351170293.18,489091975.54,501116508.37,145376106.65
