,20141231,20151231,20161231,20171231,20181231,20191231
货币资金,286550947.05,212980393.98,120427468.74,83930461.11,82715740.17,116610510.91
交易性金融资产,0,0,0,0,0,0
衍生金融资产,0,0,0,0,0,0
应收票据及应收账款,0,0,234939168.12,279413306.14,294774401.80,348828922.33
应收票据,98708768.89,139992234.17,74266503.46,120039573.95,56057174.05,74054381.11
应收账款,121257483.76,129175190.27,160672664.66,159373732.19,238717227.75,274774541.22
应收款项融资,0,0,0,0,0,0
预付款项,21569100.24,14528636.57,4695077.99,4784246.03,7666877.20,1667921.23
其他应收款(合计),0,0,14638095.83,4619339.50,1353993.61,1680003.25
应收利息,506982.52,352862.83,0,0,0,0
应收股利,0,0,0,0,0,0
其他应收款,3682900.61,40950615.72,14638095.83,4619339.50,1353993.61,1680003.25
买入返售金融资产,0,0,0,0,0,0
存货,97100354.51,81198827.22,79251475.90,102036967.49,92784891.72,85422380.74
划分为持有待售的资产,0,0,0,0,0,0
一年内到期的非流动资产,0,0,0,0,0,0
待摊费用,0,0,0,0,0,0
待处理流动资产损益,0,0,0,0,0,0
其他流动资产,16814113.25,18810544.13,28081121.40,22296977.43,11645322.43,39652013.24
流动资产合计,646190650.83,637989304.89,482032407.98,497081297.70,490941226.93,593861751.70
发放贷款及垫款,0,0,0,0,0,0
可供出售金融资产,0,0,0,0,0,0
持有至到期投资,0,0,0,0,0,0
长期应收款,0,0,0,0,0,0
长期股权投资,0,0,444439236.75,450371523.30,537573268.55,578687218.14
投资性房地产,0,0,0,5701018.59,0,0
在建工程(合计),0,0,14370278.00,16238669.47,49703242.52,11430725.65
在建工程,7929726.82,1300000.00,14370278.00,16238669.47,49703242.52,11430725.65
工程物资,0,0,0,0,0,0
固定资产及清理(合计),0,0,441520543.27,439197828.92,439938166.31,477995505.87
固定资产净额,434856560.51,454105876.72,441520543.27,439197828.92,439938166.31,477995505.87
固定资产清理,0,0,0,0,0,0
生产性生物资产,0,0,0,6460521.92,7058892.70,7578994.16
公益性生物资产,0,0,0,0,0,0
油气资产,0,0,0,0,0,0
使用权资产,0,0,0,0,0,0
无形资产,111353451.55,101610550.77,91827123.23,82181966.14,71913252.72,61803451.61
开发支出,0,2750000.00,2750000.00,2750000.00,3174528.29,0
商誉,164114130.33,164114130.33,164114130.33,164114130.33,164114130.33,117992430.33
长期待摊费用,0,15128544.46,14779616.16,17880389.24,18133125.65,17464468.89
递延所得税资产,3327173.88,3317980.16,4143275.11,2963443.47,3423041.41,1745599.69
其他非流动资产,0,0,14412118.70,15468735.15,12387732.44,14345658.67
非流动资产合计,721581043.09,742327082.44,1192356321.55,1203328226.53,1307419380.92,1289044053.01
资产总计,1367771693.92,1380316387.33,1674388729.53,1700409524.23,1798360607.85,1882905804.71
短期借款,40000000.00,8362228.76,286660000.00,344960000.00,260000000.00,190800000.00
交易性金融负债,0,0,0,0,0,0
应付票据及应付账款,0,0,36370365.11,40118827.00,50778752.11,49227900.10
应付票据,0,0,0,0,0,0
应付账款,64998806.72,37792341.16,36370365.11,40118827.00,50778752.11,49227900.10
预收款项,5838814.44,5122813.87,6474691.26,4961591.35,1889224.87,3620652.49
应付手续费及佣金,0,0,0,0,0,0
应付职工薪酬,31444505.97,24997610.58,38159899.62,41176879.45,43984643.08,49242757.74
应交税费,15865964.90,11235652.75,8378904.09,10469457.82,6882819.03,10159783.45
其他应付款(合计),0,0,21114742.11,20238813.78,53840990.68,33472999.14
应付利息,0,0,345583.33,459166.68,357666.79,683588.64
应付股利,0,0,0,0,0,0
其他应付款,35856787.56,20717330.32,20769158.78,19779647.10,53483323.89,32789410.50
预提费用,0,0,0,0,0,0
一年内的递延收益,0,0,0,0,0,0
应付短期债券,0,0,0,0,0,0
一年内到期的非流动负债,0,0,0,0,0,0
其他流动负债,0,0,0,0,0,0
流动负债合计,194004879.59,108227977.44,397158602.19,461925569.40,417376429.77,336524092.92
长期借款,0,0,0,0,0,0
应付债券,0,0,0,0,0,0
租赁负债,0,0,0,0,0,0
长期应付职工薪酬,0,0,0,0,0,0
长期应付款(合计),0,0,0,0,0,0
长期应付款,0,0,0,0,0,0
专项应付款,0,0,0,0,0,0
预计非流动负债,0,0,0,392000.00,0,0
递延所得税负债,7036184.52,6254644.43,5475077.30,4695714.86,3929635.80,3150863.60
长期递延收益,13544283.22,12348373.30,13248325.71,14164902.30,13710228.16,13253159.35
其他非流动负债,0,0,0,0,0,0
非流动负债合计,20580467.74,18603017.73,18723403.01,19252617.16,17639863.96,16404022.95
负债合计,214585347.33,126830995.17,415882005.20,481178186.56,435016293.73,352928115.87
实收资本(或股本),296000000.00,296000000.00,296000000.00,296000000.00,296000000.00,503200000.00
资本公积,442479081.52,442479081.52,398356525.50,398356525.50,393870498.09,186670498.09
减：库存股,0,0,0,0,0,0
其他综合收益,0,0,0,0,1062168.75,-4987537.80
专项储备,0,0,0,0,0,0
盈余公积,51490058.78,60529106.99,68044315.72,77880808.25,91746237.27,111440864.16
一般风险准备,0,0,0,0,0,0
未分配利润,329561400.22,418599763.92,496023720.03,446994003.92,580665410.01,733653864.39
归属于母公司股东权益合计,1119530540.52,1217607952.43,1258424561.25,1219231337.67,1363344314.12,1529977688.84
少数股东权益,33655806.07,35877439.73,82163.08,0,0,0
所有者权益(或股东权益)合计,1153186346.59,1253485392.16,1258506724.33,1219231337.67,1363344314.12,1529977688.84
负债和所有者权益(或股东权益)总计,1367771693.92,1380316387.33,1674388729.53,1700409524.23,1798360607.85,1882905804.71
