,20141231,20151231,20161231,20171231,20181231,20191231
货币资金,21506533.74,442413023.49,1005277714.10,850029639.44,1019610068.01,1266751234.82
交易性金融资产,0,0,0,0,0,0
衍生金融资产,0,0,0,0,0,0
应收票据及应收账款,0,0,0,152684273.13,136966327.14,505690274.45
应收票据,14795519.96,73357992.50,88414378.94,152316294.03,111788203.09,464106123.93
应收账款,58225396.58,418674.49,367979.10,367979.10,25178124.05,41584150.52
应收款项融资,0,0,0,0,0,0
预付款项,21556305.69,18806991.50,20876652.17,21239145.60,62111414.08,207952660.11
其他应收款(合计),0,0,0,21842190.93,21545721.98,39975190.66
应收利息,0,0,0,0,0,2308195.26
应收股利,0,0,0,0,0,0
其他应收款,16967450.14,6668055.37,16529259.62,21842190.93,21545721.98,37666995.40
买入返售金融资产,0,0,0,0,0,0
存货,1394019227.88,1274307113.94,1126175160.93,1010405766.68,1630060462.80,1577430785.95
划分为持有待售的资产,0,0,0,0,0,0
一年内到期的非流动资产,0,0,0,0,0,0
待摊费用,0,0,0,0,0,0
待处理流动资产损益,0,0,0,0,0,0
其他流动资产,0,250000000.00,218000000.00,71000000.00,1649359.32,18379902.54
流动资产合计,1527070433.99,2065971851.29,2475641144.86,2127201015.78,2871943353.33,3616180048.53
发放贷款及垫款,0,0,0,0,0,0
可供出售金融资产,0,0,0,0,3000000.00,0
持有至到期投资,0,0,0,0,0,0
长期应收款,0,0,0,0,0,0
长期股权投资,10264181.10,30091448.53,27314997.61,64716546.73,69627441.84,80245502.97
投资性房地产,0,0,0,0,0,0
在建工程(合计),0,0,0,33555993.39,179390912.67,243616555.63
在建工程,61256108.41,234450.00,648600.01,33555993.39,179390912.67,243616555.63
工程物资,0,0,0,0,0,0
固定资产及清理(合计),0,0,0,535007977.93,949938753.59,928199499.49
固定资产净额,515638118.03,584661680.03,569884018.66,533073861.70,948505972.70,926750082.17
固定资产清理,0,0,1934116.23,1934116.23,1432780.89,1449417.32
生产性生物资产,1554862.28,0,0,0,0,0
公益性生物资产,0,0,0,0,0,0
油气资产,0,0,0,0,0,0
使用权资产,0,0,0,0,0,0
无形资产,120935746.07,117658298.75,125742236.98,122090917.54,705261586.22,707596061.78
开发支出,0,0,0,0,0,974102.51
商誉,0,0,0,0,632146306.20,632146306.20
长期待摊费用,0,0,0,0,14034654.23,8451517.06
递延所得税资产,6793414.55,3884552.02,3145781.02,4831695.89,53316214.01,52888658.26
其他非流动资产,0,0,0,0,0,0
非流动资产合计,716442430.44,736530429.33,728669750.51,760203131.48,2606715868.76,2657118203.90
资产总计,2243512864.43,2802502280.62,3204310895.37,2887404147.26,5478659222.09,6273298252.43
短期借款,400000000.00,164000000.00,0,0,390000000.00,500000000.00
交易性金融负债,0,0,0,0,0,0
应付票据及应付账款,0,0,0,92242341.99,359241654.32,402232497.27
应付票据,0,0,0,0,0,0
应付账款,128495916.51,86862454.05,95237207.92,92242341.99,359241654.32,402232497.27
预收款项,532159988.79,446538796.98,841153387.79,504277553.69,429120168.50,801879310.49
应付手续费及佣金,0,0,0,0,0,0
应付职工薪酬,7453758.15,7203600.67,9138493.03,13748807.78,117386139.99,138862976.37
应交税费,175950424.72,249474561.88,207637758.76,211169102.95,406177537.16,387392068.28
其他应付款(合计),0,0,0,341874863.04,850883304.73,590331060.41
应付利息,0,0,0,0,199466.66,198366.66
应付股利,644444.67,226665.52,391107.22,1734159.27,15620728.67,41004425.87
其他应付款,308188526.67,290475986.80,431149334.18,340140703.77,835063109.40,549128267.88
预提费用,0,0,0,0,0,0
一年内的递延收益,0,0,0,0,0,0
应付短期债券,0,0,0,0,0,0
一年内到期的非流动负债,0,0,0,0,0,0
其他流动负债,0,0,0,0,0,0
流动负债合计,1552893059.51,1244782065.90,1584707288.90,1163312669.45,2552808804.70,2820697912.82
长期借款,0,0,0,0,0,0
应付债券,0,0,0,0,0,0
租赁负债,0,0,0,0,0,0
长期应付职工薪酬,0,0,0,0,0,0
长期应付款(合计),0,0,0,1000000.00,1000000.00,1000000.00
长期应付款,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00
专项应付款,0,0,0,0,0,0
预计非流动负债,0,0,0,0,0,0
递延所得税负债,0,0,0,0,148325295.90,138643155.83
长期递延收益,22213500.00,13916000.00,11380000.00,12314385.86,20597081.32,18903776.80
其他非流动负债,0,0,0,0,0,0
非流动负债合计,23213500.00,14916000.00,12380000.00,13314385.86,169922377.22,158546932.63
负债合计,1576106559.51,1259698065.90,1597087288.90,1176627055.31,2722731181.92,2979244845.45
实收资本(或股本),140000000.00,175224069.00,438060173.00,438060173.00,666012392.00,897287444.00
资本公积,166415280.59,947891148.26,685055044.26,685055044.26,1237102825.26,1281263761.49
减：库存股,0,0,0,0,0,0
其他综合收益,0,0,0,0,0,0
专项储备,14537861.78,19193901.02,25337253.75,31076419.28,35582223.07,31755239.87
盈余公积,58299039.96,58299039.96,60910384.64,61946882.10,81163839.05,112198706.87
一般风险准备,0,0,0,0,0,0
未分配利润,288154122.59,342196056.48,397860750.82,494638573.31,730646378.54,966062502.87
归属于母公司股东权益合计,667406304.92,1542804214.72,1607223606.47,1710777091.95,2750507657.92,3288567655.10
少数股东权益,0,0,0,0,5420382.25,5485751.88
所有者权益(或股东权益)合计,667406304.92,1542804214.72,1607223606.47,1710777091.95,2755928040.17,3294053406.98
负债和所有者权益(或股东权益)总计,2243512864.43,2802502280.62,3204310895.37,2887404147.26,5478659222.09,6273298252.43
