,20141231,20151231,20161231,20171231,20181231,20191231
货币资金,262357896.10,94350922.89,225633029.35,403937602.85,471948226.39,668120978.25
交易性金融资产,0,0,0,0,0,21000000.00
衍生金融资产,0,0,0,0,0,0
应收票据及应收账款,0,0,289190312.40,318583994.59,409440758.35,427248118.15
应收票据,16500000.00,13000000.00,2879400.00,0,500000.00,0
应收账款,281785649.65,367011345.13,286310912.40,318583994.59,408940758.35,427248118.15
应收款项融资,0,0,0,0,0,0
预付款项,864620.12,156827.22,3479674.07,3748168.29,2321630.46,5677553.52
其他应收款(合计),0,0,26649872.07,26640149.73,16010647.84,75970401.23
应收利息,407710.87,220000.00,0,0,0,0
应收股利,0,0,0,0,0,0
其他应收款,30112685.44,21129128.62,26649872.07,26640149.73,16010647.84,75970401.23
买入返售金融资产,0,0,0,0,0,0
存货,197140381.10,177986054.70,231616860.29,355964289.93,575861264.50,594018960.18
划分为持有待售的资产,0,0,0,0,0,0
一年内到期的非流动资产,247994050.73,209317279.36,155780173.49,130906466.95,157707864.06,172736123.88
待摊费用,0,0,0,0,0,0
待处理流动资产损益,0,0,0,0,0,0
其他流动资产,560136.00,83549112.00,248414927.29,104077279.94,131057418.54,15242086.63
流动资产合计,1037723130.01,966720669.92,1180764848.96,1343857952.28,1764347810.14,1980014221.84
发放贷款及垫款,0,0,0,0,0,0
可供出售金融资产,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,0
持有至到期投资,0,0,0,0,0,0
长期应收款,203503052.92,177227609.98,346432508.71,751422505.09,994589255.00,1155511364.40
长期股权投资,0,0,0,0,0,146023700.00
投资性房地产,0,0,12054022.50,12147588.58,17689959.27,11143083.46
在建工程(合计),0,0,0,0,0,632830.19
在建工程,1182836.60,0,0,0,0,632830.19
工程物资,0,0,0,0,0,0
固定资产及清理(合计),0,0,4475316.77,16352537.27,16963916.74,24119718.20
固定资产净额,16450801.76,18236639.45,4475316.77,16352537.27,16963916.74,24119718.20
固定资产清理,0,0,0,0,0,0
生产性生物资产,0,0,0,0,0,0
公益性生物资产,0,0,0,0,0,0
油气资产,0,0,0,0,0,0
使用权资产,0,0,0,0,0,0
无形资产,109812.35,66810.25,462569.45,455740.09,639704.19,1101058.26
开发支出,0,0,0,0,0,0
商誉,43637.59,43637.59,43637.59,43637.59,43637.59,43637.59
长期待摊费用,395546.94,255788.82,160738.54,122218.45,85932.49,2925095.45
递延所得税资产,7268955.94,9720123.86,10041614.48,14538990.48,12537853.35,14702535.68
其他非流动资产,0,9926547.26,12305921.26,12305921.26,108920230.93,8372049.01
非流动资产合计,234954644.10,221477157.21,391976329.30,813389138.81,1157470489.56,1367970077.60
资产总计,1272677774.11,1188197827.13,1572741178.26,2157247091.09,2921818299.70,3347984299.44
短期借款,246000000.00,140000000.00,220000000.00,164000000.00,354000000.00,414571050.00
交易性金融负债,0,0,0,0,0,0
应付票据及应付账款,0,0,370093091.66,427634129.56,511577682.18,710232278.96
应付票据,25164391.87,20750786.78,23339668.20,8788817.17,26619964.59,69416503.68
应付账款,321584155.12,282888141.86,346753423.46,418845312.39,484957717.59,640815775.28
预收款项,0,0,0,348974.28,19338812.44,22102971.05
应付手续费及佣金,0,0,0,0,0,0
应付职工薪酬,6660871.38,6808634.76,11946976.18,16968500.97,22283399.11,12926930.45
应交税费,47373717.69,42998920.96,21355803.95,21492032.98,14629193.33,25976652.16
其他应付款(合计),0,0,4149592.26,15046690.03,21244595.20,16817642.09
应付利息,469455.56,234025.00,557354.17,8137466.66,8881669.44,0
应付股利,0,0,0,0,0,0
其他应付款,2981018.73,1847259.13,3592238.09,6909223.37,12362925.76,16817642.09
预提费用,0,0,0,0,0,0
一年内的递延收益,0,0,0,0,0,0
应付短期债券,0,0,0,0,0,0
一年内到期的非流动负债,0,0,0,0,0,0
其他流动负债,60500.00,0,28114779.32,70734309.78,100393401.14,122658345.02
流动负债合计,650294110.35,495527768.49,655660243.37,716224637.60,1043467083.40,1325285869.73
长期借款,0,0,200000000.00,300000000.00,600000000.00,615714900.16
应付债券,0,0,0,0,0,0
租赁负债,0,0,0,0,0,0
长期应付职工薪酬,0,0,0,0,0,0
长期应付款(合计),0,0,0,0,0,0
长期应付款,0,0,0,0,0,0
专项应付款,0,0,0,0,0,0
预计非流动负债,0,0,0,0,0,0
递延所得税负债,0,0,0,0,0,0
长期递延收益,0,0,0,0,0,0
其他非流动负债,0,0,0,0,0,0
非流动负债合计,0.00,0.00,200000000.00,300000000.00,600000000.00,615714900.16
负债合计,650294110.35,495527768.49,855660243.37,1016224637.60,1643467083.40,1941000769.89
实收资本(或股本),65250000.00,65250000.00,65250000.00,87000000.00,113100000.00,113100000.00
资本公积,309583536.48,309583536.48,309583536.48,583558536.48,557458536.48,557458536.48
减：库存股,0,0,0,0,0,0
其他综合收益,0,0,0,0,0,-2214245.44
专项储备,0,0,0,0,0,0
盈余公积,23112861.64,29188915.65,35487432.75,42529864.12,51294609.54,58564303.66
一般风险准备,0,0,0,0,0,0
未分配利润,224437265.64,278647803.91,276762885.01,330662000.66,403319443.12,490195202.41
归属于母公司股东权益合计,622383663.76,682670256.04,687083854.24,1043750401.26,1125172589.14,1217103797.11
少数股东权益,0,9999802.60,29997080.65,97272052.23,153178627.16,189879732.44
所有者权益(或股东权益)合计,622383663.76,692670058.64,717080934.89,1141022453.49,1278351216.30,1406983529.55
负债和所有者权益(或股东权益)总计,1272677774.11,1188197827.13,1572741178.26,2157247091.09,2921818299.70,3347984299.44
