,20141231,20151231,20161231,20171231,20181231,20191231
货币资金,116497364.70,299734140.67,212725655.32,866788599.51,1483412832.17,2069752155.63
交易性金融资产,0,0,0,0,0,116212068.36
衍生金融资产,0,0,0,0,0,0
应收票据及应收账款,0,252920536.77,551553741.55,1250289182.92,2442214707.46,2276947606.68
应收票据,42152424.18,108869851.98,365872760.54,353532264.61,1732309047.45,477290524.10
应收账款,93012441.94,144050684.79,185680981.01,896756918.31,709905660.01,1799657082.58
应收款项融资,0,0,0,0,0,512639995.72
预付款项,5962631.41,10202565.68,10553461.75,78887450.03,49435134.00,34773116.21
其他应收款(合计),0,2768451.46,4371591.61,17936658.18,27798001.79,31629031.52
应收利息,0,0,0,0,0,0
应收股利,0,0,0,0,0,0
其他应收款,3897349.10,2768451.46,4371591.61,17936658.18,27798001.79,31629031.52
买入返售金融资产,0,0,0,0,0,0
存货,298906874.87,654073980.61,1026616904.97,2559066277.34,2413231218.85,2152705922.54
划分为持有待售的资产,0,0,0,0,0,0
一年内到期的非流动资产,0,0,0,0,0,0
待摊费用,0,0,0,0,0,0
待处理流动资产损益,0,0,0,0,0,0
其他流动资产,0,288500000.00,279967327.45,272956932.24,140280428.31,336912940.47
流动资产合计,560429086.20,1508199675.19,2085788682.65,5045925100.22,6556372322.58,7531572837.13
发放贷款及垫款,0,0,0,0,0,0
可供出售金融资产,0,0,0,0,0,0
持有至到期投资,0,0,0,0,0,0
长期应收款,0,0,0,0,0,0
长期股权投资,0,0,0,0,0,0
投资性房地产,0,0,0,0,0,0
在建工程(合计),0,1053931.59,17460721.13,95759818.48,121255561.43,176693507.77
在建工程,76155670.81,1053931.59,17460721.13,95759818.48,121255561.43,176693507.77
工程物资,0,0,0,0,0,0
固定资产及清理(合计),0,159274281.62,183698926.87,208920930.18,417013514.13,465212203.99
固定资产净额,64745375.35,159274281.62,183698926.87,208920930.18,417013514.13,465212203.99
固定资产清理,0,0,0,0,0,0
生产性生物资产,0,0,0,0,0,0
公益性生物资产,0,0,0,0,0,0
油气资产,0,0,0,0,0,0
使用权资产,0,0,0,0,0,0
无形资产,34381980.84,33422626.56,107005546.96,164972372.77,162064754.80,148003440.86
开发支出,0,0,0,0,0,0
商誉,0,0,0,1092335348.25,1092335348.25,1090733168.40
长期待摊费用,0,14626740.41,16382968.61,28401740.14,33317699.28,33270013.01
递延所得税资产,0,0,5408291.02,14789567.06,42941299.45,71032345.15
其他非流动资产,0,0,0,0,311500.00,178695.00
非流动资产合计,175283027.00,208377580.18,329956454.59,1605179776.88,1869239677.34,1985123374.18
资产总计,735712113.20,1716577255.37,2415745137.24,6651104877.10,8425611999.92,9516696211.31
短期借款,10000000.00,0,0,50000000.00,468083800.00,298993000.00
交易性金融负债,0,0,0,0,0,0
应付票据及应付账款,0,467901312.21,634500563.79,1837022050.32,2340891608.20,2420789682.15
应付票据,131569908.65,223203353.52,348820599.18,1192770692.72,1171821600.85,1271739719.30
应付账款,107110899.24,244697958.69,285679964.61,644251357.60,1169070007.35,1149049962.85
预收款项,149606069.38,495950554.01,772392875.15,1673579070.51,1244970542.02,790593639.38
应付手续费及佣金,0,0,0,0,0,0
应付职工薪酬,11317250.15,18207300.94,32641106.21,61687631.06,111984572.15,170500025.18
应交税费,8854178.24,-2585365.12,22860938.05,69422316.81,72248549.43,33662038.83
其他应付款(合计),0,3384219.44,4099169.96,16676991.55,252198194.08,283504584.26
应付利息,0,0,0,0,2109858.95,1686859.27
应付股利,0,311202.00,0,0,0,0
其他应付款,1856970.43,3073017.44,4099169.96,16676991.55,250088335.13,281817724.99
预提费用,0,0,0,0,0,0
一年内的递延收益,0,0,0,0,0,0
应付短期债券,0,0,0,0,0,0
一年内到期的非流动负债,0,0,0,0,18200000.00,141000000.00
其他流动负债,0,0,0,0,0,29377816.34
流动负债合计,420315276.09,982858021.48,1466494653.16,3708388060.25,4508577265.88,4168420786.14
长期借款,28334891.00,0,0,70000000.00,256600000.00,119240000.00
应付债券,0,0,0,0,0,677151088.92
租赁负债,0,0,0,0,0,0
长期应付职工薪酬,0,0,0,0,0,0
长期应付款(合计),0,0,0,0,0,0
长期应付款,0,0,0,0,0,0
专项应付款,0,0,0,0,0,0
预计非流动负债,0,0,0,8241007.83,146242121.96,203961524.14
递延所得税负债,0,0,0,18008033.49,8349210.41,6747030.56
长期递延收益,0,5500000.00,5179166.69,64059166.73,63509166.77,57016166.81
其他非流动负债,0,0,0,0,0,0
非流动负债合计,28334891.00,5500000.00,5179166.69,160308208.05,474700499.14,1064115810.43
负债合计,448650167.09,988358021.48,1471673819.85,3868696268.30,4983277765.02,5232536596.57
实收资本(或股本),51000000.00,136000000.00,408000000.00,440137075.00,881659139.00,881446270.00
资本公积,110876261.89,354918992.29,82918992.29,1404659215.81,1019240575.14,1016658371.36
减：库存股,0,0,0,0,37519650.00,27350064.00
其他综合收益,0,0,0,0,131965.44,156686.24
专项储备,0,0,0,0,0,0
盈余公积,15310647.64,29931390.21,59057368.95,108771866.21,148738605.21,199807367.86
一般风险准备,0,0,0,0,0,0
未分配利润,109875036.58,207368851.39,394094956.15,828840451.78,1430083600.11,1897722499.29
归属于母公司股东权益合计,287061946.11,728219233.89,944071317.39,2782408608.80,3442334234.90,4284159614.74
少数股东权益,0,0,0,0,0,0
所有者权益(或股东权益)合计,287061946.11,728219233.89,944071317.39,2782408608.80,3442334234.90,4284159614.74
负债和所有者权益(或股东权益)总计,735712113.20,1716577255.37,2415745137.24,6651104877.10,8425611999.92,9516696211.31
