固定资产及清理(合计),850432542.14,855142740.68,0,885573174.28,903053566.57,931616661.20,583001742.26,558123102.17,471103745.66,472837367.56,435450824.52,428628905.63,242854512.20,237512391.91,235400360.70,0,0,0,0,0,0,0,0,0,0,
固定资产净额,0,855142740.68,0,885573174.28,903053566.57,931616661.20,583001742.26,558123102.17,471103745.66,472837367.56,435450824.52,428628905.63,242854512.20,237512391.91,235400360.70,240322585.44,244640720.88,193749393.28,192360152.15,194368397.77,195503411.81,205947401.43,178355126.55,203084905.33,0,
固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
无形资产,228065442.49,234462892.38,0,189911464.04,200848393.43,212432691.18,231503927.36,225413685.14,175859888.43,179395034.61,182930180.79,185220391.97,188706419.30,192177874.28,195292939.80,198746867.43,202200795.06,205654722.69,209108650.32,211837355.13,152825686.83,161116278.57,172170400.89,167669248.89,0,
开发支出,92042632.58,86049600.86,0,116534348.82,105951802.83,103251049.84,89405751.29,82565151.12,44527757.50,42281035.74,39997048.00,38480419.49,37989133.57,36806635.10,35393255.14,33136078.17,29492764.41,26756079.64,23928481.59,21810392.30,0,24424803.37,14464816.24,5022134.91,0,
商誉,639582.53,639582.53,0,639582.53,639582.53,639582.53,639582.53,639582.53,639582.53,639582.53,639582.53,639582.53,639582.53,639582.53,639582.53,639582.53,639582.53,639582.53,639582.53,639582.53,0,0,0,0,0,
长期待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1246825.40,0,0,0,0,
递延所得税资产,76107267.66,73072170.96,0,53167679.52,55279952.97,40789167.10,41449681.36,40771957.11,29359161.84,29157121.76,28457644.59,30657936.74,9726226.92,9390962.53,8436364.36,11069948.02,8259703.15,7674042.94,5798202.36,7092137.51,6578781.18,6578781.18,3039269.88,0,0,
其他非流动资产,41422264.40,24105995.17,0,41731127.33,29021788.25,36265094.82,19880464.81,17877559.66,29038067.29,21674476.88,31616411.06,12955743.09,6091327.24,3395810.06,3284889.27,6956316.87,39440932.04,34446171.12,33588958.51,16412978.60,0,0,0,0,0,
非流动资产合计,1766507893.06,1711898424.92,0,1673351582.10,1553506919.57,1553097408.59,1587550813.59,1627544049.84,987177883.91,952872602.52,897439973.49,843955674.53,727212609.81,712502717.56,702927246.82,687793045.23,664081861.66,638721571.50,609491024.50,579628117.89,564481714.12,457672584.36,451875057.09,394169518.59,0,
资产总计,5071553105.40,3445305789.86,3378363800.00,3320000400.00,3822839073.06,3703041889.70,3343095122.10,2889186696.36,2146098444.62,2058989093.35,1989601258.82,1954556342.03,1797250823.04,1700288719.33,1654409375.80,1585750807.98,1516819736.57,1441575768.64,1365288354.46,1128323956.22,1011159131.47,742177797.50,618780890.17,537735594.75,0,
短期借款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
交易性金融负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
应付票据及应付账款,24386191.78,28254605.08,0,21452491.52,17358116.61,9938258.95,7776183.37,10148416.23,5664234.45,4947700.79,5532501.45,3307638.11,4520973.54,4311770.24,3276854.75,0,0,0,0,0,0,0,0,0,0,
应付票据,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
应付账款,24386191.78,28254605.08,0,21452491.52,17358116.61,9938258.95,7776183.37,10148416.23,5664234.45,4947700.79,5532501.45,3307638.11,4520973.54,4311770.24,3276854.75,2033503.65,3949648.20,2783929.47,2841674.02,2557140.42,12454083.88,17474727.14,7741420.55,2792837.77,0,
预收款项,0,0,0,0,0,0,1719510.14,767544.60,1548873.69,321052.71,3652038.31,5186662.16,14256016.61,2225892.01,15482234.01,2414268.41,1289501.00,1266559.20,2650260.00,3189780.00,6760981.67,1640544.79,2089962.37,2969250.00,0,
应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
应付职工薪酬,70328398.26,62249128.82,0,49220226.98,52599569.67,43694702.46,43208914.96,57802982.89,24774151.97,26183107.95,13590565.74,29916461.84,12889578.01,16806365.52,14402546.84,23719222.13,16246225.46,11150224.12,6887522.10,10161671.77,5558733.83,7709443.61,5479115.76,1153444.23,0,
应交税费,5524078.67,8565278.50,0,39295632.06,17600119.99,58916421.33,60220714.79,28236505.20,16435410.72,7752706.04,15412837.55,25892154.63,19217764.40,14416973.88,19330339.65,15336267.57,17032070.75,14393929.13,9735284.95,10572043.86,10967511.60,3815492.07,2778696.07,1772873.87,0,
其他应付款(合计),116055319.18,114253917.99,0,140680236.36,122927427.44,130131536.28,110242521.54,77836920.08,18595888.08,15067104.31,22897238.98,26517412.83,16697535.23,6793539.10,11482403.10,0,0,0,0,0,0,0,0,0,0,
应付利息,0,0,0,0,0,0,0,0,6813625.00,3893500.00,973375.00,9733750.00,6813625.00,3893500.00,973375.00,9733750.00,6813625.00,3893500.00,973375.00,0,0,0,0,0,0,
应付股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
其他应付款,0,114253917.99,0,140680236.36,122927427.44,130131536.28,110242521.54,77836920.08,11782263.08,11173604.31,21923863.98,16783662.83,9883910.23,2900039.10,10509028.10,8630494.07,11213689.01,5285724.25,3318975.15,10882214.77,8532356.07,4891667.29,3776958.99,5169873.91,0,
预提费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
一年内到期的非流动负债,0,0,0,0,0,0,0,0,193518615.03,192629784.12,0,0,0,0,0,0,0,0,0,0,0,20000000.00,27000000.00,0,0,
其他流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243750.00,0,0,0,0,0,0,
流动负债合计,222072218.73,214043993.41,0,250862014.23,210952435.52,243880211.73,223167844.80,174792369.00,260537173.94,246901455.92,61085182.03,90820329.57,67581867.79,44554540.75,63974378.35,61867505.83,56544759.42,38773866.17,26650841.22,37362850.82,44273667.05,55531874.90,48866153.74,13858279.78,0,
长期借款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000000.00,57000000.00,0,
应付债券,0,0,0,0,0,0,0,0,0,0,191740953.21,191347366.54,191201401.99,191055437.44,190905886.21,190770681.70,190635477.19,190500272.68,190365068.17,0,0,0,0,0,0,
租赁负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
长期应付款(合计),0,0,0,0,0,0,0,0,132361886.00,133970964.00,141842155.00,133572925.00,56730789.00,0,54457520.00,0,0,0,0,0,0,0,0,0,0,
长期应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
专项应付款,0,0,0,0,0,0,0,0,132361886.00,133970964.00,141842155.00,133572925.00,56730789.00,0,54457520.00,52429745.00,46430309.00,0,36767806.00,0,0,0,0,0,0,
预计非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
递延所得税负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3239925.00,0,
长期递延收益,156621913.20,161961638.27,0,165481090.41,174580985.55,183092095.69,203692557.00,165426222.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
其他非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,57163398.00,0,0,0,46596862.00,0,37348413.00,0,20846614.00,15923614.00,0,0,
非流动负债合计,156621913.20,161961638.27,0,165481090.41,174580985.55,183092095.69,203692557.00,165426222.00,132361886.00,133970964.00,333583108.21,324920291.54,247932190.99,248218835.44,245363406.21,243200426.70,237065786.19,237097134.68,227132874.17,37348413.00,36083452.00,20846614.00,45923614.00,60239925.00,0,
负债合计,378694131.93,376005631.68,348809600.00,416343100.00,385533421.07,426972307.42,426860401.80,340218591.00,392899059.94,380872419.92,394668290.24,415740621.11,315514058.78,292773376.19,309337784.56,305067932.53,293610545.61,275871000.85,253783715.39,74711263.82,80357119.05,76378488.90,94789767.74,74098204.78,0,
实收资本(或股本),616211413.00,554590271.00,0,554590271.00,554590271.00,510223050.00,510223050.00,510223050.00,510223050.00,510223050.00,510223050.00,510223050.00,510223050.00,510223050.00,510223050.00,510223050.00,510223050.00,510223050.00,510223050.00,510223050.00,510223050.00,711000000.00,686000000.00,686000000.00,0,
资本公积,2273151642.85,700230855.18,0,471937254.60,471377270.21,363107331.88,361358567.69,359247348.77,317973348.77,317973348.77,317973348.77,317973348.77,317624323.37,317624323.37,317624323.37,317624323.37,317624323.37,317624323.37,317624323.37,317624323.37,317624323.37,7291003.67,791003.67,791003.67,0,
减：库存股,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
其他综合收益,-2499154.50,4036493.78,0,675704.12,324394.28,330730.31,211805.63,449234.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
专项储备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
盈余公积,275675506.39,275675506.39,0,275675506.39,249446993.25,249446993.25,210271888.99,167361665.18,65785508.72,65785508.72,65785508.72,65785508.72,35229384.02,35229384.02,35229384.02,35229384.02,15651149.87,15651149.87,15651149.87,15651149.87,0,0,0,0,0,
一般风险准备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
未分配利润,1508235987.81,1507366388.59,0,1565133163.86,2115592495.18,2098066510.39,1767580657.44,1421772733.77,757893935.86,682394513.38,600618169.42,543858509.53,522390045.51,445669921.57,382461654.79,317579592.74,288521833.42,230408866.00,178010866.00,140860348.78,102954639.05,-52491695.07,0,-223153613.70,0,
归属于母公司股东权益合计,4670775395.55,3041899514.94,2998501200.00,2868011900.00,3391331423.92,3221174615.83,2849645969.75,2459054032.16,1651875843.35,1576376420.87,1494600076.91,1437840417.02,1385466802.90,1308746678.96,1245538412.18,1180656350.13,1132020356.66,1073907389.24,1021509389.24,984358872.02,930802012.42,665799308.60,523991122.43,463637389.97,0,
少数股东权益,22083577.92,27400643.24,0,35645397.81,45974228.07,54894966.45,66588750.55,89914073.20,101323541.33,101740252.56,100332891.67,100975303.90,96269961.36,98768664.18,99533179.06,100026525.32,91188834.30,91797378.55,89995249.83,69253820.38,0,0,0,0,0,
所有者权益(或股东权益)合计,4692858973.47,3069300158.18,3029554200.00,2903657300.00,3437305651.99,3276069582.28,2916234720.30,2548968105.36,1753199384.68,1678116673.43,1594932968.58,1538815720.92,1481736764.26,1407515343.14,1345071591.24,1280682875.45,1223209190.96,1165704767.79,1111504639.07,1053612692.40,930802012.42,665799308.60,523991122.43,463637389.97,0,
负债和所有者权益(或股东权益)总计,5071553105.40,3445305789.86,3378363800.00,3320000402.42,3822839073.06,3703041889.70,3343095122.10,2889186696.36,2146098444.62,2058989093.35,1989601258.82,1954556342.03,1797250823.04,1700288719.33,1654409375.80,1585750807.98,1516819736.57,1441575768.64,1365288354.46,1128323956.22,1011159131.47,742177797.50,618780890.17,537735594.75,0,
