负债合计,224984913.38,190633188.15,164385950.43,165875336.27,164308435.98,151701749.10,134763591.10,75653313.17,0,
实收资本(或股本),106670000.00,106670000.00,106670000.00,80000000.00,80000000.00,80000000.00,80000000.00,25000000.00,0,
资本公积,638555977.26,638555977.26,638555977.26,115599977.26,115599977.26,115599977.26,115599977.26,0,0,
减：库存股,0,0,0,0,0,0,0,0,0,
其他综合收益,-93464.05,485149.63,461954.52,294628.36,140094.17,83735.91,-224590.24,125855.77,0,
专项储备,0,0,0,0,0,0,0,0,0,
盈余公积,24284210.64,24284210.64,24284210.64,24284210.64,10502443.07,10502443.07,1132457.24,10959743.66,0,
一般风险准备,0,0,0,0,0,0,0,0,0,
未分配利润,334550592.81,277871040.52,277087311.82,244078733.54,187846840.31,113439661.61,24368551.70,105282175.30,0,
归属于母公司股东权益合计,1103967316.66,1047866378.05,1047059454.24,464257549.80,394089354.81,319625817.85,220876395.96,141367774.73,0,
少数股东权益,0,0,0,0,0,0,0,0,0,
所有者权益(或股东权益)合计,1103967316.66,1047866378.05,1047059454.24,464257549.80,394089354.81,319625817.85,220876395.96,141367774.73,0,
负债和所有者权益(或股东权益)总计,1328952230.04,1238499566.20,1211445404.67,630132886.07,558397790.79,471327566.95,355639987.06,217021087.90,0,
