预收款项,0,0,0,173320795.96,199666953.15,273806160.82,241035402.03,183044156.02,78103451.45,24959157.60,118410291.13,51359211.24,30165210.40,0,
应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
应付职工薪酬,7396698.02,5419662.22,3663951.23,11321133.67,5042072.26,9078743.56,4976110.54,9327532.36,6629002.90,2685637.62,317296.91,238982.45,418961.63,0,
应交税费,3534509.89,4289961.95,1765561.73,1824177.74,2800339.66,853686.45,15618064.11,4965359.98,5704158.63,1589027.02,-5753044.36,30432536.35,16128074.61,0,
其他应付款(合计),2778109.17,2512007.07,7031420.18,2626348.04,2652856.96,2670817.11,1317630.60,384935.49,360347.78,546563.19,0,0,0,0,
应付利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
应付股利,0,0,0,0,0,0,0,0,0,0,0,14672761.33,6400000.00,0,
其他应付款,0,2512007.07,0,2626348.04,2652856.96,0,1317630.60,384935.49,360347.78,546563.19,733128.80,1021456.33,113059.69,0,
预提费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
一年内到期的非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
其他流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
流动负债合计,271105949.11,249843283.77,240802338.13,234870633.58,250344267.68,316157583.37,334425962.21,270217304.45,125420284.72,47573400.63,170264004.33,124271115.47,65303325.48,0,
长期借款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
应付债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
租赁负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
长期应付款(合计),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
长期应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
专项应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
预计非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
递延所得税负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
长期递延收益,2761810.56,3006236.44,3254205.55,3150441.43,3334169.57,2939327.61,2990666.49,3042005.37,3116494.60,3085839.00,0,0,0,0,
其他非流动负债,0,0,0,0,0,0,0,0,0,0,1629600.00,1663200.00,0,0,
非流动负债合计,2761810.56,3006236.44,3254205.55,3150441.43,3334169.57,2939327.61,2990666.49,3042005.37,3116494.60,3085839.00,1629600.00,1663200.00,0.00,0,
负债合计,273867759.67,252849520.21,244056543.68,238021075.01,253678437.25,319096910.98,337416628.70,273259309.82,128536779.32,50659239.63,171893604.33,125934315.47,65303325.48,0,
实收资本(或股本),95010000.00,95010000.00,63340000.00,47500000.00,47500000.00,47500000.00,47500000.00,47500000.00,47500000.00,47500000.00,45000000.00,45000000.00,5825427.68,0,
资本公积,477977016.28,477977016.28,509647016.28,68981229.45,68981229.45,68981229.45,68981229.45,68981229.45,68981229.45,69006069.88,50906069.88,50906069.88,9900.00,0,
减：库存股,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
专项储备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
盈余公积,23750000.00,23750000.00,23750000.00,23750000.00,23750000.00,23750000.00,23750000.00,23750000.00,23750000.00,23750000.00,11570006.49,1149990.29,9569057.95,0,
一般风险准备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
未分配利润,426955707.30,403217086.36,410964261.42,391384107.08,342220376.28,280445959.78,237251697.49,167245875.80,142581930.31,131869782.24,104130058.39,10349912.60,73095518.16,0,
归属于母公司股东权益合计,1023692723.58,999954102.64,1007701277.70,531615336.53,482451605.73,420677189.23,377482926.94,307477105.25,282813159.76,272125852.12,211606134.76,107405972.77,88499903.79,0,
少数股东权益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
所有者权益(或股东权益)合计,1023692723.58,999954102.64,1007701277.70,531615336.53,482451605.73,420677189.23,377482926.94,307477105.25,282813159.76,272125852.12,211606134.76,107405972.77,88499903.79,0,
负债和所有者权益(或股东权益)总计,1297560483.25,1252803622.85,1251757821.38,769636411.54,736130042.98,739774100.21,714899555.64,580736415.07,411349939.08,322785091.75,383499739.09,233340288.24,153803229.27,0,
