,20141231,20151231,20161231,20171231,20181231,20191231
货币资金,164348185.03,181557859.89,188855375.73,245999334.64,150931639.62,99347080.66
交易性金融资产,0,0,0,0,0,20000000.00
衍生金融资产,0,0,0,0,0,0
应收票据及应收账款,0,0,249610870.59,388155890.40,408953517.90,300257974.35
应收票据,24493885.25,12101910.00,22085965.88,77761552.47,108876404.17,66686359.53
应收账款,72388962.37,111985209.35,227524904.71,310394337.93,300077113.73,233571614.82
应收款项融资,0,0,0,0,0,0
预付款项,12253996.17,11290389.11,11060235.97,18437829.45,20053805.20,13330974.91
其他应收款(合计),0,0,11437711.18,15999553.33,276592131.00,131864670.46
应收利息,0,0,0,0,0,0
应收股利,0,0,0,0,0,0
其他应收款,12369866.23,9081443.34,11437711.18,15999553.33,276592131.00,131864670.46
买入返售金融资产,0,0,0,0,0,0
存货,197952455.40,164324110.24,267178601.26,409498946.07,334480520.06,179598874.75
划分为持有待售的资产,0,0,0,638683.42,0,0
一年内到期的非流动资产,0,0,0,0,907886.30,0
待摊费用,0,0,0,0,0,0
待处理流动资产损益,0,0,0,0,0,0
其他流动资产,2535548.67,4352329.86,11337129.12,21011903.92,37787142.66,18807635.95
流动资产合计,486342899.12,494693251.79,739479923.85,1099742141.23,1229706642.74,763207211.08
发放贷款及垫款,0,0,0,0,0,0
可供出售金融资产,0,0,5000000.00,0,0,0
持有至到期投资,0,0,0,0,0,0
长期应收款,0,0,0,0,0,0
长期股权投资,0,0,0,7026219.67,7452855.28,7615342.20
投资性房地产,0,0,0,197037514.24,72292893.30,70378345.26
在建工程(合计),0,0,33162970.32,4172528.70,15275000.00,0
在建工程,194075670.36,20769836.06,33162970.32,4172528.70,15275000.00,0
工程物资,0,0,0,0,0,0
固定资产及清理(合计),0,0,365439132.76,206586967.20,190706622.08,236406999.26
固定资产净额,187762729.29,373596564.98,365439132.76,206586967.20,190706622.08,236406999.26
固定资产清理,0,0,0,0,0,0
生产性生物资产,0,0,0,0,0,0
公益性生物资产,0,0,0,0,0,0
油气资产,0,0,0,0,0,0
使用权资产,0,0,0,0,0,0
无形资产,29155984.56,30654408.57,29363940.40,28503725.90,1349405.55,491937.61
开发支出,0,0,0,9671846.62,28782129.89,3962903.79
商誉,0,0,0,0,0,0
长期待摊费用,4544656.63,9602337.19,8167076.53,18163230.23,25403531.33,20895594.68
递延所得税资产,28789993.62,34319002.01,38208787.51,38286245.07,50984950.86,0
其他非流动资产,2611083.87,1082424.36,5043889.84,11346385.06,8569365.26,1011955.26
非流动资产合计,446940118.33,470024573.17,484385797.36,520794662.69,400816753.55,340763078.06
资产总计,933283017.45,964717824.96,1223865721.21,1620536803.92,1630523396.29,1103970289.14
短期借款,99000000.00,127500000.00,140000000.00,450301162.87,502057337.92,244582351.75
交易性金融负债,0,0,0,0,0,0
应付票据及应付账款,0,0,289890799.37,393330716.87,349472470.07,420332603.85
应付票据,0,0,18325991.44,42080724.19,14513737.12,79922280.02
应付账款,210667040.61,211533908.30,271564807.93,351249992.68,334958732.95,340410323.83
预收款项,49195272.00,35915001.03,27130840.96,17766366.59,26760111.07,37250220.56
应付手续费及佣金,0,0,0,0,0,0
应付职工薪酬,19669071.91,12019225.02,9697316.64,11787777.59,9848338.31,10471114.57
应交税费,12117377.58,9756348.71,4248600.32,12586263.96,20171797.76,10356956.48
其他应付款(合计),0,0,13803266.08,32043671.20,37603255.60,15837225.75
应付利息,0,0,0,0,195846.94,0
应付股利,0,0,0,0,0,0
其他应付款,14658373.00,14201829.66,13803266.08,32043671.20,37407408.66,15837225.75
预提费用,0,0,0,0,0,0
一年内的递延收益,0,0,0,0,0,0
应付短期债券,0,0,0,0,0,0
一年内到期的非流动负债,20400000.00,20400000.00,20400000.00,15540000.00,0,0
其他流动负债,0,0,0,0,0,0
流动负债合计,425707135.10,431326312.72,505170823.37,933355959.08,945913310.73,738830472.96
长期借款,56340000.00,35940000.00,15540000.00,0,0,47551361.22
应付债券,0,0,0,0,0,0
租赁负债,0,0,0,0,0,0
长期应付职工薪酬,0,0,0,0,0,0
长期应付款(合计),0,0,0,0,0,0
长期应付款,0,0,0,0,0,0
专项应付款,0,0,0,0,0,0
预计非流动负债,17745857.76,20398389.91,20938846.40,10485720.82,6252772.01,1088558.27
递延所得税负债,0,0,0,0,0,0
长期递延收益,23767051.44,21134274.15,18724295.39,15158992.10,9950278.22,12120489.79
其他非流动负债,0,0,0,0,0,0
非流动负债合计,97852909.20,77472664.06,55203141.79,25644712.92,16203050.23,60760409.28
负债合计,523560044.30,508798976.78,560373965.16,959000672.00,962116360.96,799590882.24
实收资本(或股本),90000000.00,90000000.00,120000000.00,120000000.00,120000000.00,120000000.00
资本公积,67654871.07,67654871.07,204499029.55,204499029.55,206192840.70,206192840.70
减：库存股,0,0,0,0,0,0
其他综合收益,122.52,3195.02,43469.99,-205082.09,544181.61,871143.43
专项储备,0,0,0,0,0,0
盈余公积,28171085.73,32820221.81,36869343.54,38107411.22,42583405.40,42583405.40
一般风险准备,0,0,0,0,0,0
未分配利润,223746650.36,265412578.08,302156174.51,295449906.07,300477703.99,-63890027.62
归属于母公司股东权益合计,409572729.68,455890865.98,663568017.59,657851264.75,669798131.70,305757361.91
少数股东权益,150243.47,27982.20,-76261.54,3684867.17,-1391096.37,-1377955.01
所有者权益(或股东权益)合计,409722973.15,455918848.18,663491756.05,661536131.92,668407035.33,304379406.90
负债和所有者权益(或股东权益)总计,933283017.45,964717824.96,1223865721.21,1620536803.92,1630523396.29,1103970289.14
