,20141231,20151231,20161231,20171231,20181231,20191231
货币资金,67152856.89,109105814.00,267082420.41,479189294.17,396885034.10,332429603.50
交易性金融资产,0,0,0,0,0,279282990.71
衍生金融资产,0,0,0,0,0,0
应收票据及应收账款,0,0,98426886.26,141736338.39,212215661.47,281992944.43
应收票据,0,0,500000.00,0,217908.91,1944411.47
应收账款,52594476.30,52632584.34,97926886.26,141736338.39,211997752.56,280048532.96
应收款项融资,0,0,0,0,0,0
预付款项,0,0,0,985763.29,5721443.99,8740451.99
其他应收款(合计),0,0,34753175.24,51272645.40,75284629.13,76899997.46
应收利息,0,0,0,0,0,0
应收股利,0,0,0,0,0,0
其他应收款,110228238.44,17164853.02,34753175.24,51272645.40,75284629.13,76899997.46
买入返售金融资产,0,0,0,0,0,0
存货,298139.77,327614.91,339788.45,755140.45,637911.14,13061138.34
划分为持有待售的资产,0,0,0,0,8278071.30,0
一年内到期的非流动资产,0,0,0,0,0,0
待摊费用,0,0,0,0,0,0
待处理流动资产损益,0,0,0,0,0,0
其他流动资产,56000000.00,130000000.00,136023563.49,7763357.64,400073934.83,244272170.62
流动资产合计,286273711.40,309230866.27,536625833.85,681702539.34,1099096685.96,1236679297.05
发放贷款及垫款,0,0,0,0,0,0
可供出售金融资产,0,0,0,0,0,0
持有至到期投资,0,0,0,0,0,0
长期应收款,0,0,0,0,0,114587000.00
长期股权投资,4351576.86,0,0,0,0,0
投资性房地产,0,0,0,8706928.50,0,8895830.47
在建工程(合计),0,0,925468.91,0,13980753.38,0
在建工程,0,0,925468.91,0,13980753.38,0
工程物资,0,0,0,0,0,0
固定资产及清理(合计),0,0,28710541.98,27539999.42,38100473.65,37557144.65
固定资产净额,32145058.20,29960148.42,28710541.98,27539999.42,38100473.65,37557144.65
固定资产清理,0,0,0,0,0,0
生产性生物资产,0,0,0,0,0,0
公益性生物资产,0,0,0,0,0,0
油气资产,0,0,0,0,0,0
使用权资产,0,0,0,0,0,0
无形资产,10500.00,313833.34,362817.12,949514.39,721491.42,834805.99
开发支出,0,0,0,0,0,0
商誉,0,0,0,43596660.85,139460246.83,134393908.19
长期待摊费用,50047.60,0,0,41798393.71,42346078.54,73048282.63
递延所得税资产,142117.06,716984.46,1398442.67,6110358.03,8989801.31,4454732.32
其他非流动资产,0,0,4950000.00,0,0,0
非流动资产合计,36699299.72,30990966.22,36347270.68,128701854.90,243598845.13,373771704.25
资产总计,322973011.12,340221832.49,572973104.53,810404394.24,1342695531.09,1610451001.30
短期借款,0,0,0,0,0,0
交易性金融负债,0,0,0,0,0,0
应付票据及应付账款,0,0,47644562.66,93103425.53,146255023.80,191648352.00
应付票据,0,0,0,0,0,0
应付账款,9250899.33,22211072.92,47644562.66,93103425.53,146255023.80,191648352.00
预收款项,50391578.53,61314609.34,79939721.81,120700864.15,130315766.92,202715971.96
应付手续费及佣金,0,0,0,0,0,0
应付职工薪酬,43504763.84,46046580.83,40914800.29,49958351.64,67771513.87,71881005.41
应交税费,26014185.37,36771823.68,22839681.42,25766499.37,28499325.18,20785265.73
其他应付款(合计),0,0,145092629.50,236310936.85,323483491.25,388692417.26
应付利息,0,0,0,0,0,0
应付股利,0,0,0,0,0,0
其他应付款,86094876.86,104300815.53,145092629.50,236310936.85,323483491.25,388692417.26
预提费用,0,0,0,0,0,0
一年内的递延收益,0,0,0,0,0,0
应付短期债券,0,0,0,0,0,0
一年内到期的非流动负债,0,0,0,0,0,0
其他流动负债,0,0,0,0,0,0
流动负债合计,215256303.93,270644902.30,336431395.68,525840077.54,696325121.02,875723012.36
长期借款,0,0,0,0,0,0
应付债券,0,0,0,0,0,0
租赁负债,0,0,0,0,0,0
长期应付职工薪酬,0,0,0,0,0,0
长期应付款(合计),0,0,0,0,0,0
长期应付款,0,0,0,0,0,0
专项应付款,0,0,0,0,0,0
预计非流动负债,0,0,0,0,0,0
递延所得税负债,0,0,0,0,0,0
长期递延收益,0,0,0,0,0,1114878.73
其他非流动负债,0,0,0,0,0,0
非流动负债合计,0.00,0.00,0.00,0.00,0.00,1114878.73
负债合计,215256303.93,270644902.30,336431395.68,525840077.54,696325121.02,876837891.09
实收资本(或股本),5000000.00,50000000.00,59523810.00,59523810.00,103174604.00,134126985.00
资本公积,0,5198430.20,99674620.20,99674620.20,343506757.68,312554376.68
减：库存股,0,0,0,0,0,0
其他综合收益,0,0,0,0,0,0
专项储备,0,0,0,0,0,0
盈余公积,2500000.00,1517380.47,7876600.66,16111505.47,25024054.35,37909315.02
一般风险准备,0,0,0,0,0,0
未分配利润,100010952.80,12861119.52,69466677.99,108064188.44,167153895.55,237286167.85
归属于母公司股东权益合计,107510952.80,69576930.19,236541708.85,283374124.11,638859311.58,721876844.55
少数股东权益,205754.39,0,0,1190192.59,7511098.49,11736265.66
所有者权益(或股东权益)合计,107716707.19,69576930.19,236541708.85,284564316.70,646370410.07,733613110.21
负债和所有者权益(或股东权益)总计,322973011.12,340221832.49,572973104.53,810404394.24,1342695531.09,1610451001.30
