,20141231,20151231,20161231,20171231,20181231,20191231
一、营业总收入,69255686472.96,63532339745.92,53075755593.79,58571427269.28,81445477064.29,104128599054.94
营业收入,69255686472.96,63532339745.92,53075755593.79,58571427269.28,81445477064.29,103621835960.58
二、营业总成本,65349074885.07,60249525111.81,51155513384.13,56420335578.70,78977697185.04,99007155972.98
营业成本,60095424340.14,54796045598.80,45636156375.43,49600408513.83,71968470849.88,92432223948.71
营业税金及附加,1069652676.90,900192282.18,426882699.08,249069100.92,421229578.51,364468940.80
销售费用,218898047.81,254464627.52,254329691.33,291756897.79,374039340.51,438594736.52
管理费用,3818049698.60,3923350264.26,3774306404.66,4132833420.64,2303312977.08,2244515772.86
财务费用,21176253.40,10089610.19,-62465689.20,585679734.11,64087661.88,112376295.82
研发费用,0,0,0,0,2582308093.88,3316583027.15
资产减值损失,125873868.22,365382728.86,1126303902.83,1560587911.41,1264248683.30,0
公允价值变动收益,0,41832.52,0,60386.56,-258242.31,10102353.42
投资收益,197689904.15,207939472.22,101320499.63,84717231.48,139243121.50,123948472.28
其中:对联营企业和合营企业的投资收益,-4463072.43,8668679.21,10929395.83,12390571.42,6698909.70,12209668.32
汇兑收益,0,0,0,0,0,500483.67
三、营业利润,4104301492.04,3490795938.85,2021562709.29,2314804080.40,2756455517.16,3882125455.76
加:营业外收入,123451310.98,164724462.02,306165947.86,32396618.44,83697314.23,85715225.13
减：营业外支出,338773134.61,43659207.48,133025372.90,73712559.55,71915967.78,58515684.77
其中：非流动资产处置损失,20623361.57,21491825.21,15104332.67,0,0,0
四、利润总额,3888979668.41,3611861193.39,2194703284.25,2273488139.29,2768236863.61,3909324996.12
减：所得税费用,636320743.86,647284654.19,419457461.18,677347355.36,688188942.97,622061583.67
五、净利润,3252658924.55,2964576539.20,1775245823.07,1596140783.93,2080047920.64,3287263412.45
归属于母公司所有者的净利润,3166047962.94,2841788885.78,1770384283.62,1557241925.14,1931773854.02,3061407368.97
少数股东损益,86610961.61,122787653.42,4861539.45,38898858.79,148274066.62,225856043.48
基本每股收益(元/股),0.640000,0.580000,0.360000,0.320000,0.390000,0.620000
稀释每股收益(元/股),0.640000,0.580000,0.360000,0.320000,0.390000,0.620000
七、其他综合收益,-64436622.53,67100808.98,-47777867.98,-189497181.47,-12119532.60,24799779.01
八、综合收益总额,3188222302.02,3031677348.18,1727467955.09,1406643602.46,2067928388.04,3312063191.46
归属于母公司所有者的综合收益总额,3102119542.11,2908555327.97,1722689271.91,1374542161.70,1917849491.12,3083692776.28
归属于少数股东的综合收益总额,86102759.91,123122020.21,4778683.18,32101440.76,150078896.92,228370415.18
