,20141231,20151231,20161231,20171231,20181231,20191231
现金及存放中央银行款项,506067000000.00,481157000000.00,517230000000.00,486531000000.00,443723000000.00,477853000000.00
存放同业款项,142287000000.00,111388000000.00,234223000000.00,96348000000.00,94284000000.00,103755000000.00
拆出资金,21969000000.00,137806000000.00,118892000000.00,80839000000.00,142251000000.00,172607000000.00
贵金属,11707000000.00,28724000000.00,9548000000.00,10261000000.00,10475000000.00,30870000000.00
交易性金融资产,32841000000.00,63746000000.00,177203000000.00,162866000000.00,395668000000.00,505318000000.00
衍生金融工具资产,2612000000.00,10610000000.00,16233000000.00,28264000000.00,43274000000.00,38719000000.00
买入返售金融资产,196188000000.00,110218000000.00,3001000000.00,13974000000.00,11573000000.00,2873000000.00
应收利息,17328000000.00,20437000000.00,22911000000.00,31094000000.00,0,0
发放贷款及垫款,2028380000000.00,2245518000000.00,2762806000000.00,3194600000000.00,3560910000000.00,3986670000000.00
代理业务资产,0,0,0,0,0,0
可供出售金融资产,222208000000.00,254846000000.00,620463000000.00,664508000000.00,0,0
持有至到期投资,121698000000.00,239703000000.00,326950000000.00,444726000000.00,1144249000000.00,1074927000000.00
长期股权投资,1475000000.00,1599000000.00,949000000.00,1006000000.00,1968000000.00,2049000000.00
应收投资款项,877171000000.00,1325032000000.00,1010472000000.00,832598000000.00,0,0
固定资产合计,13929000000.00,19062000000.00,21605000000.00,25140000000.00,26492000000.00,30383000000.00
无形资产,858000000.00,879000000.00,3396000000.00,3299000000.00,9962000000.00,10357000000.00
商誉,0,0,6981000000.00,6981000000.00,6981000000.00,6981000000.00
递延税款借项,10692000000.00,14427000000.00,21838000000.00,29022000000.00,36877000000.00,45532000000.00
投资性房地产,0,0,0,0,0,0
其他资产,40645000000.00,51648000000.00,69201000000.00,114567000000.00,82274000000.00,122212000000.00
资产总计,4195924000000.00,5044352000000.00,5857263000000.00,6137240000000.00,6289606000000.00,7005929000000.00
向中央银行借款,21006000000.00,23645000000.00,147622000000.00,182387000000.00,221003000000.00,233423000000.00
同业存入及拆入,824629000000.00,1142537000000.00,1439095000000.00,1453100000000.00,1216391000000.00,1163369000000.00
其中:同业存放款项,761531000000.00,1042948000000.00,1341963000000.00,1314318000000.00,1067769000000.00,1000828000000.00
拆入资金,63098000000.00,99589000000.00,97132000000.00,138782000000.00,148622000000.00,162541000000.00
衍生金融工具负债,3303000000.00,7319000000.00,13091000000.00,30034000000.00,42793000000.00,41503000000.00
交易性金融负债,312000000.00,210000000.00,29526000000.00,28333000000.00,34912000000.00,23295000000.00
卖出回购金融资产款,68240000000.00,119205000000.00,93200000000.00,184464000000.00,119564000000.00,227583000000.00
客户存款(吸收存款),2724004000000.00,2954149000000.00,3002015000000.00,3037936000000.00,3253315000000.00,3661842000000.00
应付职工薪酬,5696000000.00,5684000000.00,6428000000.00,7911000000.00,10487000000.00,12628000000.00
应交税费,12066000000.00,14776000000.00,17620000000.00,20034000000.00,21595000000.00,28060000000.00
应付利息,38750000000.00,36235000000.00,34082000000.00,35064000000.00,0,0
应付账款,0,0,0,0,0,0
代理业务负债,0,0,0,0,0,0
应付债券,146667000000.00,399906000000.00,664683000000.00,686296000000.00,841440000000.00,1003502000000.00
递延所得税负债,0,7000000.00,717000000.00,680000000.00,643000000.00,634000000.00
预计负债,0,0,0,0,4747000000.00,6698000000.00
其他负债,87954000000.00,22067000000.00,36237000000.00,40002000000.00,44336000000.00,42341000000.00
负债合计,3932639000000.00,4725752000000.00,5484329000000.00,5706255000000.00,5811226000000.00,6444878000000.00
股本,18653000000.00,18653000000.00,21618000000.00,29352000000.00,29352000000.00,29352000000.00
其他权益工具,14960000000.00,29920000000.00,29920000000.00,29920000000.00,29920000000.00,62698000000.00
其中：优先股,0,29920000000.00,29920000000.00,29920000000.00,29920000000.00,0
资本公积,60639000000.00,60639000000.00,74678000000.00,81760000000.00,81760000000.00,81760000000.00
减:库藏股,0,0,0,0,0,0
其他综合收益,1255000000.00,5713000000.00,233000000.00,-5335000000.00,4659000000.00,7267000000.00
盈余公积,49647000000.00,63651000000.00,78689000000.00,94198000000.00,109717000000.00,125805000000.00
未分配利润,78157000000.00,90670000000.00,97316000000.00,119807000000.00,140208000000.00,170730000000.00
一般风险准备,36858000000.00,45924000000.00,65493000000.00,75702000000.00,75946000000.00,76249000000.00
外币报表折算差额,0,0,0,0,0,0
其他储备,0,0,0,0,0,0
归属于母公司股东的权益,260169000000.00,315170000000.00,367947000000.00,425404000000.00,471562000000.00,553861000000.00
少数股东权益,3116000000.00,3430000000.00,4987000000.00,5581000000.00,6818000000.00,7190000000.00
股东权益合计,263285000000.00,318600000000.00,372934000000.00,430985000000.00,478380000000.00,561051000000.00
负债及股东权益总计,4195924000000.00,5044352000000.00,5857263000000.00,6137240000000.00,6289606000000.00,7005929000000.00
