工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
固定资产及清理(合计),63425375.90,0,0,67780223.61,65601385.68,67701227.26,69932926.94,79062838.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
固定资产净额,0,0,0,67780223.61,0,67701227.26,69932926.94,0,74298285.28,76172198.50,76408693.25,77375617.74,75661014.34,69834615.26,71366836.59,73303217.31,72041509.14,73959300.65,76778587.87,65289026.78,57106089.84,64846894.06,56935394.61,52728522.95,47994736.92,32875229.06,29217041.50,0,
固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
无形资产,60022468.13,0,0,13943360.11,14190663.91,14437967.71,14718679.06,14595780.08,3972384.57,3972384.57,4101375.65,4101375.65,4951731.65,4101375.65,5077591.01,5077591.01,4227235.01,4227235.01,4350111.15,4350111.15,4405798.76,4350111.15,4525829.90,4525829.90,4643586.30,4977401.73,4953643.11,0,
开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
商誉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
