减：所得税费用,8400656.41,0,0,10649243.84,8115460.39,7171193.97,0,8954243.88,5769450.34,7678422.15,625033.91,3129855.95,3120132.64,2546539.45,812944.29,3232178.12,2528731.69,1237143.68,0,1710518.31,2291461.97,1894904.37,1254531.08,5503039.49,4355565.69,2696547.26,4137013.22,4254822.19,1133204.62,0,
五、净利润,37103750.81,22429900.00,11275000.00,69881147.30,46019491.25,29121000.00,16024200.00,61207489.68,20009764.40,42831637.68,3541858.81,27994284.42,17680751.58,14430390.18,4606684.30,23884946.54,14329479.67,7010480.92,849018.85,15613139.08,12984951.14,10737791.46,7109009.48,36698928.61,24681538.85,33400733.85,26379770.98,23469513.18,18835781.79,0,
归属于母公司所有者的净利润,37103750.81,22429900.00,11275000.00,69881147.30,46019491.25,29121000.00,16024200.00,61207489.68,20009764.40,42831637.68,3541858.81,27994284.42,17680751.58,14430390.18,4606684.30,23884946.54,14329479.67,7010480.92,849018.85,15613139.08,12984951.14,10737791.46,7109009.48,36698928.61,24681538.85,33400733.85,26379770.98,23469513.18,18835781.79,0,
少数股东损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
基本每股收益(元/股),0.480000,0,0,0.930000,0.610000,0.400000,0,0.820000,0.530000,1.720000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
稀释每股收益(元/股),0.480000,0,0,0.930000,0.610000,0.400000,0,0.820000,0.530000,1.720000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
八、综合收益总额,37103750.81,0,0,69881147.30,46019491.25,29928759.17,0,61207489.68,20009764.40,42831637.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
归属于母公司所有者的综合收益总额,37103750.81,0,0,69881147.30,46019491.25,0,0,61207489.68,20009764.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
归属于少数股东的综合收益总额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
