,20141231,20151231,20161231,20171231,20181231,20191231
货币资金,2125599692.00,2192994959.00,5728303490.06,2906569129.06,1474876659.89,1682272033.27
交易性金融资产,0,0,0,0,0,0
衍生金融资产,0,0,0,0,0,0
应收票据及应收账款,0,0,0,20602992.86,7020945.76,61097599.88
应收票据,0,0,3860000.00,2100000.00,0,54564808.00
应收账款,6126323.00,1608955.00,7368993.70,18502992.86,7020945.76,6532791.88
应收款项融资,0,0,0,0,0,0
预付款项,175416182.00,73452716.00,63781049.70,12145378.35,17767991.60,47240624.55
其他应收款(合计),0,0,0,3692215522.89,2752415896.70,4766178785.77
应收利息,0,0,0,0,0,0
应收股利,0,0,0,0,0,524516294.16
其他应收款,4371100032.00,3622892836.00,2989372896.11,3692215522.89,2752415896.70,4241662491.61
买入返售金融资产,0,0,0,0,0,0
存货,11348196193.00,12907218425.00,4855005930.89,3294318103.18,1683026880.54,1554769993.10
划分为持有待售的资产,0,0,0,0,0,0
一年内到期的非流动资产,465700000.00,0,0,900000000.00,0,88000000.00
待摊费用,0,0,0,0,0,0
待处理流动资产损益,0,0,0,0,0,0
其他流动资产,62768628.00,83155041.00,53764563.03,21073975.21,1505491425.86,1105278974.50
流动资产合计,18554907050.00,18881322932.00,13701456923.49,10846925101.55,7440599800.35,9304838011.07
发放贷款及垫款,0,0,0,0,0,0
可供出售金融资产,0,0,5182926.83,6522797613.19,5172797613.19,0
持有至到期投资,0,0,0,0,0,2288507600.00
长期应收款,789709048.00,1042635136.00,1120939010.69,1000000.00,0,0
长期股权投资,1414996534.00,1449767762.00,3889893205.95,4706861569.92,9848683140.43,10756650896.87
投资性房地产,58808087.00,56481137.00,180626146.49,363922335.18,788440493.72,730111033.13
在建工程(合计),0,0,0,10595695822.06,18796666696.69,1571359067.50
在建工程,3972086357.00,4770039817.00,6517944430.93,10594661339.69,18796666696.69,1571359067.50
工程物资,1300460.00,1169845.00,1172644.74,1034482.37,0,0
固定资产及清理(合计),0,0,0,5727044764.25,4539364644.84,6390250130.16
固定资产净额,8425746480.00,7750783455.00,7260791365.29,5727044764.25,4539364644.84,6390250130.16
固定资产清理,0,0,0,0,0,0
生产性生物资产,0,0,0,0,0,0
公益性生物资产,0,0,0,0,0,0
油气资产,0,0,0,0,0,0
使用权资产,0,0,0,0,0,0
无形资产,10561291420.00,10240192062.00,10013551026.97,9853945489.87,19665700361.29,41257771199.11
开发支出,0,0,0,0,0,0
商誉,33515135.00,2097432.00,0,0,0,0
长期待摊费用,3333123.00,2513711.00,5649281.71,4384793.71,8530997.91,7749557.29
递延所得税资产,193285882.00,232484943.00,134817766.92,219714162.76,608874790.86,552645364.07
其他非流动资产,0,0,2598487854.18,1996924897.40,1726477882.81,1809010551.70
非流动资产合计,25454072526.00,25548165300.00,31729055660.70,39992291448.34,61155536621.74,71054787402.23
资产总计,44008979576.00,44429488232.00,45430512584.19,50839216549.89,68596136422.09,80359625413.30
短期借款,1010000000.00,0,0,2400000000.00,28000000.00,504762465.75
交易性金融负债,0,0,0,0,0,0
应付票据及应付账款,0,0,0,1667411693.54,2318563333.99,4447658504.06
应付票据,9260471.00,9875481.00,2982616.80,50750000.00,5945302.77,0
应付账款,1222735046.00,1502880559.00,1540529583.49,1616661693.54,2312618031.22,4447658504.06
预收款项,672087542.00,716808308.00,615822399.77,169713974.13,21377035.31,92224531.98
应付手续费及佣金,0,0,0,0,0,0
应付职工薪酬,5138916.00,8075659.00,2593127.55,3427006.95,7444020.95,5705464.98
应交税费,490563295.00,491483592.00,416551999.09,497199428.80,594274988.14,647831203.44
其他应付款(合计),0,0,0,828331085.18,1462138276.97,1077220744.49
应付利息,139769656.00,162535882.00,103341928.37,80006601.77,104977482.07,0
应付股利,0,2465000.00,0,0,0,0
其他应付款,1809709746.00,1451332142.00,2339203545.11,748324483.41,1357160794.90,1077220744.49
预提费用,0,0,0,0,0,0
一年内的递延收益,0,0,0,0,0,0
应付短期债券,0,0,0,0,0,0
一年内到期的非流动负债,1851500894.00,806949951.00,2138703930.00,701814852.80,4225070943.36,2652109706.46
其他流动负债,800000000.00,2500000000.00,0,0,2500000000.00,2514549315.05
流动负债合计,8010765566.00,7652406574.00,7159729130.18,6267898041.40,11156868598.72,11942061936.21
长期借款,8125004148.00,7198197461.00,10719945740.40,15074614247.78,26288610859.72,32140198125.26
应付债券,3485980549.00,3493247619.00,1998487671.00,1999087671.00,0,0
租赁负债,0,0,0,0,0,0
长期应付职工薪酬,0,0,0,0,116078827.90,127374227.66
长期应付款(合计),0,0,0,294000000.00,294000000.00,294000000.00
长期应付款,1575758776.00,1573739015.00,18957135.93,0,0,294000000.00
专项应付款,294000000.00,294000000.00,294000000.00,294000000.00,294000000.00,0
预计非流动负债,0,0,0,0,0,0
递延所得税负债,54484226.00,30147051.00,48179141.85,79941865.25,857745250.08,902747303.09
长期递延收益,0,0,4554375.00,54096875.00,567414760.34,565805432.20
其他非流动负债,0,0,0,0,0,0
非流动负债合计,13535227699.00,12589331146.00,13084124064.18,17501740659.03,28123849698.04,34030125088.21
负债合计,21545993265.00,20241737720.00,20243853194.36,23769638700.43,39280718296.76,45972187024.42
实收资本(或股本),4811165857.00,4811165857.00,4811165857.00,4811165857.00,4811165857.00,4811165857.00
资本公积,4892651115.00,4793056798.00,4621413401.65,4621413401.65,3273636101.65,4159538082.19
减：库存股,0,0,0,0,0,0
其他综合收益,0,26216889.00,7006516.36,-5109694.50,6823118.95,9953082.58
专项储备,0,0,0,0,0,0
盈余公积,1976839534.00,2263583676.00,2535580739.00,2749383274.64,2892790737.78,3164742776.43
一般风险准备,0,0,0,0,0,0
未分配利润,9500756373.00,11051928188.00,12943883278.05,14431274279.59,16276718131.16,17975791829.92
归属于母公司股东权益合计,21181412879.00,22945951408.00,24919049792.06,26608127118.38,27261133946.54,32121191628.12
少数股东权益,1281573432.00,1241799104.00,267609597.77,461450731.08,2054284178.79,2266246760.76
所有者权益(或股东权益)合计,22462986311.00,24187750512.00,25186659389.83,27069577849.46,29315418125.33,34387438388.88
负债和所有者权益(或股东权益)总计,44008979576.00,44429488232.00,45430512584.19,50839216549.89,68596136422.09,80359625413.30
