,20141231,20151231,20161231,20171231,20181231,20191231
货币资金,147027148.17,181816417.93,131658435.92,291625014.31,470599947.55,719559208.06
交易性金融资产,0,0,0,0,0,160185000.00
衍生金融资产,0,0,0,0,0,0
应收票据及应收账款,0,0,56366350.48,62908250.26,95555392.98,118173474.60
应收票据,0,0,0,0,2028080.00,0
应收账款,58399516.03,51829474.15,56366350.48,62908250.26,93527312.98,118173474.60
应收款项融资,0,0,0,0,0,1517974.22
预付款项,2733368.79,619243.06,2062719.05,5910077.01,23239941.66,13442333.20
其他应收款(合计),0,0,7598486.72,4165274.94,2966581.91,4339442.54
应收利息,246328.36,1406854.64,0,355043.08,102727.45,0
应收股利,0,0,0,0,0,0
其他应收款,783935.00,7404584.80,7598486.72,3810231.86,2863854.46,4339442.54
买入返售金融资产,0,0,0,0,0,0
存货,141445465.21,127211116.29,111896137.31,406728500.92,472694085.52,500854164.78
划分为持有待售的资产,0,0,0,0,0,0
一年内到期的非流动资产,0,0,0,0,0,0
待摊费用,0,0,0,0,0,0
待处理流动资产损益,0,0,0,0,0,0
其他流动资产,489609681.77,489603544.79,375905986.24,536351276.83,266358668.18,49038091.89
流动资产合计,840245443.33,859891235.66,685488115.72,1307688394.27,1331414617.80,1567109689.29
发放贷款及垫款,0,0,0,0,0,0
可供出售金融资产,0,0,0,0,0,0
持有至到期投资,0,0,0,0,0,0
长期应收款,0,0,0,0,0,0
长期股权投资,107707387.71,101275304.25,100291937.27,97702813.04,93313919.38,81875193.46
投资性房地产,1957868.32,1679149.66,1400431.12,1121712.58,842994.06,5251293.58
在建工程(合计),0,0,420929212.17,86538706.05,255430531.25,68233643.26
在建工程,19319763.62,28637038.10,381736221.03,67988946.98,225797900.28,44033707.25
工程物资,4585008.09,5120653.62,39192991.14,18549759.07,29632630.97,24199936.01
固定资产及清理(合计),0,0,671362830.69,1288215887.14,1275891278.23,1445406590.47
固定资产净额,722539705.95,693202249.22,671362830.69,1288215887.14,1275891278.23,1445406590.47
固定资产清理,0,0,0,0,0,0
生产性生物资产,0,0,0,0,0,0
公益性生物资产,0,0,0,0,0,0
油气资产,0,0,0,0,0,0
使用权资产,0,0,0,0,0,0
无形资产,32841771.66,100190596.87,105193109.76,107292439.37,108021971.27,105178537.58
开发支出,0,0,0,0,0,0
商誉,0,0,0,0,0,0
长期待摊费用,1228928.01,1128270.53,1170826.53,2444063.21,1884664.09,1408622.48
递延所得税资产,2455135.50,3200039.31,2927183.25,4442896.06,3706909.66,5152175.30
其他非流动资产,10240950.11,35812793.27,96459524.55,38876865.13,38058786.20,19738791.10
非流动资产合计,902876518.97,970246094.83,1399735055.34,1626635382.58,1777151054.14,1732244847.23
资产总计,1743121962.30,1830137330.49,2085223171.06,2934323776.85,3108565671.94,3299354536.52
短期借款,180672365.46,272650829.62,90000000.00,285000000.00,329238370.40,578293110.89
交易性金融负债,453042.00,1017429.03,0,0,0,0
应付票据及应付账款,0,0,142018869.75,176928180.34,176682138.47,193447921.29
应付票据,0,2720000.00,3400000.00,0,13628471.35,0
应付账款,118078333.41,73504651.11,138618869.75,176928180.34,163053667.12,193447921.29
预收款项,2573328.99,3607831.23,6269749.56,4159071.02,9224806.72,29694790.43
应付手续费及佣金,0,0,0,0,0,0
应付职工薪酬,5349011.15,6500521.45,9479932.36,17616651.22,22755732.56,32133023.13
应交税费,4705540.19,12598453.36,10288274.00,10208817.98,9603023.20,18459520.98
其他应付款(合计),0,0,65052510.39,76034171.87,62245149.71,68052683.62
应付利息,254900.36,278881.47,342211.10,890983.83,845819.21,0
应付股利,0,0,0,0,0,0
其他应付款,54131629.67,56247610.64,64710299.29,75143188.04,61399330.50,68052683.62
预提费用,0,0,0,0,0,0
一年内的递延收益,0,0,0,0,0,0
应付短期债券,0,0,0,0,0,0
一年内到期的非流动负债,0,0,0,0,79092575.27,117868451.38
其他流动负债,0,0,0,0,0,0
流动负债合计,366218151.23,429126207.91,323109336.06,569946892.43,688841796.33,1037949501.72
长期借款,0,0,156033500.00,237076706.00,237076706.00,200338755.60
应付债券,0,0,0,0,0,0
租赁负债,0,0,0,0,0,0
长期应付职工薪酬,0,0,0,0,0,0
长期应付款(合计),0,0,0,0,163450344.55,82658599.16
长期应付款,0,0,0,0,163450344.55,82658599.16
专项应付款,0,0,0,0,0,0
预计非流动负债,0,0,0,0,0,0
递延所得税负债,0,0,0,0,0,0
长期递延收益,13811708.33,17616708.33,16045708.33,42823737.93,38747861.87,39169541.67
其他非流动负债,0,0,0,0,0,0
非流动负债合计,13811708.33,17616708.33,172079208.33,279900443.93,439274912.42,322166896.43
负债合计,380029859.56,446742916.24,495188544.39,849847336.36,1128116708.75,1360116398.15
实收资本(或股本),441641100.00,883282200.00,883282200.00,905779387.00,905779387.00,905779387.00
资本公积,717836006.23,276194906.23,276194906.23,640482035.14,630466559.51,630466559.51
减：库存股,0,0,0,0,0,0
其他综合收益,-301712.41,-133328.81,1736278.41,-1088551.73,1421802.64,2413130.10
专项储备,0,0,0,257247.35,25192.97,5243.33
盈余公积,48815646.50,56407167.17,67664212.96,77723051.88,88381158.58,103996812.29
一般风险准备,0,0,0,0,0,0
未分配利润,148778278.28,164796308.79,221603216.38,188969713.56,159880848.68,178336209.63
归属于母公司股东权益合计,1356769318.60,1380547253.38,1450480813.98,1812122883.20,1785954949.38,1820997341.86
少数股东权益,6322784.14,2847160.87,139553812.69,272353557.29,194494013.81,118240796.51
所有者权益(或股东权益)合计,1363092102.74,1383394414.25,1590034626.67,2084476440.49,1980448963.19,1939238138.37
负债和所有者权益(或股东权益)总计,1743121962.30,1830137330.49,2085223171.06,2934323776.85,3108565671.94,3299354536.52
