应付账款,721237528.38,520368728.79,347309053.72,615325772.27,767150974.47,771346696.73,0,528339852.62,613961646.86,430151477.83,0,188369463.07,0,
预收款项,0,0,0,22778097.90,43669362.65,30987467.94,65532930.49,67605198.11,77188049.08,71288791.18,49632460.77,29847125.44,0,
应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,
应付职工薪酬,43722972.23,33808094.19,33276922.14,64911220.78,36875788.35,35397618.14,24495739.74,69066250.33,40346620.47,48019050.86,37890082.01,25208456.53,0,
应交税费,25820314.35,30026549.16,14928173.24,39054663.60,34283515.49,37367532.15,6353845.20,17146754.17,20726795.74,20886785.22,19210260.24,12590629.15,0,
其他应付款(合计),86744642.18,74070285.81,76090313.81,75481906.55,16994279.72,11917410.15,5288653.72,10670710.47,96011268.44,15292185.87,19056691.79,0,0,
应付利息,103606.06,101105.08,86161.53,69220.87,0,357580.44,371738.16,131019.58,480473.40,239578.84,2639085.35,1712333.33,0,
应付股利,3405050.00,3539750.00,3542550.00,3488100.00,0,0,0,0,0,0,0,0,0,
其他应付款,0,70429430.73,0,71924585.68,0,11559829.71,0,10539690.89,95530795.04,15052607.03,0,61757414.88,0,
预提费用,0,0,0,0,0,0,0,0,0,0,0,0,0,
一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,
应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0,
一年内到期的非流动负债,2325000.00,2325000.00,0,0,0,0,0,0,0,0,2044914.91,0,0,
其他流动负债,16347854.76,6820606.82,5804555.67,5299775.67,795621.89,762302.03,2243665.93,688744.51,291185.55,281647.08,0,0,0,
流动负债合计,1268499492.63,864036539.43,640666069.34,949632058.52,1094953359.88,1337643461.98,850454105.61,1169653050.82,1327648981.56,1051951940.20,724092452.68,613884446.37,0,
长期借款,0,0,0,0,0,0,0,0,0,0,2625489.33,0,0,
应付债券,0,0,0,0,0,0,0,0,0,0,0,0,0,
租赁负债,0,0,0,0,0,0,0,0,0,0,0,0,0,
长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,0,0,
长期应付款(合计),0,0,0,0,0,0,0,0,0,0,0,0,0,
长期应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,
专项应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,
预计非流动负债,62544265.20,59024275.78,62399493.40,63909298.87,64556458.09,56601252.83,53021125.44,51685784.64,46220325.75,39669114.78,28887686.33,17528522.12,0,
递延所得税负债,301631.75,304875.11,295145.03,311361.80,1573025.83,1589242.60,1605459.37,1621676.13,1654109.66,1686543.18,1751410.23,1816277.28,0,
长期递延收益,20558561.54,21520100.00,16520100.00,6270800.00,4125135.00,3844400.00,5990065.00,5645665.00,5213165.00,500000.00,1064000.00,0,0,
其他非流动负债,2325000.00,2325000.00,4650000.00,4650000.00,0,0,0,0,0,0,0,0,0,
非流动负债合计,85729458.49,83174250.89,83864738.43,75141460.67,70254618.92,62034895.43,60616649.81,58953125.77,53087600.41,41855657.96,34328585.89,19344799.40,0,
负债合计,1354228951.12,947210790.32,724530807.77,1024773519.19,1165207978.80,1399678357.41,911070755.42,1228606176.59,1380736581.97,1093807598.16,758421038.57,633229245.77,0,
实收资本(或股本),236454451.00,236454451.00,139090854.00,139090854.00,137233977.00,137233977.00,102923977.00,102923977.00,102923977.00,102923977.00,50000000.00,50000000.00,0,
