,20141231,20151231,20161231,20171231,20181231,20191231
货币资金,140429082.07,65691485.90,32190392.37,233933410.36,328439657.52,242156213.63
交易性金融资产,0,0,0,0,5017015.20,107297310.71
衍生金融资产,0,0,0,0,0,0
应收票据及应收账款,0,0,238396396.90,114588830.94,103132032.15,98737371.46
应收票据,127985196.08,159491704.60,211246240.33,108983598.33,94169553.74,84876773.58
应收账款,40222760.72,56946319.98,27150156.57,5605232.61,8962478.41,13860597.88
应收款项融资,0,0,0,0,0,0
预付款项,29550910.89,34807772.77,16434335.93,16534174.88,66151164.50,16976322.15
其他应收款(合计),0,0,16998745.89,14121054.54,14714914.37,16604175.36
应收利息,0,0,0,0,0,0
应收股利,0,0,0,0,0,0
其他应收款,16126709.40,15705203.08,16998745.89,14121054.54,14714914.37,16604175.36
买入返售金融资产,0,0,0,0,0,0
存货,138309966.52,146910731.77,85684671.74,86459525.36,121798082.22,154267919.05
划分为持有待售的资产,0,0,0,0,0,0
一年内到期的非流动资产,0,0,0,0,1500000.00,0
待摊费用,0,0,0,0,0,0
待处理流动资产损益,0,0,0,0,0,0
其他流动资产,0,37000000.00,274764980.01,196827756.18,71490601.92,117626620.00
流动资产合计,492624625.68,516553218.10,664469522.84,662464752.26,712243467.88,753665932.36
发放贷款及垫款,0,0,0,0,0,0
可供出售金融资产,24000000.00,24000000.00,22708740.91,22708740.91,22708740.91,0
持有至到期投资,0,0,0,0,0,0
长期应收款,0,0,0,0,0,0
长期股权投资,7734022.31,0,0,0,0,0
投资性房地产,0,0,0,0,0,0
在建工程(合计),0,0,7309834.14,28037790.08,81991787.51,71623306.64
在建工程,9102813.80,4961593.51,7309834.14,28037790.08,75418022.42,67658756.78
工程物资,0,0,0,0,6573765.09,3964549.86
固定资产及清理(合计),0,0,747672230.63,706519283.68,817501664.47,959641250.45
固定资产净额,771725618.66,754894041.32,747672230.63,706519283.68,817501664.47,959641250.45
固定资产清理,0,0,0,0,0,0
生产性生物资产,0,0,0,0,0,0
公益性生物资产,0,0,0,0,0,0
油气资产,0,0,0,0,0,0
使用权资产,0,0,0,0,0,0
无形资产,56047090.43,54425042.27,52802994.11,51180945.95,74173318.72,74486844.90
开发支出,0,0,0,0,539883.87,1059469.65
商誉,0,0,0,0,173606348.10,173606348.10
长期待摊费用,0,0,0,0,0,0
递延所得税资产,0,0,0,0,4783642.44,9991237.72
其他非流动资产,0,0,0,0,0,0
非流动资产合计,868609545.20,838280677.10,830493799.79,808446760.62,1175305386.02,1318085865.44
资产总计,1361234170.88,1354833895.20,1494963322.63,1470911512.88,1887548853.90,2071751797.80
短期借款,0,0,0,0,10000000.00,0
交易性金融负债,0,0,0,0,0,0
应付票据及应付账款,0,0,141386237.44,136366136.40,189970188.82,205856722.75
应付票据,0,0,0,0,0,0
应付账款,132892883.32,133326014.63,141386237.44,136366136.40,189970188.82,205856722.75
预收款项,114308087.90,75489232.04,174752878.51,85494970.53,95738891.42,110101311.35
应付手续费及佣金,0,0,0,0,0,0
应付职工薪酬,35418911.73,33834444.89,30005087.27,30364990.83,41282723.55,43970750.21
应交税费,30631635.89,29535481.39,41669542.49,42253595.59,53931378.77,50826497.26
其他应付款(合计),0,0,21996342.83,15153683.15,127186764.00,28510267.84
应付利息,0,0,0,0,17279.17,0
应付股利,0,0,0,0,0,0
其他应付款,17969519.92,26697218.27,21996342.83,15153683.15,127169484.83,28510267.84
预提费用,0,0,0,0,0,0
一年内的递延收益,0,0,0,0,0,0
应付短期债券,0,0,0,0,0,0
一年内到期的非流动负债,0,0,0,0,14128080.15,0
其他流动负债,0,0,0,0,0,0
流动负债合计,331221038.76,298882391.22,409810088.54,309633376.50,532238026.71,439265549.41
长期借款,0,0,0,0,0,0
应付债券,0,0,0,0,0,0
租赁负债,0,0,0,0,0,0
长期应付职工薪酬,0,0,0,0,0,0
长期应付款(合计),0,0,0,0,0,0
长期应付款,0,0,0,0,0,0
专项应付款,0,0,0,0,0,0
预计非流动负债,0,0,0,0,0,0
递延所得税负债,0,0,0,0,5729115.45,25222324.35
长期递延收益,0,0,0,0,3460000.00,8635166.30
其他非流动负债,0,0,0,0,0,16584802.76
非流动负债合计,0.00,0.00,0.00,0.00,9189115.45,50442293.41
负债合计,331221038.76,298882391.22,409810088.54,309633376.50,541427142.16,489707842.82
实收资本(或股本),350986607.00,350986607.00,350986607.00,350986607.00,350986607.00,350986607.00
资本公积,874159582.29,874159582.29,874159582.29,874159582.29,874159582.29,874159582.29
减：库存股,0,0,0,0,0,0
其他综合收益,0,0,0,0,0,0
专项储备,6258625.14,4478471.11,3521793.70,1198186.62,1695588.84,2400871.15
盈余公积,175566425.70,175566425.70,175566425.70,175566425.70,175566425.70,175566425.70
一般风险准备,0,0,0,0,0,0
未分配利润,-376958108.01,-349239582.12,-319081174.60,-240632665.23,-146557871.97,10832756.55
归属于母公司股东权益合计,1030013132.12,1055951503.98,1085153234.09,1161278136.38,1255850331.86,1413946242.69
少数股东权益,0,0,0,0,90271379.88,168097712.29
所有者权益(或股东权益)合计,1030013132.12,1055951503.98,1085153234.09,1161278136.38,1346121711.74,1582043954.98
负债和所有者权益(或股东权益)总计,1361234170.88,1354833895.20,1494963322.63,1470911512.88,1887548853.90,2071751797.80
