,20141231,20151231,20161231,20171231,20181231,20191231
货币资金,213947017.90,260354980.48,1283404199.33,1391676057.06,783726330.22,78742987.05
交易性金融资产,0,0,0,0,0,7486344.58
衍生金融资产,0,0,0,0,0,0
应收票据及应收账款,0,0,810364949.98,847140125.00,557775403.38,211222165.73
应收票据,142077421.08,69575200.00,92441370.35,11254157.15,3320000.00,283680.00
应收账款,354609169.40,1042320990.17,717923579.63,835885967.85,554455403.38,210938485.73
应收款项融资,0,0,0,0,0,0
预付款项,86847966.93,201308411.14,105651340.10,151303192.03,203721139.01,118034236.85
其他应收款(合计),0,0,44900441.17,39550026.03,451774775.62,164265097.77
应收利息,0,0,0,11853775.70,22973875.01,0
应收股利,0,0,0,9209000.00,215484105.60,0
其他应收款,3483786.14,1402323.08,44900441.17,18487250.33,213316795.01,164265097.77
买入返售金融资产,0,0,0,0,0,0
存货,438399324.97,611555349.13,608250988.89,512762638.25,496533899.48,279636139.98
划分为持有待售的资产,0,0,0,0,0,0
一年内到期的非流动资产,0,0,0,0,0,0
待摊费用,0,0,0,0,0,0
待处理流动资产损益,0,0,0,0,0,0
其他流动资产,1578974.10,25554130.45,8608766.04,17706164.23,15686061.88,19998657.78
流动资产合计,1240943660.52,2212071384.45,2861180685.51,2960138202.60,2509217609.59,879385629.74
发放贷款及垫款,0,0,0,0,0,0
可供出售金融资产,60099400.00,219138424.80,368255614.58,426536794.46,427319112.89,0
持有至到期投资,0,0,0,0,0,0
长期应收款,0,0,0,0,0,0
长期股权投资,45555287.33,41129409.72,7689311.16,550901593.29,702909770.65,971301292.42
投资性房地产,0,0,0,0,0,0
在建工程(合计),0,0,0,5396851.18,0,0
在建工程,98400.00,0,0,5396851.18,0,0
工程物资,0,0,0,0,0,0
固定资产及清理(合计),0,0,118693981.43,84332742.18,73835454.24,51277331.44
固定资产净额,26359529.09,135267679.37,118693981.43,84332742.18,73835454.24,51277331.44
固定资产清理,0,0,0,0,0,0
生产性生物资产,0,0,0,0,0,0
公益性生物资产,0,0,0,0,0,0
油气资产,0,0,0,0,0,0
使用权资产,0,0,0,0,0,0
无形资产,0,596714.43,68786.45,42345.19,1810903.56,1594158.10
开发支出,0,477381.43,0,0,0,0
商誉,0,994594703.86,983816102.19,973271310.89,930641817.08,740133254.81
长期待摊费用,19208268.99,25262553.42,27986235.76,23968296.68,29180323.56,30287938.20
递延所得税资产,11075107.02,71260324.42,58874007.35,85743676.85,72555733.53,185565949.16
其他非流动资产,0,22767039.00,18861501.00,18225563.00,44267767.00,17919300.00
