,20141231,20151231,20161231,20171231,20181231,20191231
一、营业总收入,3123143966.28,3151306551.18,2868884903.82,1876570693.05,1498129640.88,1493796737.25
营业收入,3084175965.93,3111941811.23,2842248224.28,1846997338.99,1477918375.98,1475705852.94
二、营业总成本,2904706590.74,2939292648.92,2681729833.31,1709528489.16,1370241156.63,1368509946.35
营业成本,2360360591.90,2408360090.06,2167913775.55,1192951941.83,870391351.84,882537672.66
营业税金及附加,48520824.15,49862942.42,41580883.67,32714369.29,31203917.65,32212804.99
销售费用,279710598.44,266388535.49,274078110.86,269985817.16,268685512.59,272999741.83
管理费用,175523263.75,176058011.56,172746529.66,169184985.62,170131372.17,160569811.94
财务费用,39265339.78,33675244.72,24711566.30,22673563.46,21830646.11,15753395.23
研发费用,0,0,0,0,0,4436519.70
资产减值损失,1325972.72,4947824.67,698967.27,22017811.80,7998356.27,0
公允价值变动收益,2273139.80,0,0,0,-8218834.89,28643020.24
投资收益,27733579.04,22473386.66,1962185.04,13551345.34,17532463.41,16154004.05
其中:对联营企业和合营企业的投资收益,-749257.58,-1269081.41,-2403359.08,-2053460.05,-3088629.51,-5939720.49
汇兑收益,0,0,0,0,0,0
三、营业利润,248444094.38,234487288.92,189117255.55,180618949.52,140283667.60,118603959.80
加:营业外收入,11816490.53,39038900.58,12192390.18,7693898.22,13014163.15,6103712.36
减：营业外支出,1961883.78,2188765.52,1853335.43,3039978.48,2987788.58,4892096.52
其中：非流动资产处置损失,0,420246.44,43564.13,0,0,0
四、利润总额,258298701.13,271337423.98,199456310.30,185272869.26,150310042.17,119815575.64
减：所得税费用,63020817.52,72605208.03,45015018.45,50406299.06,41118310.89,36560035.65
五、净利润,195277883.61,198732215.95,154441291.85,134866570.20,109191731.28,83255539.99
归属于母公司所有者的净利润,181647990.51,193019956.57,150836175.01,140105659.64,109504162.48,87475152.04
少数股东损益,13629893.10,5712259.38,3605116.84,-5239089.44,-312431.20,-4219612.05
基本每股收益(元/股),0.207000,0.183000,0.143000,0.133000,0.104000,0.083000
稀释每股收益(元/股),0.207000,0.183000,0.143000,0.133000,0.104000,0.083000
七、其他综合收益,54378.74,-10612.40,-309554.24,-184983.70,-157194.38,-3003.50
八、综合收益总额,195332262.35,198721603.55,154131737.61,134681586.50,109034536.90,83252536.49
归属于母公司所有者的综合收益总额,181702369.25,193009344.17,150526620.77,139920675.94,109346968.10,87472148.54
归属于少数股东的综合收益总额,13629893.10,5712259.38,3605116.84,-5239089.44,-312431.20,-4219612.05
