,20141231,20151231,20161231,20171231,20181231,20191231
货币资金,963244393.47,2066454494.74,2256127859.59,3362865571.61,3843663543.52,3409601678.18
交易性金融资产,0,0,0,0,0,0
衍生金融资产,0,0,0,0,0,0
应收票据及应收账款,0,0,307405297.10,1413053907.08,795698590.89,960522498.98
应收票据,33000000.00,850000.00,0,0,0,0
应收账款,263869050.50,255478090.62,307405297.10,1413053907.08,795698590.89,960522498.98
应收款项融资,0,0,0,0,0,0
预付款项,89018370.69,130388478.01,49494244.97,71174679.38,104299509.68,41669285.75
其他应收款(合计),0,0,115970591.34,168912009.17,473814751.27,164932702.13
应收利息,973493.74,2109539.50,3097402.82,16687740.07,40185861.31,70616325.96
应收股利,0,0,0,0,0,0
其他应收款,141632840.02,84922515.70,112873188.52,152224269.10,433628889.96,94316376.17
买入返售金融资产,0,0,0,0,0,0
存货,39842630.45,20181526.45,32972805.41,27439513.35,19019827.77,14858919.82
划分为持有待售的资产,0,0,0,0,0,0
一年内到期的非流动资产,0,0,0,0,0,501532734.13
待摊费用,0,0,0,0,0,0
待处理流动资产损益,0,0,0,0,0,0
其他流动资产,1012484576.55,12663835.83,4849759.19,29689162.56,31410222.83,43804770.98
流动资产合计,2544065355.42,2573048480.85,2766820557.60,5073134843.15,5267906445.96,5136922589.97
发放贷款及垫款,0,0,0,0,0,0
可供出售金融资产,0,0,0,0,0,0
持有至到期投资,0,0,0,0,0,0
长期应收款,0,0,0,0,0,245703161.25
长期股权投资,0,2250754.55,2255849.68,12099710.02,17263642.41,17625344.71
投资性房地产,200567055.74,200242875.45,189599731.66,174478468.50,162960102.63,146876447.91
在建工程(合计),0,0,3002801.08,25028564.48,80585182.74,21980072.41
在建工程,15705880.80,2569384.97,3002801.08,25028564.48,80585182.74,21980072.41
工程物资,0,0,0,0,0,0
固定资产及清理(合计),0,0,655445811.12,805167949.54,756100672.14,755130402.39
固定资产净额,793882840.80,717136315.47,655445811.12,805167949.54,756100672.14,755130402.39
固定资产清理,0,0,0,0,0,0
生产性生物资产,0,0,0,0,0,0
公益性生物资产,0,0,0,0,0,0
油气资产,0,0,0,0,0,0
使用权资产,0,0,0,0,0,46884040.55
无形资产,116113818.15,132671975.30,125867416.72,187711861.18,200672215.61,317631569.44
开发支出,0,0,0,0,0,0
商誉,95521.99,1985521.99,95521.99,95521.99,95521.99,95521.99
长期待摊费用,53515856.42,47627489.20,60830293.02,201677645.85,183264963.31,97444076.38
递延所得税资产,8931363.73,11078769.54,13903622.16,28547366.94,24012411.76,36461663.76
其他非流动资产,0,0,0,0,0,0
非流动资产合计,1188812337.63,1115563086.47,1051001047.43,1434807088.50,1424954712.59,1685832300.79
资产总计,3732877693.05,3688611567.32,3817821605.03,6507941931.65,6692861158.55,6822754890.76
短期借款,0,0,0,0,0,0
交易性金融负债,0,0,0,0,0,0
应付票据及应付账款,0,0,442163585.73,1147417847.13,985698914.75,843320294.38
应付票据,0,0,0,0,0,0
应付账款,251879352.85,294956603.07,442163585.73,1147417847.13,985698914.75,843320294.38
预收款项,206350825.46,151539058.89,126881946.86,174579196.53,6336664.32,4164810.45
应付手续费及佣金,0,0,0,0,0,0
