,20141231,20151231,20161231,20171231,20181231,20191231
销售商品、提供劳务收到的现金,2456408014.47,3783103807.46,2807039706.33,5363420862.75,5551642252.14,4369556510.90
收到的税费返还,23135.02,0,0,0,0,246.55
收到的其他与经营活动有关的现金,69846748.17,152987069.52,164100953.36,377222797.46,1901812421.76,1908590892.29
经营活动现金流入小计,2526277897.66,3936090876.98,2971140659.69,5740643660.21,7453454673.90,6278147649.74
购买商品、接受劳务支付的现金,2004925471.72,3237861162.98,2152384189.79,4049621380.45,3731551227.35,3521693605.72
支付给职工以及为职工支付的现金,215520090.69,224703821.28,247433603.66,483745477.04,490242943.56,469076360.36
支付的各项税费,97627068.68,93034527.69,86934801.87,168503384.04,146852477.89,136578200.11
支付的其他与经营活动有关的现金,157193679.94,261104258.88,286477912.94,1101897039.12,2412549592.04,2347413255.79
经营活动现金流出小计,2475266311.03,3816703770.83,2773230508.26,5803767280.65,6781196240.84,6474761421.98
经营活动产生的现金流量净额,51011586.63,119387106.15,197910151.43,-63123620.44,672258433.06,-196613772.24
收回投资所收到的现金,1339273636.00,2205000000.00,3280000000.00,3390000000.00,2436000000.00,1517000000.00
取得投资收益所收到的现金,49723217.78,63393785.36,41260397.06,65788661.44,71178452.96,61902532.34
处置固定资产、无形资产和其他长期资产所收回的现金净额,1025913.42,835233.77,238102.00,2827812.11,333282.69,743806.98
处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0
收到的其他与投资活动有关的现金,0,64260000.00,80033000.00,1302832666.36,1407185627.84,1314713067.32
投资活动现金流入小计,1390022767.20,2333489019.13,3401531499.06,4761449139.91,3914697363.49,2894359406.64
购建固定资产、无形资产和其他长期资产所支付的现金,47158725.02,41554770.70,37876583.64,116824766.63,135740529.97,194495177.10
投资所支付的现金,2280000000.00,1207250000.00,3280000000.00,3360000000.00,2446120397.87,1517000000.00
取得子公司及其他营业单位支付的现金净额,0,1890000.00,0,426938291.57,2339247.95,0
支付的其他与投资活动有关的现金,64260000.00,253033000.00,145056242.50,1567764785.77,1942552558.45,1242470595.00
投资活动现金流出小计,2391418725.02,1503727770.70,3462932826.14,5471527843.97,4526752734.24,2953965772.10
投资活动产生的现金流量净额,-1001395957.82,829761248.43,-61401327.08,-710078704.06,-612055370.75,-59606365.46
吸收投资收到的现金,15750000.00,5900000.00,0,0,0,0
其中：子公司吸收少数股东投资收到的现金,15750000.00,5900000.00,0,0,0,0
取得借款收到的现金,0,0,0,0,0,0
发行债券收到的现金,0,0,0,0,0,0
收到其他与筹资活动有关的现金,0,0,0,0,0,0
筹资活动现金流入小计,15750000.00,5900000.00,0.00,0.00,0.00,0.00
偿还债务支付的现金,0,0,0,0,0,0
分配股利、利润或偿付利息所支付的现金,37142434.88,35972953.47,13929111.34,8461522.40,115487778.66,84686572.27
其中：子公司支付给少数股东的股利、利润,12516873.61,9206039.02,0,3152609.94,35918184.66,4242339.77
支付其他与筹资活动有关的现金,0,0,63133.34,85200.02,672271.42,20760438.45
筹资活动现金流出小计,37142434.88,35972953.47,13992244.68,8546722.42,116160050.08,105447010.72
筹资活动产生的现金流量净额,-21392434.88,-30072953.47,-13992244.68,-8546722.42,-116160050.08,-105447010.72
四、汇率变动对现金及现金等价物的影响,-409026.00,761700.16,1542.68,-1593.67,1356.93,272.80
五、现金及现金等价物净增加额,-972185832.07,919837101.27,122518122.35,-781750640.59,-55955630.84,-361666875.62
加:期初现金及现金等价物余额,1862970225.54,890784393.47,1810621494.74,2905018700.23,2123268059.64,2067312428.80
六、期末现金及现金等价物余额,890784393.47,1810621494.74,1933139617.09,2123268059.64,2067312428.80,1705645553.18
净利润,94793173.08,54480292.74,20737434.41,269965639.98,275185770.52,157602469.94
少数股东权益,0,0,0,0,0,0
未确认的投资损失,0,0,0,0,0,0
资产减值准备,4315261.03,7664229.27,33612791.14,20228772.71,12390220.98,5310039.00
固定资产折旧、油气资产折耗、生产性物资折旧,89550685.18,86885078.52,80768058.97,104935116.55,99663088.20,115863464.70
无形资产摊销,9290329.04,16062415.63,17338388.42,49793256.07,50353287.00,75401429.23
长期待摊费用摊销,12272964.32,14132503.83,11473595.22,60846574.03,65751269.65,31001577.84
待摊费用的减少,0,0,0,0,0,0
预提费用的增加,0,0,0,0,0,0
处置固定资产、无形资产和其他长期资产的损失,-7305.45,-248935.61,10542.01,0,1503705.68,115645.87
固定资产报废损失,340042.26,-44544.79,633213.47,7348852.51,703007.27,1912479.73
