,20141231,20151231,20161231,20171231,20181231,20191231
货币资金,285388086.04,488099996.57,421617524.48,338608215.51,340977901.51,291180907.65
交易性金融资产,0,0,0,0,0,318000000.00
衍生金融资产,0,0,0,0,0,0
应收票据及应收账款,183716039.14,189777534.15,232315228.68,156996537.51,213015260.51,207034278.86
应收票据,100000.00,360700.00,18830000.00,1792151.52,1950150.88,3295036.82
应收账款,183616039.14,189416834.15,213485228.68,155204385.99,211065109.63,203739242.04
应收款项融资,0,0,0,0,0,0
预付款项,9515216.38,13647752.03,20040124.42,17587782.03,28859746.09,37996582.19
其他应收款(合计),55055259.35,45427562.86,37122951.69,34824372.41,41914971.42,43173497.13
应收利息,0,0,0,0,0,0
应收股利,0,0,0,0,0,0
其他应收款,55055259.35,45427562.86,37122951.69,34824372.41,41914971.42,43173497.13
买入返售金融资产,0,0,0,0,0,0
存货,7022947.66,1589721.96,1617479.10,5224223.06,17488653.41,35151391.74
划分为持有待售的资产,0,0,0,0,0,0
一年内到期的非流动资产,0,0,0,0,0,0
待摊费用,0,0,0,0,0,0
待处理流动资产损益,0,0,0,0,0,0
其他流动资产,2461814.53,3253387.61,6808710.04,717517312.22,420555274.38,63972089.37
流动资产合计,543159363.10,741795955.18,719522018.41,1270758442.74,1062811807.32,996508746.94
发放贷款及垫款,0,0,0,0,0,0
可供出售金融资产,0,0,0,0,0,0
持有至到期投资,0,0,0,0,0,2000000.00
长期应收款,0,0,0,0,0,0
长期股权投资,1200000.00,4423917.16,4935683.24,5563471.63,6250331.32,47328036.41
投资性房地产,18813352.85,17580452.69,0,0,0,0
在建工程(合计),2052726.46,4336015.16,132194040.05,146776321.97,198058302.54,782901.34
在建工程,2052726.46,4336015.16,132194040.05,146776321.97,198058302.54,782901.34
工程物资,0,0,0,0,0,0
固定资产及清理(合计),100273800.50,118153620.14,118401766.78,285199600.94,529896074.40,707856020.38
固定资产净额,100273800.50,118153620.14,118401766.78,285199600.94,529896074.40,707856020.38
固定资产清理,0,0,0,0,0,0
生产性生物资产,0,0,0,0,0,0
公益性生物资产,0,0,0,0,0,0
油气资产,0,0,0,0,0,0
使用权资产,0,0,0,0,0,0
无形资产,37316262.98,49860338.36,115575426.84,112764434.50,109904651.26,155917873.18
开发支出,0,0,0,0,0,0
商誉,0,0,0,0,0,0
长期待摊费用,71962.39,0,0,4166666.55,11677743.18,19139160.08
递延所得税资产,0,863366.88,406232.46,429831.07,969985.74,265082.28
其他非流动资产,9014928.25,50952991.05,16147170.59,8838804.66,46098567.81,28743699.70
非流动资产合计,168743033.43,246170701.44,387660319.96,563739131.32,902855656.25,962032773.37
资产总计,711902396.53,987966656.62,1107182338.37,1834497574.06,1965667463.57,1958541520.31
短期借款,39426775.94,23000000.00,0,0,0,0
交易性金融负债,0,0,0,0,0,0
应付票据及应付账款,107766621.20,84870194.31,83428638.38,70456162.61,68807791.76,62941818.34
应付票据,0,0,0,0,0,0
应付账款,107766621.20,84870194.31,83428638.38,70456162.61,68807791.76,62941818.34
预收款项,3247774.85,1118805.40,3979928.39,12465902.79,7499145.17,19458575.99
应付手续费及佣金,0,0,0,0,0,0
应付职工薪酬,10637732.77,16317089.22,11549835.77,28431716.69,2195868.40,50683988.33
应交税费,15932248.19,28714683.45,27111547.04,20136029.07,24848189.72,8848712.88
其他应付款(合计),25292205.36,81545089.34,99673468.92,141076390.81,210463505.00,104746628.91
应付利息,947686.51,37598.61,0,0,0,0
应付股利,0,52653689.39,0,0,0,0
其他应付款,24344518.85,28853801.34,99673468.92,141076390.81,210463505.00,104746628.91
预提费用,0,0,0,0,0,0
一年内的递延收益,0,0,0,0,0,0
应付短期债券,0,0,0,0,0,0
一年内到期的非流动负债,23000000.00,0,0,0,0,0
其他流动负债,0,0,0,0,0,0
流动负债合计,225303358.31,235565861.72,225743418.50,272566201.97,313814500.05,246679724.45
长期借款,0,0,0,0,0,0
应付债券,0,0,0,0,0,0
租赁负债,0,0,0,0,0,0
长期应付职工薪酬,0,0,0,0,0,0
长期应付款(合计),0,0,0,0,0,0
长期应付款,0,0,0,0,0,0
专项应付款,0,0,0,0,0,0
预计非流动负债,0,0,0,0,0,0
递延所得税负债,0,0,0,0,0,0
长期递延收益,11866000.00,16119666.67,14740666.67,13109294.53,11413623.29,9931979.10
其他非流动负债,0,0,0,0,0,0
非流动负债合计,11866000.00,16119666.67,14740666.67,13109294.53,11413623.29,9931979.10
负债合计,237169358.31,251685528.39,240484085.17,285675496.50,325228123.34,256611703.55
实收资本(或股本),233333333.00,276500000.00,276500000.00,368666700.00,368666700.00,368666700.00
资本公积,94486153.12,358234488.49,358234488.49,904181367.49,904181367.49,904181367.49
减：库存股,0,0,0,0,0,0
其他综合收益,0,0,0,-58050.58,299539.38,452955.44
专项储备,0,0,0,0,0,0
盈余公积,21384206.10,35744699.28,47713102.94,61662962.33,75015053.31,85378131.31
一般风险准备,0,0,0,0,0,0
未分配利润,125529346.00,65801940.46,184250661.77,209193142.77,283300713.18,336022002.95
归属于母公司股东权益合计,474733038.22,736281128.23,866698253.20,1543646122.01,1631463373.36,1694701157.19
少数股东权益,0,0,0,5175955.55,8975966.87,7228659.57
所有者权益(或股东权益)合计,474733038.22,736281128.23,866698253.20,1548822077.56,1640439340.23,1701929816.76
负债和所有者权益(或股东权益)总计,711902396.53,987966656.62,1107182338.37,1834497574.06,1965667463.57,1958541520.31
