,20141231,20151231,20161231,20171231,20181231,20191231
货币资金,977178198.96,1212905976.39,773258003.22,2529300091.70,1384777560.61,1944478634.26
交易性金融资产,0,0,8313720.00,1111420.00,374548961.49,278227658.33
衍生金融资产,0,0,0,0,0,166499994.16
应收票据及应收账款,0,99896457.79,23981620.02,11098623.27,42668430.42,274803717.68
应收票据,0,0,0,220000.00,0,225437959.08
应收账款,84476373.29,99896457.79,23981620.02,10878623.27,42668430.42,49365758.60
应收款项融资,0,0,0,0,0,0
预付款项,50053316.60,54586817.97,87272347.18,95311967.36,197367609.85,326816918.97
其他应收款(合计),0,41500538.60,52321284.24,45903541.68,67941013.86,782724654.20
应收利息,5606763.44,4389016.64,2226837.94,2196844.04,6441519.80,0
应收股利,0,0,0,0,6617736.13,0
其他应收款,29473231.65,37111521.96,50094446.30,43706697.64,54881757.93,782724654.20
买入返售金融资产,0,0,0,0,0,0
存货,269262489.02,289916411.51,570411498.75,711415107.20,920170463.29,1129230845.26
划分为持有待售的资产,0,0,0,0,0,0
一年内到期的非流动资产,0,0,0,0,0,0
待摊费用,0,0,0,0,0,0
待处理流动资产损益,0,0,0,0,0,0
其他流动资产,38910094.14,46606676.58,224532173.13,88166569.43,496177167.73,432958146.89
流动资产合计,1454960467.10,1745412878.84,1740090646.54,3482307320.64,3483651207.25,5335740569.75
发放贷款及垫款,0,0,0,0,0,0
可供出售金融资产,0,0,191087860.00,40713757.89,21111157.89,0
持有至到期投资,0,0,0,0,0,0
长期应收款,0,0,0,0,0,0
长期股权投资,20319511.06,14358372.34,2095894.87,1781966367.56,1498550650.09,1056299073.63
投资性房地产,0,0,0,0,0,186248627.74
在建工程(合计),0,193605415.10,16924127.53,42297495.49,827593692.53,1284295494.12
在建工程,305261681.98,175882890.89,0,25758706.02,792110574.31,1170373086.04
工程物资,23478929.23,17722524.21,16924127.53,16538789.47,35483118.22,113922408.08
固定资产及清理(合计),0,2419594863.86,2563183979.91,2177550339.06,2157607196.25,1876777198.57
固定资产净额,2108157343.18,2419594863.86,2563183979.91,2177550339.06,2157607196.25,1876777198.57
固定资产清理,0,0,0,0,0,0
生产性生物资产,0,0,0,0,0,0
公益性生物资产,0,0,0,0,0,0
油气资产,0,0,0,0,0,0
使用权资产,0,0,0,0,0,0
无形资产,141825186.18,116583739.28,79554151.49,14388143.21,5033906.86,3712245.41
开发支出,0,0,0,0,0,0
商誉,0,0,0,0,0.89,0.89
长期待摊费用,36106320.09,25889855.02,11530419.97,4706995.93,24632516.25,6968410.31
递延所得税资产,669116.17,0,0,0,116043101.92,50428528.25
其他非流动资产,0,3197283.18,0,249632358.72,138500275.16,243739766.25
非流动资产合计,2635818087.90,2773229528.78,2864376433.77,4311255457.86,4789072497.84,4728502021.87
资产总计,4090778555.00,4518642407.62,4604467080.31,7793562778.50,8272723705.09,10064242591.62
短期借款,172000000.00,304000000.00,250000000.00,728326403.46,675202954.49,1307527579.62
交易性金融负债,910250.00,2735105.28,5926192.39,7217279.97,6272928.13,0
应付票据及应付账款,0,330944012.36,302949871.71,342162237.10,510924038.29,1371992096.65
应付票据,2000000.00,7328679.64,71951357.53,139600000.00,332392740.15,1104037777.01
应付账款,78729209.49,323615332.72,230998514.18,202562237.10,178531298.14,267954319.64
预收款项,28023345.00,638045.06,82074757.05,661011.41,1731259.01,4320136.56
应付手续费及佣金,0,0,0,0,0,0
应付职工薪酬,14489278.33,15518875.14,14990331.44,23811691.72,48115220.24,34664076.83
应交税费,42838815.19,40342100.99,46418690.77,45004058.84,78817999.22,99414856.25
其他应付款(合计),0,31191545.19,37545771.23,77931612.54,313675166.73,427461579.74
应付利息,2059983.68,1755852.02,3202090.28,5805043.99,9082178.16,509583.51
应付股利,0,0,0,0,0,0
其他应付款,19723572.05,29435693.17,34343680.95,72126568.55,304592988.57,426951996.23
预提费用,0,0,0,0,0,0
一年内的递延收益,0,0,0,0,0,0
应付短期债券,0,0,0,0,0,0
一年内到期的非流动负债,0,291357840.00,0,0,0,211367279.33
其他流动负债,0,0,0,0,0,0
流动负债合计,360774453.74,1016727524.02,739905614.59,1225114295.04,1634739566.11,3482851263.19
长期借款,476606000.00,0,0,895470772.00,1008052800.00,0
应付债券,0,0,0,0,0,0
租赁负债,0,0,0,0,0,0
长期应付职工薪酬,0,0,0,0,0,0
长期应付款(合计),0,0,0,0,0,0
长期应付款,0,0,0,0,0,0
专项应付款,0,0,0,0,0,0
预计非流动负债,0,0,0,0,97802722.01,59888083.15
递延所得税负债,0,0,0,0,18566240.05,84745389.93
长期递延收益,0,0,0,0,0,0
其他非流动负债,0,0,0,0,0,0
非流动负债合计,476606000.00,0.00,0.00,895470772.00,1124421762.06,144633473.08
负债合计,837380453.74,1016727524.02,739905614.59,2120585067.04,2759161328.17,3627484736.27
实收资本(或股本),1479000000.00,1479000000.00,1680183431.00,1891366862.00,2111432555.00,2215767079.00
资本公积,167103676.48,167103676.48,1860461453.63,3387305098.66,2816869464.37,3286487708.29
减：库存股,0,0,0,44379456.24,105245328.72,93395328.72
其他综合收益,-23484420.07,78921063.27,199549907.18,-29231394.64,159772798.78,242840232.68
专项储备,0,0,0,0,0,0
盈余公积,15385687.15,15385687.15,15385687.15,15385687.15,15385687.15,15385687.15
一般风险准备,0,0,0,0,0,0
未分配利润,-9221328.74,10399057.77,61891920.62,363121345.57,457060398.27,753181610.98
归属于母公司股东权益合计,1628783614.82,1750809484.67,3817472399.58,5583568142.50,5455275574.85,6420266989.38
少数股东权益,1624614486.44,1751105398.93,47089066.14,89409568.96,58286802.07,16490865.97
所有者权益(或股东权益)合计,3253398101.26,3501914883.60,3864561465.72,5672977711.46,5513562376.92,6436757855.35
负债和所有者权益(或股东权益)总计,4090778555.00,4518642407.62,4604467080.31,7793562778.50,8272723705.09,10064242591.62
