递延所得税资产,6985094.60,3323674.18,7075074.79,9293615.95,10088843.31,15115065.39,5582070.16,0,0,0,0,0,0,0,0,0,0,0,0,
其他非流动资产,0,0,35894627.93,34975587.20,6564676.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
非流动资产合计,694812765.35,694834143.64,728408508.22,698462752.83,537557415.33,406130285.00,389664079.61,275438227.58,261914040.21,259683331.10,255163781.18,245088605.83,208864422.25,153637567.43,138761043.63,79995961.60,67109851.87,52200681.91,0,
资产总计,2099199831.96,1447343828.55,1291182938.35,1275000392.91,1068017971.41,834797831.33,1021226337.55,633859902.14,604089678.57,631230668.79,594250285.71,592393407.29,622783013.64,587221375.40,415168545.17,327236369.85,212138515.99,196500575.02,0,
短期借款,100000000.00,180083889.99,120603221.40,304164333.94,180000000.00,105000000.00,0,26599475.22,20000000.00,20000000.00,0,14000000.00,93550000.00,195550000.00,51500000.00,14500000.00,2000000.00,5500000.00,0,
交易性金融负债,0,0,0,0,7493759.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
应付票据及应付账款,72210749.18,63080451.68,76179473.95,78613674.21,50750530.20,53834304.83,80242237.63,33521066.06,0,0,0,0,0,0,0,0,0,0,0,
应付票据,0,0,0,0,0,0,0,0,0,0,0,0,20000000.00,10000000.00,0,0,0,0,0,
应付账款,72210749.18,63080451.68,76179473.95,78613674.21,50750530.20,53834304.83,80242237.63,33521066.06,28132210.55,47025995.81,61791235.16,56193227.86,58190165.77,37089725.57,40501152.54,28259635.23,39144659.18,44447929.85,0,
预收款项,0,0,48902461.90,28045282.70,26720040.74,18952245.13,20747422.73,13067781.94,13300619.72,19452251.41,16671647.23,15029705.79,16417671.63,15509754.54,12732589.53,0,0,3892942.62,0,
应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
应付职工薪酬,30731506.43,25687689.16,30525950.71,22355710.02,28258018.30,44614944.29,34716563.27,6130834.47,11070302.96,8500000.00,1834254.29,3300000.00,3300000.00,0,0,0,0,0,0,
应交税费,10288515.31,7149492.82,1545529.03,9210355.71,1655892.29,14074029.58,13526128.26,7014650.35,1256193.78,7905309.67,2996244.91,1743991.23,651932.07,2640835.61,-356301.45,-180875.65,-923680.04,-1135036.77,0,
其他应付款(合计),48565889.39,33709112.42,35711844.95,35589862.53,34768685.21,116029567.95,113480637.82,16440067.52,0,0,0,0,0,0,0,0,0,0,0,
应付利息,0,0,0,0,0,0,0,1519900.00,100000.00,4156127.78,2704638.78,733328.78,253166.66,0,0,0,0,0,0,
应付股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
其他应付款,0,0,35711844.95,0,0,0,0,14920167.52,13250314.11,9822593.46,17381429.14,20176456.35,21348651.94,1821719.13,21975682.93,3999423.38,2510087.68,23472067.29,0,
预提费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3129895.67,2987330.15,0,0,
一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
一年内到期的非流动负债,0,0,0,0,0,0,100000000.00,60000000.00,60000000.00,0,0,0,0,0,0,0,0,0,0,
