,20141231,20151231,20161231,20171231,20181231,20191231
一、营业总收入,2668069507.74,3114252013.73,3429389248.08,4160958409.60,4377309272.04,4909197834.05
营业收入,2668069507.74,3114252013.73,3429389248.08,4160958409.60,4377309272.04,4909197834.05
二、营业总成本,2533326679.04,2953606374.92,3293018043.07,4015566326.46,4251314077.67,4720131139.09
营业成本,2198950216.61,2561162971.31,2824287333.54,3495126438.90,3649662540.34,4093794979.33
营业税金及附加,6942507.42,8844531.25,13419254.14,22080176.75,25582924.33,21396846.56
销售费用,120357350.88,161553011.18,210371792.42,208715068.77,241714493.03,283848371.41
管理费用,134621349.89,167959877.58,184829752.32,225100143.61,85181299.74,88692577.86
财务费用,52773090.39,36233931.28,26093801.47,48689357.05,85236878.71,72176218.08
研发费用,0,0,0,0,156983312.01,160222145.85
资产减值损失,19682163.85,17852052.32,34016109.18,15855141.38,6952629.51,0
公允价值变动收益,378175.00,-2337825.00,1874500.00,3046800.00,-17365475.00,5696925.00
投资收益,-300397.74,-4086052.98,11762319.62,-4668018.14,-27155654.28,-32822886.03
其中:对联营企业和合营企业的投资收益,0,0,-1425379.94,-1977256.72,-2935365.66,-1990379.59
汇兑收益,0,0,0,0,0,0
三、营业利润,134820605.96,154221760.83,150008024.63,148712090.20,129422328.46,137310386.42
加:营业外收入,12292320.63,10269892.42,18940233.78,825918.23,347112.92,829006.72
减：营业外支出,5887898.02,7001277.82,5344394.34,1763547.98,2003096.24,1715469.39
其中：非流动资产处置损失,537539.76,18149.00,52429.55,0,0,0
四、利润总额,141225028.57,157490375.43,163603864.07,147774460.45,127766345.14,136423923.75
减：所得税费用,15674737.81,14355795.98,18743329.02,24464148.98,15025580.67,16161760.37
五、净利润,125550290.76,143134579.45,144860535.05,123310311.47,112740764.47,120262163.38
归属于母公司所有者的净利润,117023125.41,134968462.08,135972858.75,100342002.86,100669875.65,116266330.44
少数股东损益,8527165.35,8166117.37,8887676.30,22968308.61,12070888.82,3995832.94
基本每股收益(元/股),0.730000,0.660000,0.210000,0.150000,0.150000,0.170000
稀释每股收益(元/股),0.730000,0.660000,0.210000,0.150000,0.150000,0.170000
七、其他综合收益,0,0,272340.00,8858827.50,-16648822.50,20133695.00
八、综合收益总额,125550290.76,143134579.45,145132875.05,132169138.97,96091941.97,140395858.38
归属于母公司所有者的综合收益总额,117023125.41,134968462.08,136245198.75,109200830.36,84021053.15,136400025.44
归属于少数股东的综合收益总额,8527165.35,8166117.37,8887676.30,22968308.61,12070888.82,3995832.94
