,20141231,20151231,20161231,20171231,20181231,20191231
货币资金,41515180.73,92786934.51,70757272.51,101675196.93,201679709.34,268386166.20
交易性金融资产,0,0,0,0,0,0
衍生金融资产,0,0,0,0,0,0
应收票据及应收账款,125400179.29,202878889.65,195506992.21,260568898.23,217949327.86,217104809.74
应收票据,648657.07,1466031.82,5207357.66,29516256.38,41637721.68,4180132.26
应收账款,124751522.22,201412857.83,190299634.55,231052641.85,176311606.18,212924677.48
应收款项融资,0,0,0,0,0,49699846.36
预付款项,278500.00,45837.40,143926.89,698373.49,457736.56,832957.17
其他应收款(合计),1468422.02,39033556.58,32801836.00,32862484.35,32351201.03,51851.57
应收利息,0,0,0,0,0,0
应收股利,0,0,0,0,0,0
其他应收款,1468422.02,39033556.58,32801836.00,32862484.35,32351201.03,51851.57
买入返售金融资产,0,0,0,0,0,0
存货,33645480.24,42658118.43,30047899.15,40961657.93,58919884.79,53757187.64
划分为持有待售的资产,0,0,0,0,0,0
一年内到期的非流动资产,0,0,0,0,0,0
待摊费用,0,0,0,0,0,0
待处理流动资产损益,0,0,0,0,0,0
其他流动资产,0,0,0,270000000.00,200000000.00,105369237.00
流动资产合计,202307762.28,377403336.57,329257926.76,706766610.93,711357859.58,695202055.68
发放贷款及垫款,0,0,0,0,0,0
可供出售金融资产,31000000.00,23000000.00,13000000.00,13000000.00,13000000.00,0
持有至到期投资,0,0,0,0,0,0
长期应收款,0,0,0,0,0,0
长期股权投资,4919136.89,0,0,0,0,0
投资性房地产,22220427.76,682447.62,612855.78,739436.10,670610.38,601783.66
在建工程(合计),62062894.66,61234945.06,2679393.39,11175931.47,45364878.03,105353219.80
在建工程,62062894.66,61234945.06,2679393.39,11175931.47,45364878.03,105353219.80
工程物资,0,0,0,0,0,0
固定资产及清理(合计),26992340.75,39447166.32,100989216.65,100705678.24,113655819.95,112062642.38
固定资产净额,26992340.75,39447166.32,100989216.65,100705678.24,113655819.95,112062642.38
固定资产清理,0,0,0,0,0,0
生产性生物资产,0,0,0,0,0,0
公益性生物资产,0,0,0,0,0,0
油气资产,0,0,0,0,0,0
使用权资产,0,0,0,0,0,0
无形资产,13558098.84,4708322.72,34103620.40,33367098.08,32630575.76,31894053.44
开发支出,0,0,0,0,0,0
商誉,0,0,0,0,0,0
长期待摊费用,0,0,0,0,0,0
递延所得税资产,1096763.18,1705752.51,1599639.41,1859690.78,1494019.17,1901842.79
其他非流动资产,0,0,0,0,0,0
非流动资产合计,161849662.08,130778634.23,152984725.63,160847834.67,206815903.29,264863542.07
资产总计,364157424.36,508181970.80,482242652.39,867614445.60,918173762.87,960065597.75
短期借款,40500000.00,47000000.00,76500000.00,0,10000000.00,0
交易性金融负债,0,0,0,0,0,0
应付票据及应付账款,56558291.79,51576157.01,27581984.26,67236174.92,45728758.79,44502996.92
应付票据,36570000.00,38510000.00,14850000.00,46400000.00,4000000.00,5000000.00
应付账款,19988291.79,13066157.01,12731984.26,20836174.92,41728758.79,39502996.92
预收款项,473163.66,454800.25,0,120312.00,0,0
应付手续费及佣金,0,0,0,0,0,0
应付职工薪酬,4407530.82,3492710.86,3641792.67,4207229.30,5802188.75,5613325.57
应交税费,19811614.98,49158093.84,9585506.97,6577956.36,10378476.44,10012331.69
其他应付款(合计),1766045.57,41036292.26,417725.21,1046351.00,1091825.28,1968730.41
应付利息,136029.68,111588.89,104707.64,0,14500.00,0
应付股利,0,40408000.00,0,0,0,0
其他应付款,1630015.89,516703.37,313017.57,1046351.00,1077325.28,1968730.41
预提费用,0,0,0,0,0,0
一年内的递延收益,0,0,0,0,0,0
应付短期债券,0,0,0,0,0,0
一年内到期的非流动负债,10000000.00,20000000.00,0,0,0,0
其他流动负债,0,0,0,0,0,0
流动负债合计,133516646.82,212718054.22,117727009.11,79188023.58,73001249.26,62097384.59
长期借款,20000000.00,0,0,0,0,0
应付债券,0,0,0,0,0,0
租赁负债,0,0,0,0,0,0
长期应付职工薪酬,0,0,0,0,0,0
长期应付款(合计),0,0,0,0,0,0
长期应付款,0,0,0,0,0,0
专项应付款,0,0,0,0,0,0
预计非流动负债,0,0,0,0,0,0
递延所得税负债,0,0,0,0,0,0
长期递延收益,3500000.00,3500000.00,3428571.43,3000000.04,2571428.68,2142857.32
其他非流动负债,0,0,0,0,0,0
非流动负债合计,23500000.00,3500000.00,3428571.43,3000000.04,2571428.68,2142857.32
负债合计,157016646.82,216218054.22,121155580.54,82188023.62,75572677.94,64240241.91
实收资本(或股本),62000000.00,94500000.00,94500000.00,126000000.00,176400000.00,176400000.00
资本公积,7872931.72,160981272.21,160981272.21,500899291.01,450499291.01,450499291.01
减：库存股,0,0,0,0,0,0
其他综合收益,0,0,0,0,0,-170709.34
专项储备,0,0,0,0,0,0
盈余公积,21186886.43,3837778.41,11250093.94,19042227.07,27279693.36,36212729.43
一般风险准备,0,0,0,0,0,0
未分配利润,116080959.39,32644865.96,94355705.70,139484903.90,188422100.56,232884044.74
归属于母公司股东权益合计,207140777.54,291963916.58,361087071.85,785426421.98,842601084.93,895825355.84
少数股东权益,0,0,0,0,0,0
所有者权益(或股东权益)合计,207140777.54,291963916.58,361087071.85,785426421.98,842601084.93,895825355.84
负债和所有者权益(或股东权益)总计,364157424.36,508181970.80,482242652.39,867614445.60,918173762.87,960065597.75
