,20141231,20151231,20161231,20171231,20181231,20191231
货币资金,26409689.79,250121963.29,21419422.71,1159773789.85,622980.70,20381051.39
交易性金融资产,0,0,0,0,0,0
衍生金融资产,0,0,0,40463286.54,0,0
应收票据及应收账款,0,0,207248689.25,655717803.78,115976330.83,83543354.29
应收票据,48701224.75,13862569.71,7066841.62,16160451.19,10282457.58,6521603.12
应收账款,12904540.49,37478414.44,200181847.63,639557352.59,82057901.08,77021751.17
应收款项融资,0,0,0,0,0,0
预付款项,4106571.30,1275554.38,39587702.01,215103002.61,13082535.79,4908887.59
其他应收款(合计),0,0,2255300.39,1885184572.56,1142654.54,3009532.16
应收利息,0,0,0,7469366.76,0,0
应收股利,0,0,0,0,0,0
其他应收款,7439065.27,492398.96,2255300.39,1877715205.80,1142654.54,3009532.16
买入返售金融资产,0,0,0,0,0,0
存货,105504819.15,8536126.68,47868695.67,149978525.02,39176969.29,35679919.86
划分为持有待售的资产,0,0,0,0,0,0
一年内到期的非流动资产,0,0,0,0,0,0
待摊费用,0,0,0,0,0,0
待处理流动资产损益,0,0,0,0,0,0
其他流动资产,0,214027.41,36871097.47,165313522.61,1654550.73,1925870.48
流动资产合计,205065910.75,311981054.87,355250907.50,4271534502.97,151986349.63,149448615.77
发放贷款及垫款,0,0,0,0,0,0
可供出售金融资产,0,0,0,0,0,0
持有至到期投资,0,0,0,0,0,0
长期应收款,0,0,0,0,0,0
长期股权投资,0,0,0,0,79050000.00,0
投资性房地产,0,0,0,0,0,0
在建工程(合计),0,0,423461.54,0,0,0
在建工程,19952364.65,608263.25,423461.54,0,0,0
工程物资,0,0,0,0,0,0
固定资产及清理(合计),0,0,25062981.49,98215968.80,15996460.91,668035.49
固定资产净额,204614000.18,4853384.99,25062981.49,98215968.80,13786940.22,668035.49
固定资产清理,0,0,0,0,0,0
生产性生物资产,0,0,0,0,0,0
公益性生物资产,0,0,0,0,0,0
油气资产,0,0,0,0,0,0
使用权资产,0,0,0,0,0,0
无形资产,0,2996642.96,2740050.55,11215719.98,81646.78,186789.12
开发支出,0,0,0,0,0,0
商誉,0,75647337.92,75647337.92,152653859.22,0,225546.83
长期待摊费用,0,714598.95,4823479.96,7863125.49,6975538.59,10601.34
递延所得税资产,0,357669.88,111306.45,1104956.85,264527.38,50749.62
其他非流动资产,233994.23,6036477.81,7568182.09,5000038.44,0,0
非流动资产合计,224800359.06,91214375.76,116376800.00,276053668.78,100158652.97,1141722.40
资产总计,429866269.81,403195430.63,471627707.50,4547588171.75,252145002.60,150590338.17
短期借款,0,16400000.00,50000000.00,619247459.66,0,12000000.00
交易性金融负债,0,0,0,0,0,0
应付票据及应付账款,0,0,74079493.35,2602175583.22,86285796.20,78311561.66
应付票据,1255515.02,1425000.00,5000000.00,964810312.89,8646106.30,0
应付账款,74843849.24,22902771.52,69079493.35,1637365270.33,77639689.90,78311561.66
预收款项,2577362.17,223483.64,1112783.59,71831658.57,1849618.31,5878963.51
应付手续费及佣金,0,0,0,0,0,0
应付职工薪酬,17062218.80,1270174.62,2738563.85,7856075.97,4817194.47,3919929.89
应交税费,53435.99,3752648.42,5605360.38,15635129.89,3346691.57,8472055.53
其他应付款(合计),0,0,2058074.53,729834299.96,24092588.75,24342258.37
应付利息,0,0,0,9955538.29,816560.56,0
应付股利,0,0,0,0,0,0
其他应付款,622748.29,17130000.00,2058074.53,719878761.67,23276028.19,24342258.37
预提费用,0,0,0,0,0,0
一年内的递延收益,0,0,0,0,0,0
应付短期债券,0,0,0,0,0,0
一年内到期的非流动负债,0,15500000.00,15500000.00,47170000.00,0,0
其他流动负债,0,0,0,0,23635972.17,6071603.12
流动负债合计,96415129.51,78604078.20,151094275.70,4093750207.27,122132281.29,138996372.08
长期借款,0,0,0,0,0,0
应付债券,0,0,0,0,0,0
租赁负债,0,0,0,0,0,0
长期应付职工薪酬,0,0,0,0,0,0
长期应付款(合计),0,0,15550000.00,47430000.00,79050000.00,0
长期应付款,0,31050000.00,15550000.00,47430000.00,79050000.00,0
专项应付款,0,0,0,0,0,0
预计非流动负债,0,0,0,0,34514113.88,37348149.90
递延所得税负债,0,402929.15,311461.83,669461.44,128527.19,0
长期递延收益,12955494.29,0,0,1757572.70,3428571.43,0
其他非流动负债,0,0,0,0.00,0,0
非流动负债合计,12955494.29,31452929.15,15861461.83,49857034.14,116607098.62,37348149.90
负债合计,109370623.80,110057007.35,166955737.53,4143607241.41,238739379.91,176344521.98
实收资本(或股本),533780000.00,533780000.00,533780000.00,533780000.00,533780000.00,533780000.00
资本公积,643064397.63,643117034.07,643064397.63,643064397.63,643064397.63,644499106.97
减：库存股,0,0,0,0,0,0
其他综合收益,0,0,0,-1237125.43,0,0
专项储备,0,0,0,0,0,0
盈余公积,21784079.56,21784079.56,21784079.56,21784079.56,21784079.56,21784079.56
一般风险准备,0,0,0,0,0,0
未分配利润,-878132831.18,-913930572.13,-907192769.39,-898638410.30,-1186670716.92,-1225065479.18
归属于母公司股东权益合计,320495646.01,284750541.50,291435707.80,298752941.46,12631422.06,-25002292.65
少数股东权益,0,8387881.78,13236262.17,105227988.88,781361.11,-751891.16
所有者权益(或股东权益)合计,320495646.01,293138423.28,304671969.97,403980930.34,13405622.69,-25754183.81
负债和所有者权益(或股东权益)总计,429866269.81,403195430.63,471627707.50,4547588171.75,252145002.60,150590338.17
