,20141231,20151231,20161231,20171231,20181231,20191231
货币资金,67680499800.97,106572461584.60,80448432300.74,56910758509.16,60436038452.97,80707187961.12
其中：客户资金存款,48995919302.22,88640516613.43,67251310435.85,48356454197.43,39515213771.10,58365640921.93
结算备付金,22624796462.35,31222060527.00,21742626195.25,17652948318.56,17899886594.26,19548481537.21
其中：客户备付金,21854657097.09,28449877571.75,17871298436.09,14313291768.94,15734443129.75,17088247532.35
融出资金,64695844373.32,69190542747.79,59001294969.66,61750191315.06,45355306230.74,54787459179.93
交易性金融资产,26996501834.36,83912239939.55,61766808847.96,63238922628.55,88285110841.97,81105233305.09
衍生金融资产,91293338.55,270579015.80,692456240.37,5450741845.31,17536655451.25,72360510.75
买入返售金融资产,12232553514.45,13745916985.33,21961202342.55,33667402360.98,36813068427.57,20688609848.49
应收账款,1275662594.93,2531335155.31,2218161383.85,3509676183.22,4283667847.60,2373089660.79
应收利息,1676518411.15,3131238192.71,2511656611.53,2934832055.76,0,0
存出保证金,3029861695.35,5277796430.89,5132685472.06,4700753337.46,6284998135.55,6646320076.30
可供出售金融资产,34410115665.06,96582577941.42,92080655671.95,92594399160.08,0,0
持有至到期投资,0,0,0,0,6900138789.32,2280131945.80
长期股权投资,1524325006.27,3347504002.76,3735931713.08,4336479926.70,5249003748.05,6726965609.74
固定资产,1160499693.77,1465044604.44,1643391406.97,2013367878.84,2312948795.70,1931245433.52
无形资产,489526405.88,541285712.59,575991066.32,593086353.96,560264917.60,410080010.42
其中：交易席位费,0,0,0,0,0,0
商誉,2047209.89,2174106.28,2321243.82,2169175.75,2273754.98,2324617.34
递延所得税资产,230184633.01,269441877.81,783339195.49,428495855.91,1085525670.41,1058688189.54
投资性房地产,27010929.92,25274674.68,23538419.44,21802164.20,20065908.96,45498974.15
其他资产,952533953.37,1009541190.94,5480860335.79,7098611107.17,5745250679.33,5235483493.92
资产总计,240099775522.60,419097014689.90,359801353416.83,356904638176.67,389105946354.41,394391063092.52
短期借款,1285907000.00,896010344.00,4863873848.17,7349536364.33,5504514625.36,1038012912.14
其中:质押借款,0,0,0,0,0,0
应付短期融资款,29536739315.07,21643800000.00,16329741000.00,25101447000.00,24049740113.17,14880673400.27
拆入资金,1123000000.00,1750000000.00,10606394791.74,4953655549.04,11667618950.08,2984030098.85
交易性金融负债,764409090.33,624185446.82,5506095387.34,4853999224.14,1933862278.30,3142229044.67
衍生金融负债,87303818.97,309453798.13,692012018.00,5439112526.83,19879028074.45,201165150.30
卖出回购金融资产款,54767726387.03,85395760813.65,50549266202.80,55516408036.08,85993800443.45,95396420755.97
代理买卖证券款,71465562643.43,118137085071.05,85726525276.71,65026117190.86,58445148318.66,79680644548.33
代理承销证券款,0,350000000.00,0,53999996.80,0,117000000.00
应付职工薪酬,3201901513.27,7812464909.17,7142049184.07,7050313008.23,5093451427.43,6096447358.46
应交税费,1436481292.11,1435667279.91,1001301981.99,1188593136.25,916062464.45,705722399.84
应付账款,4311267401.22,13455620976.98,15787438872.97,10615613630.43,10200861935.69,5612322665.67
应付利息,791401200.54,2724476574.90,2039195571.23,1939204420.19,0,0
长期借款,3000000000.00,3469168000.00,2729250000.00,4525492111.80,5472645877.86,3533362319.85
应付债券款,26030663617.12,79246866826.53,73524596519.73,72672720280.85,68697053762.11,82679653386.25
递延所得税负债,111538888.04,278361869.29,131279760.50,88441255.28,138467224.50,281428026.16
预计负债,33360000.00,60580543.00,33360000.00,33360000.00,33360000.00,447520546.38
其他负债,775057323.49,1686683474.55,1785637051.37,1871042542.97,2411520298.53,2687604963.16
负债合计,198722319490.62,339276185927.98,278448017466.62,268279056274.08,300476771768.12,300254467471.31
股本,5919291464.00,7621087664.00,7621087664.00,7621087664.00,7621087664.00,7621087664.00
其他权益工具,0,0,0,0,0,0
资本公积金,8587816549.35,31864031775.49,31864053298.29,31864816413.52,31864816413.52,31205148513.81
减:库存股,0,0,0,0,0,0
其他综合收益,1858423537.04,2771649998.07,1849327868.70,2244539408.89,682019604.97,1542950758.49
盈余公积金金,3010703881.13,4136216158.85,4754038095.07,5360597212.09,5751819837.74,6344759088.85
未分配利润,13998136507.86,22233280547.83,21987925118.64,25767855022.98,26035215406.08,29655551450.83
一般风险准备,6236508002.93,8893007457.16,10453777447.86,11995306804.86,13063057982.07,14864486796.43
交易风险准备,0,0,0,0,0,0
外币报表折算差额,0,0,0,0,0,0
归属于母公司所有者权益合计,39610879942.31,77519273601.40,78530209492.56,84854202526.34,85018016908.38,91233984272.41
少数股东权益,1766576089.67,2301555160.52,2823126457.65,3771379376.25,3611157677.91,2902611348.80
所有者权益合计,41377456031.98,79820828761.92,81353335950.21,88625581902.59,88629174586.29,94136595621.21
负债及股东权益总计,240099775522.60,419097014689.90,359801353416.83,356904638176.67,389105946354.41,394391063092.52
