流动负债合计,1732181638.16,1667549421.94,1717404684.37,1674152678.81,1158794814.05,971609297.14,710056465.64,533695841.29,805427463.51,0,
长期借款,391575043.01,512734332.70,514805392.64,502016938.89,194104398.73,116784978.89,76976729.70,0,0,0,
应付债券,0,0,0,0,0,0,0,0,0,0,
租赁负债,0,0,0,0,0,0,0,0,0,0,
长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,
长期应付款(合计),666400520.82,709519479.05,517773642.22,525980977.94,606131016.81,0,232966801.06,0,0,0,
长期应付款,0,709519479.05,517773642.22,525980977.94,0,217042503.02,0,0,0,0,
专项应付款,0,0,0,0,0,0,0,0,0,0,
预计非流动负债,0,0,0,0,0,0,0,0,0,0,
递延所得税负债,0,0,0,0,0,0,0,0,0,0,
长期递延收益,130079783.51,127588669.59,129313656.18,96245499.59,67386701.46,71519622.24,82778055.54,95865524.80,100335962.67,0,
其他非流动负债,0,0,0,0,0,0,0,0,0,0,
非流动负债合计,1188055347.34,1349842481.34,1161892691.04,1124243416.42,867622117.00,405347104.15,392721586.30,95865524.80,100335962.67,0,
负债合计,2920236985.50,3017391903.28,2879297375.41,2798396095.23,2026416931.05,1376956401.29,1102778051.94,629561366.09,905763426.18,0,
实收资本(或股本),400580000.00,360000000.00,360000000.00,360000000.00,360000000.00,360000000.00,360000000.00,360000000.00,216959990.00,0,
资本公积,729078724.48,609349380.67,609349380.67,609349380.67,602777516.01,602777516.01,602777516.01,451743748.06,314712631.28,0,
减：库存股,0,0,0,0,0,0,0,0,0,0,
其他综合收益,0,0,0,0,0,0,0,0,0,0,
专项储备,0,0,0,0,0,0,0,0,0,0,
盈余公积,46041469.78,46041469.78,46041469.78,46041469.78,43361583.27,41137570.69,41137570.69,32960034.38,27044054.46,0,
一般风险准备,0,0,0,0,0,0,0,0,0,0,
未分配利润,611370821.04,556722737.36,530988337.18,498511550.77,429975397.25,307453910.61,294639654.38,240406662.38,207579693.98,0,
归属于母公司股东权益合计,1787071015.30,1572113587.81,1546379187.63,1513902401.22,1436114496.53,1311368997.31,1298554741.08,1085110444.82,766296369.72,0,
少数股东权益,455129159.37,452208136.79,450810196.08,445161262.65,428539856.51,111743857.49,106879403.34,48059.26,-209.59,0,
所有者权益(或股东权益)合计,2242200174.67,2024321724.60,1997189383.71,1959063663.87,1864654353.04,1423112854.80,1405434144.42,1085158504.08,766296160.13,0,
负债和所有者权益(或股东权益)总计,5162437160.17,5041713627.88,4876486759.12,4757459759.10,3891071284.09,2800069256.09,2508212196.36,1714719870.17,1672059586.31,0,
