长期待摊费用,690567.47,735604.49,0,825700.00,0,0,48700.00,113690.40,178656.24,0,0,0,0,0,0,0,0,0,0,0,
递延所得税资产,17210991.89,16014165.21,0,15681500.00,12561500.00,10438784.58,6262000.00,3080919.48,5548894.17,1529935.83,1529935.83,0,4178594.09,0,0,0,2648658.26,0,0,0,
其他非流动资产,6072520.78,8964294.02,0,6152500.00,41161600.00,20870621.98,2225300.00,6975464.02,2229698.49,0,0,0,0,0,0,0,0,0,0,0,
非流动资产合计,640539638.53,592330360.98,0,542886900.00,383745500.00,360810293.20,303156900.00,247401789.12,190888945.31,282325891.01,278581989.34,270805747.42,264003301.62,236259243.02,219533642.14,0,128753640.34,116029663.88,76659311.26,0,
资产总计,3626378914.62,2037648040.22,1908932100.00,1808257300.00,1599805000.00,1389595542.29,1374796000.00,829642821.23,748863254.54,870717040.77,831354032.69,854159971.45,692961412.38,626091757.82,617071917.72,515000000.00,388658858.87,366036901.52,453323220.22,0,
短期借款,68182038.89,306438048.05,0,209248700.00,160265300.00,188318840.00,206500000.00,166390263.12,99545520.00,141500000.00,122428810.00,92541780.00,124217464.74,96554221.40,101293667.16,0,73636578.00,92143681.65,65406037.65,0,
交易性金融负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
应付票据及应付账款,610024755.84,536096894.58,0,561410700.00,529410900.00,572968201.84,347155300.00,228113175.09,265901010.96,0,0,0,0,0,0,0,0,0,0,0,
应付票据,127713571.48,164904324.75,0,97961100.00,192988600.00,0,20000000.00,0,0,4159080.00,0,5790000.00,5790000.00,0,0,0,0,0,17070800.00,0,
应付账款,482311184.36,371192569.83,0,463449600.00,336422300.00,0,327155300.00,0,0,286179200.28,290616132.12,322650831.75,179195159.92,181084108.98,172963861.13,0,78225620.20,25752052.76,110795059.44,0,
预收款项,0,1531776.33,0,1094300.00,691700.00,496189.00,3679300.00,5838985.00,1171413.30,1953768.06,974092.45,892520.15,7563223.91,1805200.46,858756.14,0,6944998.35,4418294.18,10197235.26,0,
应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
应付职工薪酬,19433372.32,18543389.46,0,23329400.00,16312800.00,14339393.69,13649100.00,10719477.54,8213547.27,1895263.24,1541931.59,1773139.39,1876878.47,1615493.36,1300358.72,0,989848.07,392135.31,1142824.00,0,
应交税费,7377217.97,3503291.50,0,3578500.00,13949900.00,9982199.65,8386700.00,15848132.74,13632980.75,3117453.58,-2634999.50,919458.74,5514106.32,-6743970.52,-9422012.35,0,-1577939.89,3209556.89,18621149.89,0,
