,20141231,20151231,20161231,20171231,20181231,20191231
货币资金,3625344953.15,4562075363.18,4533870808.78,3238279675.36,2778773810.03,2457920292.88
交易性金融资产,154286371.90,14312790.96,404966843.83,0,178194.45,683892056.06
衍生金融资产,47079568.00,68068523.58,400316206.84,36097819.67,85275697.69,62031348.51
应收票据及应收账款,0,0,1207402350.59,905887157.41,646594161.73,560321289.26
应收票据,109836923.48,114515188.05,153630569.09,112155211.98,64687688.29,0
应收账款,316772886.25,481338805.68,1053771781.50,793731945.43,581906473.44,560321289.26
应收款项融资,0,0,0,0,0,36434600.45
预付款项,771023330.13,685075491.40,1032636784.19,570425022.02,485630767.88,541461468.02
其他应收款(合计),0,0,346361935.94,263765669.99,184953734.75,108419907.99
应收利息,4344874.60,0,14056753.67,12445106.97,521059.71,333082.74
应收股利,0,0,0,0,0,0
其他应收款,358177605.55,283351991.71,332305182.27,251320563.02,184432675.04,108086825.25
买入返售金融资产,0,0,0,0,0,0
存货,1900253852.38,1398384727.93,2449014136.19,1086369088.65,1035705307.16,799631971.90
划分为持有待售的资产,0,0,0,0,0,0
一年内到期的非流动资产,0,0,0,0,0,0
待摊费用,0,0,0,0,0,0
待处理流动资产损益,0,0,0,0,0,0
其他流动资产,187723197.07,394910952.70,1423344218.61,2516551133.64,1350474123.57,1033071184.36
流动资产合计,7474843562.51,8002033835.19,11797913284.97,8617375566.74,6567585797.26,6283184119.43
发放贷款及垫款,0,0,0,8130491.50,3404726.47,162500.00
可供出售金融资产,81202939.11,81262875.11,81333819.11,99597084.37,99597084.37,0
持有至到期投资,0,0,0,0,0,0
长期应收款,0,0,0,0,0,0
长期股权投资,63813941.35,55203781.17,17014014.30,0,10523029.15,9930069.99
投资性房地产,32091543.95,31101215.61,30110887.32,0,0,0
在建工程(合计),0,0,0,0,0,0
在建工程,0,0,0,0,0,0
工程物资,0,0,0,0,0,0
固定资产及清理(合计),0,0,66709904.83,55102663.93,44311882.11,124648968.61
固定资产净额,69260710.74,67520576.13,66709904.83,55102663.93,44311882.11,124648968.61
固定资产清理,0,0,0,0,0,0
生产性生物资产,0,0,0,0,0,0
公益性生物资产,0,0,0,0,0,0
油气资产,0,0,0,0,0,0
使用权资产,0,0,0,0,0,0
无形资产,47514331.16,45515006.09,44999836.00,18020103.63,15990642.42,58757334.03
开发支出,0,0,0,0,0,0
商誉,0,0,0,0,0,0
长期待摊费用,5687214.91,10376358.54,21845643.65,24770914.38,18914788.90,14125281.43
递延所得税资产,246617490.04,322681198.40,271159460.37,179318382.75,194291160.99,138164370.68
其他非流动资产,0,2104615.38,1993846.14,2655576.90,1772307.66,70111538.42
非流动资产合计,546188171.26,615765626.43,535167411.72,387595217.46,388805622.07,569843744.13
资产总计,8021031733.77,8617799461.62,12333080696.69,9004970784.20,6956391419.33,6853027863.56
短期借款,1737350852.74,1413732514.46,2436894687.63,1071717494.56,307899566.28,174023646.30
交易性金融负债,0,0,0,0,0,65694395.68
应付票据及应付账款,0,0,4694949724.64,3718321470.28,2441737611.01,2385021193.08
应付票据,604011769.11,1092190174.00,1040718655.63,696856120.00,516228597.20,535646051.92
应付账款,2407291591.23,2156750741.74,3654231069.01,3021465350.28,1925509013.81,1849375141.16
预收款项,726440291.06,602514167.63,544330389.89,370129357.55,505997998.00,438693074.97
应付手续费及佣金,0.00,0,0,0,0,0
应付职工薪酬,189841167.30,278655999.58,361434423.24,270927512.26,145089371.29,176473238.79
应交税费,238436016.51,192087550.53,210585998.40,91810194.83,102145491.27,47688879.82
其他应付款(合计),0,0,82519210.77,49488938.18,27836736.85,46282796.28
应付利息,3709904.87,1596497.16,2996990.69,4859515.17,3572660.17,0
应付股利,0.00,0,0,1000000.00,0,0
其他应付款,35980142.97,20826183.89,79522220.08,43629423.01,24264076.68,46282796.28
预提费用,0,0,0,0,0,0
一年内的递延收益,0,0,0,0,0,0
应付短期债券,0,0,0,0,0,0
一年内到期的非流动负债,1354000.00,1378000.00,1402000.00,1426000.00,1450000.00,1474000.00
其他流动负债,0.00,0,0,0,0,0
流动负债合计,6081028497.11,5976529167.23,8526390934.91,5723400803.63,3593006481.85,3375192942.10
长期借款,0,0,0,0,0,0
应付债券,0,0,0,0,0,0
租赁负债,0,0,0,0,0,0
长期应付职工薪酬,152891245.15,304294867.69,220417641.99,34603880.23,46575842.99,49883220.65
长期应付款(合计),0,0,0,0,0,610928.38
长期应付款,0,0,0,0,0,610928.38
专项应付款,0,0,0,0,0,0
预计非流动负债,8123077.43,1558979.32,41811628.31,581273905.80,616319244.12,560000000.00
递延所得税负债,6250416.60,6038870.17,26631204.65,20750.00,0,0
长期递延收益,321680045.35,321580711.80,321474440.60,4760731.32,4639060.80,4508860.38
其他非流动负债,0,0,0,0,0,0
非流动负债合计,488944784.53,633473428.98,610334915.55,620659267.35,667534147.91,615003009.41
负债合计,6569973281.64,6610002596.21,9136725850.46,6344060070.98,4260540629.76,3990195951.51
实收资本(或股本),202500000.00,202500000.00,598634538.00,598634538.00,550065495.00,542874902.00
资本公积,32655468.37,32926908.37,1236212740.92,1237493940.26,1287457412.34,1294747085.33
减：库存股,0,0,0,0,0,0
其他综合收益,-2383176.14,2198973.03,-15937091.06,-10167530.21,-45567584.34,-15260394.28
专项储备,0,0,0,0,0,0
盈余公积,0,4471140.38,11342209.81,11342209.81,11342209.81,11342209.81
一般风险准备,0,0,0,441000.00,711500.00,776500.00
未分配利润,415872063.72,719482448.66,1003876971.01,715457725.20,781332726.21,950487696.51
归属于母公司股东权益合计,648644355.95,961579470.44,2834129368.68,2553201883.06,2585341759.02,2784967999.37
少数股东权益,802414096.18,1046217394.97,362225477.55,107708830.16,110509030.55,77863912.68
所有者权益(或股东权益)合计,1451058452.13,2007796865.41,3196354846.23,2660910713.22,2695850789.57,2862831912.05
负债和所有者权益(或股东权益)总计,8021031733.77,8617799461.62,12333080696.69,9004970784.20,6956391419.33,6853027863.56
