,20141231,20151231,20161231,20171231,20181231,20191231
一、营业总收入,474388700.00,466341700.00,544464674.34,585941725.36,589908834.79,742008730.62
营业收入,474388700.00,466341700.00,544464674.34,585941725.36,589908834.79,742008730.62
二、营业总成本,351883100.00,347148200.00,423241049.93,448009328.06,452895290.74,568686509.99
营业成本,255955100.00,250677700.00,324832547.88,333024985.41,343833353.13,435534443.32
营业税金及附加,2367000.00,3127200.00,6666606.82,8247368.25,7205693.32,8393200.80
销售费用,16913100.00,15826600.00,16669044.76,24205454.52,21617967.52,26451107.85
管理费用,43075600.00,44445700.00,24075880.49,35565697.31,29994139.97,39672387.29
财务费用,21150200.00,20506700.00,23429495.57,18084220.54,18400101.66,19218546.62
研发费用,0,0,27567474.41,28881602.03,31844035.14,39416824.11
资产减值损失,12422100.00,12564300.00,0,0,0,0
公允价值变动收益,0,0,0,0,0,1695851.67
投资收益,-16915500.00,-1372600.00,10179067.31,60969464.53,73397016.32,49219161.76
其中:对联营企业和合营企业的投资收益,-16915500.00,-1372600.00,10179067.31,60969464.53,73397016.32,48624871.67
汇兑收益,0,0,0,0,0,0
三、营业利润,105590100.00,117820900.00,132644484.45,207907490.64,206074535.43,304366683.14
加:营业外收入,2809300.00,13248900.00,25201511.05,8800740.44,4748775.17,20573254.30
减：营业外支出,53800.00,1203700.00,696421.47,461215.45,6111384.70,990308.02
其中：非流动资产处置损失,31300.00,265000.00,0,0,0,0
四、利润总额,108345600.00,129866100.00,157149574.03,216247015.63,204711925.90,323949629.42
减：所得税费用,23221100.00,20668400.00,26426783.68,29021874.02,21518521.62,45492151.39
五、净利润,85124400.00,109197700.00,130722790.35,187225141.61,183193404.28,278457478.03
归属于母公司所有者的净利润,82768200.00,107198700.00,128716697.08,185231016.43,181321744.12,276667904.67
少数股东损益,2356200.00,1999000.00,2006093.27,1994125.18,1871660.16,1789573.36
基本每股收益(元/股),0.330000,0.430000,0.510000,0.740000,0.720000,1.070000
稀释每股收益(元/股),0.330000,0.430000,0.510000,0.740000,0.720000,1.070000
七、其他综合收益,0,0,0,0,0,0
八、综合收益总额,85124400.00,109197700.00,130722790.35,187225141.61,183193404.28,278457478.03
归属于母公司所有者的综合收益总额,82768200.00,107198700.00,128716697.08,185231016.43,181321744.12,276667904.67
归属于少数股东的综合收益总额,2356200.00,1999000.00,2006093.27,1994125.18,1871660.16,1789573.36
