,20141231,20151231,20161231,20171231,20181231,20191231
销售商品、提供劳务收到的现金,12266504369.29,12171639761.99,11594974011.14,11932977126.55,12765076389.24,13388535701.36
收到的税费返还,0,0,0,0,0,0
收到的其他与经营活动有关的现金,273608138.29,241522288.99,259624448.83,322901888.35,511541067.64,1275445626.03
经营活动现金流入小计,12540112507.58,12413162050.98,11854598459.97,12255879014.90,13276617456.88,14663981327.39
购买商品、接受劳务支付的现金,10192865317.94,10060793439.07,9363850278.49,9588044207.50,10765233684.17,11678240441.49
支付给职工以及为职工支付的现金,545835327.63,559488581.44,562818306.83,642026839.33,878390172.61,924938186.18
支付的各项税费,473410872.58,460176177.49,456482788.08,479328804.41,518572104.99,535126211.62
支付的其他与经营活动有关的现金,801342830.76,592311246.50,545431007.38,609094124.99,1093097309.72,1203471038.38
经营活动现金流出小计,12013454348.91,11672769444.50,10928582380.78,11318493976.23,13255293271.49,14341775877.67
经营活动产生的现金流量净额,526658158.67,740392606.48,926016079.19,937385038.67,21324185.39,322205449.72
收回投资所收到的现金,66444600.00,0,0,0,574365962.21,0
取得投资收益所收到的现金,0,0,0,13510170.98,0,0
处置固定资产、无形资产和其他长期资产所收回的现金净额,652356.19,247456.58,4509897.56,1496868.51,1040045.56,5509187.52
处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0
收到的其他与投资活动有关的现金,0,0,0,30000000.00,659482795.62,0
投资活动现金流入小计,67096956.19,247456.58,4509897.56,45007039.49,1234888803.39,5509187.52
购建固定资产、无形资产和其他长期资产所支付的现金,990169021.43,171919830.86,208273940.76,760564415.19,604158442.99,783065102.31
投资所支付的现金,0,0,0,560000000.00,64363492.93,20000000.00
取得子公司及其他营业单位支付的现金净额,114000000.00,8000000.00,0,0,0,1311106467.83
支付的其他与投资活动有关的现金,0,0,80000000.00,0,0,400606382.84
投资活动现金流出小计,1104169021.43,179919830.86,288273940.76,1320564415.19,668521935.92,2514777952.98
投资活动产生的现金流量净额,-1037072065.24,-179672374.28,-283764043.20,-1275557375.70,566366867.47,-2509268765.46
吸收投资收到的现金,0,0,0,1508705000.00,0,4655000.00
其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,4655000.00
取得借款收到的现金,2501693592.00,2175788000.00,1942178000.00,810000000.00,1850000000.00,2260000000.00
发行债券收到的现金,0,0,0,0,0,0
收到其他与筹资活动有关的现金,500000.00,2800000.00,0,460000.00,0,0
筹资活动现金流入小计,2502193592.00,2178588000.00,1942178000.00,2319165000.00,1850000000.00,2264655000.00
偿还债务支付的现金,1823708333.34,2367837592.04,2277144000.04,1928632918.09,764815573.84,1417771174.65
分配股利、利润或偿付利息所支付的现金,232320090.09,244315255.81,202821338.37,143232319.50,231613571.42,262079256.69
其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0
支付其他与筹资活动有关的现金,0,521000.00,714031.50,9840000.00,0,36656905.39
筹资活动现金流出小计,2056028423.43,2612673847.85,2480679369.91,2081705237.59,996429145.26,1716507336.73
筹资活动产生的现金流量净额,446165168.57,-434085847.85,-538501369.91,237459762.41,853570854.74,548147663.27
四、汇率变动对现金及现金等价物的影响,0,0,0,0,200484.11,526542.47
五、现金及现金等价物净增加额,-64248738.00,126634384.35,103750666.08,-100712574.62,1441462391.71,-1638389110.00
加:期初现金及现金等价物余额,302482527.48,238233789.48,364868173.83,468618839.91,367906265.29,1816434695.68
六、期末现金及现金等价物余额,238233789.48,364868173.83,468618839.91,367906265.29,1809368657.00,178045585.68
净利润,333970117.45,338180436.30,361903258.57,394493176.61,202058308.28,267205898.14
少数股东权益,0,0,0,0,0,0
未确认的投资损失,0,0,0,0,0,0
资产减值准备,42784058.28,44359073.06,44336754.46,34907586.02,48161893.53,26298035.45
固定资产折旧、油气资产折耗、生产性物资折旧,130884373.29,143622812.56,145069193.03,156244485.91,218186571.08,290301900.37
无形资产摊销,19697291.17,20352903.31,20598312.91,22733102.39,32214847.91,26295232.14
