,20141231,20151231,20161231,20171231,20181231,20191231
一、营业收入,12062303844.09,26261939871.49,16917019401.49,21108534070.71,16108262271.57,24863012026.33
手续费及佣金净收入,6477278197.87,14524816131.53,8848252723.04,8682157968.25,8062137439.48,9287627847.86
代理买卖证券业务净收入,4995726506.28,12641285518.47,5428776834.37,4210027179.30,3385952290.90,4107905502.65
证券承销业务净收入,1180358645.84,1551108952.77,2097047867.74,2038511617.52,1948658255.01,1947276668.86
受托客户资产管理业务净收入,196562785.62,138209988.81,1040336523.18,2305835374.52,2473253245.78,2772083017.37
利息净收入,2384809745.78,4081490601.66,3484458370.56,3599823799.09,3015397982.04,2121674093.89
其中:利息收入,4850805110.59,11893681582.42,8877945629.77,9348923130.18,9482368354.50,8682693270.21
利息支出,2465995364.81,7812190980.76,5393487259.21,5749099331.09,6466970372.46,6561019176.32
投资收益,1821403489.68,7893308235.22,4769805850.86,8909137285.47,2411103639.10,9849087197.03
其中:对联营企业和合营企业的投资收益,284990586.13,420076244.07,453986617.10,539978197.43,959308678.92,2726449356.80
公允价值变动损益,1142318797.24,-716033713.10,-339704069.13,-341602534.89,1797941989.76,2057306161.27
汇兑损益,2744825.85,370028256.09,-14427460.06,-38040621.50,30504683.57,147877088.83
其他业务收入,233748787.67,108330360.09,168633986.22,222437704.98,609178043.06,1151555357.04
二、营业支出,6212783517.49,11991865450.00,8519068579.10,10260265444.99,9633160399.37,13255077135.16
营业税金及附加,660139802.02,1722544147.76,450613162.36,152407623.70,139711246.60,151890239.79
管理费用,5288198219.65,10121581563.54,8012560486.98,9749966098.17,8167475230.04,11367308599.49
研发费用,0,0,0,0,0,0
资产减值损失,17691195.52,73259163.61,-36752756.91,259029956.43,0,-2616912.52
其他业务成本,246754300.30,74480575.09,92647686.67,98861766.69,457984618.96,1018946170.13
三、营业利润,5849520326.60,14270074421.49,8397950822.39,10848268625.72,6475101872.20,11607934891.17
加:营业外收入,85122265.82,85855952.88,213443105.28,760091188.18,3253269.44,16005633.05
减:营业外支出,19827122.67,92433568.36,17965954.39,23715496.14,29684794.62,37975462.19
四、利润总额,5914815469.75,14263496806.01,8593427973.28,11584644317.76,6448670347.02,11585965062.03
减:所得税,1375028707.67,3465588570.68,2073940096.94,2176787685.25,1287783549.20,2528752207.36
五、净利润,4539786762.08,10797908235.33,6519487876.34,9407856632.51,5160886797.82,9057212854.67
归属于母公司所有者的净利润,4486276132.08,10696870875.92,6270611459.43,9276520447.68,5032737702.70,9001644018.52
少数股东损益,53510630.00,101037359.41,248876416.91,131336184.83,128149095.12,55568836.15
基本每股收益(元/股),0.801100,1.645200,0.875400,1.295100,0.660000,1.040000
稀释每股收益(元/股),0.801100,1.645200,0.875400,1.295100,0.660000,1.030000
七、其他综合收益,1474939013.42,1435065958.79,1065483884.06,-2717379695.48,-549839000.56,634281123.92
八、综合收益总额,6014725775.50,12232974194.12,7584971760.40,6690476937.03,4611047797.26,9691493978.59
归属于母公司所有者的综合收益总额,5961010945.70,12107098061.95,7153915897.21,6577001583.27,4479436772.88,9611073958.97
归属于少数股东的综合收益总额,53714829.80,125876132.17,431055863.19,113475353.76,131611024.38,80420019.62
