,20141231,20151231,20161231,20171231,20181231,20191231
一、营业总收入,12455436126.10,12544121413.65,12521514020.85,12048108835.61,13065513622.05,15795174248.91
营业收入,12455436126.10,12544121413.65,12521514020.85,12048108835.61,13065513622.05,15795174248.91
二、营业总成本,12099113583.85,12035270584.83,11994978623.43,11509321146.97,12523447653.47,15145876957.09
营业成本,11052723767.88,10621666353.91,10760266710.38,10199379813.38,11245246421.18,13596372036.04
营业税金及附加,6083503.67,3414054.71,11010488.86,20631556.16,18252390.88,17780593.19
销售费用,113837646.04,123464856.20,130789318.97,117224658.31,119381246.95,118425723.25
管理费用,884906134.24,1113590086.71,1050445524.68,1140696736.41,890391037.93,968334198.90
财务费用,9312582.92,23526568.06,4050082.87,687480.17,-12942265.84,-31898040.83
研发费用,0,0,0,0,306162603.85,476862446.54
资产减值损失,32249949.10,149608665.24,38416497.67,30700902.54,11938021.82,0
公允价值变动收益,0,0,0,0,0,0
投资收益,-2623556.62,-1110722.70,-14063810.58,1066306.93,-236900.27,488016.25
其中:对联营企业和合营企业的投资收益,-2623556.62,-2130252.70,-14063810.58,1066306.93,421553.06,488016.25
汇兑收益,0,0,0,0,0,0
三、营业利润,353698985.63,507740106.12,512471586.84,547613081.57,590953538.89,674023605.65
加:营业外收入,43535492.41,20146533.84,13403559.92,2380597.84,6770514.38,6905499.24
减：营业外支出,2725558.34,6188740.04,4729830.36,1634316.54,2930076.62,1385467.18
其中：非流动资产处置损失,2344502.86,1864723.42,1555122.56,0,0,0
四、利润总额,394508919.70,521697899.92,521145316.40,548359362.87,594793976.65,679543637.71
减：所得税费用,62644296.98,84318644.31,81564480.86,92981610.58,84449670.26,91235112.19
五、净利润,331864622.72,437379255.61,439580835.54,455377752.29,510344306.39,588308525.52
归属于母公司所有者的净利润,331840293.14,437050786.65,439161530.54,455376417.90,510330636.48,588215638.66
少数股东损益,24329.58,328468.96,419305.00,1334.39,13669.91,92886.86
基本每股收益(元/股),0.562900,0.741400,0.745000,0.772500,0.865700,0.997900
稀释每股收益(元/股),0.562900,0.741400,0.745000,0.772500,0.865700,0.997900
七、其他综合收益,0,0,-8320000.00,16684000.00,349000.00,4223000.00
八、综合收益总额,331864622.72,437379255.61,431260835.54,472061752.29,510693306.39,592531525.52
归属于母公司所有者的综合收益总额,331840293.14,437050786.65,430841530.54,472060417.90,510679636.48,592438638.66
归属于少数股东的综合收益总额,24329.58,328468.96,419305.00,1334.39,13669.91,92886.86
