其他流动负债,20362333.83,0,0,1945646.89,1706219.71,461136.62,442400.00,442361.11,90313.18,0,0,
流动负债合计,171712840.85,0,0,234321372.34,256314911.31,213860839.25,354777500.00,457382013.16,124033324.02,616700.00,0,
长期借款,0,0,0,0,0,0,0,0,0,0,0,
应付债券,0,0,0,0,0,0,0,0,0,0,0,
租赁负债,0,0,0,0,0,0,0,0,0,0,0,
长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,
长期应付款(合计),0,0,0,0,0,0,0,0,0,0,0,
长期应付款,0,0,0,0,0,0,0,0,0,0,0,
专项应付款,0,0,0,0,0,0,0,0,0,0,0,
预计非流动负债,7128440.37,0,0,8000000.00,0,0,0,0,0,0,0,
递延所得税负债,33864056.85,0,0,31526180.61,29153914.21,19437637.93,0,0,0,0,0,
长期递延收益,5000000.00,0,0,5000000.00,0,20000000.00,0,0,0,0,0,
其他非流动负债,2418000.00,0,0,0,0,0,0,0,0,0,0,
非流动负债合计,48410497.22,0,0,44526180.61,29153914.21,39437637.93,0.00,0.00,0.00,0.00,0,
负债合计,220123338.07,209215700.00,248015500.00,278847552.95,285468825.52,253298477.18,354777500.00,457382013.16,124033324.02,616700.00,0,
实收资本(或股本),400010000.00,0,0,360000000.00,360000000.00,360000000.00,360000000.00,110000000.00,110000000.00,33000000.00,0,
资本公积,1849712061.99,0,0,242187900.08,242187900.08,242187900.08,242187900.00,242187900.08,0,0,0,
减：库存股,0,0,0,0,0,0,0,0,0,0,0,
其他综合收益,0,0,0,0,0,0,0,0,0,0,0,
专项储备,0,0,0,0,0,0,0,0,0,0,0,
盈余公积,180000000.00,0,0,180000000.00,138491518.45,138491518.45,68139400.00,68139422.37,9346117.37,0,0,
一般风险准备,0,0,0,0,0,0,0,0,0,0,0,
未分配利润,917657417.65,0,0,592890340.29,628290942.90,514721269.20,1242038800.00,460670350.17,84115056.37,-542400.00,0,
归属于母公司股东权益合计,3347379479.64,0,0,1375078240.37,1368970361.43,1255400687.73,1912366100.00,880997672.62,203461173.74,32457600.00,0,
少数股东权益,10518565.86,0,0,7697380.96,6783311.42,0,0,0,0,0,0,
所有者权益(或股东权益)合计,3357898045.50,1604597300.00,1502381200.00,1382775621.33,1375753672.85,1255400687.73,1912366100.00,880997672.62,203461173.74,32457600.00,0,
负债和所有者权益(或股东权益)总计,3578021383.57,1813813100.00,1750396700.00,1661623174.28,1661222498.37,1508699164.91,2267143700.00,1338379685.78,327494497.76,33074300.00,0,
