000538.SZ,云南白药,114.53,4.565,a股
000539.SZ,粤电力A,4.05,8.289,a股
000540.SZ,中天金融,3.15,0,a股
000544.SZ,中原环保,6.85,1.935,a股
000543.SZ,皖能电力,4.32,2.857,a股
000546.SZ,金圆股份,7.5,0.807,a股
000541.SZ,佛山照明,6.07,0.497,a股
000545.SZ,金浦钛业,3.44,3.303,a股
000547.SZ,航天发展,25.54,3.443,a股
000552.SZ,靖远煤电,3.26,2.839,a股
000548.SZ,湖南投资,3.96,1.02,a股
000553.SZ,安道麦A,8.03,1.006,a股
000551.SZ,创元科技,8.24,2.743,a股
000550.SZ,江铃汽车,20.63,0.049,a股
000560.SZ,我爱我家,4.08,-1.923,a股
000558.SZ,莱茵体育,2.89,-0.687,a股
000559.SZ,万向钱潮,5.51,0.182,a股
000557.SZ,西部创业,3.52,0.571,a股
000554.SZ,泰山石油,4.44,1.139,a股
000563.SZ,陕国投A,3.65,1.389,a股
000555.SZ,神州信息,14.99,0.537,a股
000561.SZ,烽火电子,6.9,1.025,a股
000566.SZ,海南海药,8.64,-2.703,a股
000570.SZ,苏常柴A,5.42,3.633,a股
000565.SZ,渝三峡A,4.69,1.296,a股
000572.SZ,ST海马,3.14,1.948,a股
000571.SZ,*ST大洲,2.35,-1.674,a股
000568.SZ,泸州老窖,212.9,-0.514,a股
000581.SZ,威孚高科,22.92,0.747,a股
000573.SZ,粤宏远A,2.81,2.182,a股
000576.SZ,甘化科工,9.88,-1.692,a股
000584.SZ,哈工智能,5.74,0,a股
000582.SZ,北部湾港,10.03,0.703,a股
000585.SZ,*ST东电,1.75,0,a股
000586.SZ,汇源通信,7.18,1.844,a股
000587.SZ,*ST金洲,1.12,0,a股
000589.SZ,贵州轮胎,6.18,-0.162,a股
000593.SZ,大通燃气,6.7,10.016,a股
000591.SZ,太阳能,6.48,10.017,a股
000590.SZ,启迪药业,8.74,-4.062,a股
000595.SZ,*ST宝实,2,-0.498,a股
000596.SZ,古井贡酒,272.7,0.173,a股
