,20141231,20151231,20161231,20171231,20181231,20191231
一、营业总收入,657852463.44,768672197.26,1028491254.43,1118818940.82,1184999985.30,1239736356.02
营业收入,657852463.44,768672197.26,1028491254.43,1118818940.82,1184999985.30,1239736356.02
二、营业总成本,591343021.07,633033456.86,830652438.81,1064061657.15,2577927451.11,1199150204.23
营业成本,383925271.94,323431307.74,364741327.19,481316351.78,596827197.46,660240643.71
营业税金及附加,7121890.37,6447015.14,7335089.39,10296134.40,7408699.02,5970160.88
销售费用,53406819.02,79741056.29,134015895.83,169214488.34,206057200.29,208384544.93
管理费用,150775910.57,223448211.46,304379852.54,317329256.29,227782366.19,201964580.43
财务费用,-10501582.52,-5354481.24,-5436976.63,-8293762.37,-4366963.57,-5800733.35
研发费用,0,0,0,0,137840074.53,128391007.63
资产减值损失,6614711.69,5320347.47,25617250.49,94199188.71,1406378877.19,0
公允价值变动收益,0,0,0,0,8006898.72,3534418.17
投资收益,1473755.82,76626640.34,-1241503.43,4546364.32,-809172.71,-6204536.08
其中:对联营企业和合营企业的投资收益,-1945605.01,-12360695.77,-13623908.63,-1708856.67,-4422173.36,-9415438.51
汇兑收益,0,0,0,0,0,0
三、营业利润,67983198.19,212265380.74,196597312.19,71557961.55,-1369028736.81,12922715.34
加:营业外收入,21278829.22,21126011.27,35277804.32,345459.53,545955.83,158636.80
减：营业外支出,1676739.06,207787.92,4436893.22,1711129.25,8378005.73,1551867.99
其中：非流动资产处置损失,376800.28,167280.81,856983.09,0,0,0
四、利润总额,87585288.35,233183604.09,227438223.29,70192291.83,-1376860786.71,11529484.15
减：所得税费用,11065275.92,18989464.31,20756936.55,3976969.47,-10642309.64,-9870091.76
五、净利润,76520012.43,214194139.78,206681286.74,66215322.36,-1366218477.07,21399575.91
归属于母公司所有者的净利润,56301688.58,209460152.82,211528644.25,66349646.03,-1365864024.02,21967388.96
少数股东损益,20218323.85,4733986.96,-4847357.51,-134323.67,-354453.05,-567813.05
基本每股收益(元/股),0.140000,0.480000,0.190000,0.060000,-1.240000,0.020000
稀释每股收益(元/股),0.140000,0.480000,0.190000,0.060000,-1.240000,0.020000
七、其他综合收益,-124993.72,1863904.52,1320854.08,-2348319.22,5482627.77,485480.84
八、综合收益总额,76395018.71,216058044.30,208002140.82,63867003.14,-1360735849.30,21885056.75
归属于母公司所有者的综合收益总额,56176694.86,211324057.34,212849498.33,64001326.81,-1360381396.25,22452869.80
归属于少数股东的综合收益总额,20218323.85,4733986.96,-4847357.51,-134323.67,-354453.05,-567813.05
