,20141231,20151231,20161231,20171231,20181231,20191231
一、营业总收入,9435723928.95,9817791033.56,8847668768.23,14329251540.76,16827140782.96,18626083307.22
营业收入,9435723928.95,9817791033.56,8847668768.23,14329251540.76,16827140782.96,18626083307.22
二、营业总成本,9444901787.50,9828479027.99,8921196032.99,14277118695.38,16753615754.45,18410086355.86
营业成本,8895336169.14,9237518194.27,8391652535.32,13609378920.19,16005811183.52,17611370082.33
营业税金及附加,7802904.20,5869446.81,11575754.17,17867615.12,17518538.13,25021733.20
销售费用,233511180.31,252956284.31,203315474.72,303390302.16,350782105.11,356323856.13
管理费用,136665263.32,160929807.47,163347981.23,201852973.31,203712313.72,243786369.40
财务费用,112015405.80,100348151.97,63864263.49,94761358.86,105138980.88,107187104.85
研发费用,0,0,0,0,31383468.12,66397209.95
资产减值损失,59570864.73,70857143.16,87440024.06,49867525.74,39269164.97,0
公允价值变动收益,140520.00,585010.00,2359330.00,-3821455.00,-3704445.80,3167715.80
投资收益,162229164.52,207088977.71,146336374.92,102540390.93,93272214.91,72955155.39
其中:对联营企业和合营企业的投资收益,54591802.46,65141617.59,102118121.55,65477101.40,64065184.53,92244794.21
汇兑收益,0,0,0,0,0,0
三、营业利润,153191825.97,196985993.28,75168440.16,176601637.98,189344331.34,226495217.07
加:营业外收入,27328374.21,57922272.99,48962396.15,13200427.34,1685529.96,26898782.94
减：营业外支出,3303174.64,10409695.60,1056914.69,4610878.38,1421445.35,6216568.05
其中：非流动资产处置损失,461710.14,10045093.47,133253.92,0,0,0
四、利润总额,177217025.54,244498570.67,123073921.62,185191186.94,189608415.95,247177431.96
减：所得税费用,41465902.30,49899549.89,12591547.69,36934132.88,30134075.07,29253819.84
五、净利润,135751123.24,194599020.78,110482373.93,148257054.06,159474340.88,217923612.12
归属于母公司所有者的净利润,140320831.93,170393431.48,102602246.86,136619719.92,138542505.54,193450387.11
少数股东损益,-4569708.69,24205589.30,7880127.07,11637334.14,20931835.34,24473225.01
基本每股收益(元/股),0.293300,0.356200,0.143000,0.190400,0.190000,0.230000
稀释每股收益(元/股),0.293300,0.356200,0.143000,0.190400,0.190000,0.230000
七、其他综合收益,-153301.91,2068759.04,5294648.21,-6451418.00,25988533.58,3606388.21
八、综合收益总额,135597821.33,196667779.82,115777022.14,141805636.06,185462874.46,221530000.33
归属于母公司所有者的综合收益总额,140228267.83,172462190.52,107886585.57,130255055.56,164364564.41,196959715.39
归属于少数股东的综合收益总额,-4630446.50,24205589.30,7890436.57,11550580.50,21098310.05,24570284.94
