,20141231,20151231,20161231,20171231,20181231,20191231
销售商品、提供劳务收到的现金,266180524.99,308361522.65,316412893.70,348821923.85,338963180.17,313829587.30
收到的税费返还,931177.87,1147396.00,1463738.56,1181914.63,845120.87,885205.59
收到的其他与经营活动有关的现金,7539646.30,8138508.23,9112261.10,8393681.87,12962421.99,11920442.73
经营活动现金流入小计,274651349.16,317647426.88,326988893.36,358397520.35,352770723.03,326635235.62
购买商品、接受劳务支付的现金,123358582.49,147377447.72,148752662.26,192080765.73,171413154.80,146538089.00
支付给职工以及为职工支付的现金,30058768.49,30558015.81,30968166.39,35588068.29,38019651.94,40615405.08
支付的各项税费,34075834.60,35464962.71,38976833.43,39829447.25,37798083.05,27784340.59
支付的其他与经营活动有关的现金,38370379.44,30452034.65,33351291.34,37543451.93,39703811.77,36018772.33
经营活动现金流出小计,225863565.02,243852460.89,252048953.42,305041733.20,286934701.56,250956607.00
经营活动产生的现金流量净额,48787784.14,73794965.99,74939939.94,53355787.15,65836021.47,75678628.62
收回投资所收到的现金,0,0,250000000.00,683000000.00,1073000000.00,1044000000.00
取得投资收益所收到的现金,0,0,1337918.42,5605833.91,8008080.13,7528993.57
处置固定资产、无形资产和其他长期资产所收回的现金净额,193000.00,59348.00,76000.00,23155529.30,52834912.00,102420.00
处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0
收到的其他与投资活动有关的现金,0,660000.00,0,963500.00,0,0
投资活动现金流入小计,193000.00,719348.00,251413918.42,712724863.21,1133842992.13,1051631413.57
购建固定资产、无形资产和其他长期资产所支付的现金,15538752.80,31063453.87,57587822.43,46613664.16,39678302.68,50475754.44
投资所支付的现金,0,0,380000000.00,738000000.00,1145550000.00,992000000.00
取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0
支付的其他与投资活动有关的现金,0,0,0,0,0,0
投资活动现金流出小计,15538752.80,31063453.87,437587822.43,784613664.16,1185228302.68,1042475754.44
投资活动产生的现金流量净额,-15345752.80,-30344105.87,-186173904.01,-71888800.95,-51385310.55,9155659.13
吸收投资收到的现金,0,0,242600000.00,23296000.00,26092370.00,7000000.00
其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,7000000.00
取得借款收到的现金,67000000.00,122192445.75,67680993.24,10000000.00,25000000.00,27000000.00
发行债券收到的现金,0,0,0,0,0,0
收到其他与筹资活动有关的现金,0,0,0,0,0,0
筹资活动现金流入小计,67000000.00,122192445.75,310280993.24,33296000.00,51092370.00,34000000.00
偿还债务支付的现金,83500000.00,140192445.75,82680993.24,10000000.00,26000000.00,27000000.00
分配股利、利润或偿付利息所支付的现金,29520939.45,30585736.48,22723973.59,38565937.64,24194242.71,72198323.04
其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0
支付其他与筹资活动有关的现金,0,0,14474962.80,0,0,3709744.50
筹资活动现金流出小计,113020939.45,170778182.23,119879929.63,48565937.64,50194242.71,102908067.54
筹资活动产生的现金流量净额,-46020939.45,-48585736.48,190401063.61,-15269937.64,898127.29,-68908067.54
四、汇率变动对现金及现金等价物的影响,-501.59,1726.53,7505.32,-6102.72,1861.44,6127.66
五、现金及现金等价物净增加额,-12579409.70,-5133149.83,79174604.86,-33809054.16,15350699.65,15932347.87
加:期初现金及现金等价物余额,44659508.56,32080098.86,26946949.03,106121553.89,72312499.73,87663199.38
六、期末现金及现金等价物余额,32080098.86,26946949.03,106121553.89,72312499.73,87663199.38,103595547.25
净利润,50391250.29,54352150.76,67358967.55,80611316.17,110526346.17,57738683.00
少数股东权益,0,0,0,0,0,0
