,20141231,20151231,20161231,20171231,20181231,20191231
货币资金,345935091.90,698436200.90,422143631.34,502473348.31,1193391678.66,568749271.48
交易性金融资产,0,0,0,0,0,0
衍生金融资产,0,0,0,0,0,0
应收票据及应收账款,0,0,219582756.86,576635310.02,899187856.34,779530100.08
应收票据,30110853.91,27061022.19,109849683.69,287673609.79,356393706.64,164431443.50
应收账款,50550225.79,91073138.18,109733073.17,288961700.23,542794149.70,615098656.58
应收款项融资,0,0,0,0,0,190612082.01
预付款项,734244.95,3796167.21,2663704.92,137302001.47,324321968.50,836380835.00
其他应收款(合计),0,0,3165164.70,6512704.57,7388490.92,39312820.16
应收利息,0,0,0,0,0,0
应收股利,0,0,0,0,0,0
其他应收款,1069046.46,1762430.03,3165164.70,6512704.57,7388490.92,39312820.16
买入返售金融资产,0,0,0,0,0,0
存货,127529144.48,214375915.70,288713242.70,517639742.73,604432392.50,621400248.25
划分为持有待售的资产,0,0,0,0,0,0
一年内到期的非流动资产,0,0,0,0,0,0
待摊费用,0,0,0,0,0,0
待处理流动资产损益,0,0,0,0,0,0
其他流动资产,15000000.00,37976041.55,74413099.34,13930473.72,18168097.91,16998035.48
流动资产合计,602678482.19,1074480915.76,1010681599.86,1754493580.82,3046890484.83,3052983392.46
发放贷款及垫款,0,0,0,0,0,0
可供出售金融资产,0,0,0,500000.00,0,0
持有至到期投资,0,0,0,0,0,0
长期应收款,0,0,0,0,0,0
长期股权投资,37020956.47,34342935.18,84445371.87,148483209.33,144163414.53,133340087.97
投资性房地产,0,0,0,0,0,0
在建工程(合计),0,0,247908751.99,397282885.85,79299306.42,94546219.67
在建工程,25152994.26,110848532.17,247908751.99,397282885.85,79299306.42,94546219.67
工程物资,0,0,0,0,0,0
固定资产及清理(合计),0,0,331693296.95,331032842.67,775727434.99,720254464.50
固定资产净额,163606588.41,321782106.68,331693296.95,331032842.67,775727434.99,720254464.50
固定资产清理,0,0,0,0,0,0
生产性生物资产,0,0,0,0,0,0
公益性生物资产,0,0,0,0,0,0
油气资产,0,0,0,0,0,0
使用权资产,0,0,0,0,0,0
无形资产,32849743.93,98081924.81,93990155.71,114164527.94,163351268.06,175614920.13
开发支出,0,6717470.57,18315334.58,43008745.02,71774192.74,105099110.42
商誉,126747644.00,497773843.46,497773843.46,663841978.78,663841978.78,663841978.78
长期待摊费用,3214400.00,21031797.34,39664402.67,65385296.83,56670626.44,55907389.96
递延所得税资产,2669259.35,2749840.04,2741907.55,14720135.32,16146592.60,26001986.81
其他非流动资产,23891618.80,20406185.86,92267769.53,136721878.20,55284878.66,229101050.48
非流动资产合计,415153205.22,1113734636.11,1408800834.31,1915141499.94,2026259693.22,2203707208.72
资产总计,1017831687.41,2188215551.87,2419482434.17,3669635080.76,5073150178.05,5256690601.18
