,20141231,20151231,20161231,20171231,20181231,20191231
货币资金,55007548.11,28850853.29,126128102.05,121203696.17,252304103.66,196524722.93
交易性金融资产,0.00,0.00,0,0,0,0
衍生金融资产,0,0,0,0,0,0
应收票据及应收账款,0,0,47014090.87,139756082.54,62383478.44,63679192.21
应收票据,0.00,0.00,0,0,0,0
应收账款,21383631.06,55811986.55,47014090.87,139756082.54,62383478.44,63679192.21
应收款项融资,0,0,0,0,0,0
预付款项,44050611.81,65340379.37,18077220.65,14217943.11,32578731.42,63764767.51
其他应收款(合计),0,0,6616964.59,8167978.65,5302680.75,4297610.45
应收利息,0.00,0.00,0,0,0,0
应收股利,0.00,0.00,0,0,0,0
其他应收款,4436246.94,5054506.68,6616964.59,8167978.65,5302680.75,4297610.45
买入返售金融资产,0,0,0,0,0,0
存货,132691887.94,52771211.03,71830046.13,88563763.74,204884074.20,96000368.24
划分为持有待售的资产,0,0,0,0,0,0
一年内到期的非流动资产,0.00,0.00,0,0,0,0
待摊费用,0,0,0,0,0,0
待处理流动资产损益,0,0,0,0,0,0
其他流动资产,0.00,0.00,11339068.91,34675242.90,35193554.98,31320928.83
流动资产合计,257569925.86,207828936.92,281005493.20,406584707.11,592646623.45,455587590.17
发放贷款及垫款,0,0,0,0,0,0
可供出售金融资产,0.00,90500000.00,0,0,0,0
持有至到期投资,0,0,0,0,0,0
长期应收款,0.00,0.00,0,0,0,0
长期股权投资,0.00,0.00,971237.89,17304640.10,18142249.27,24906351.55
投资性房地产,0,0,0,0,0,0
在建工程(合计),0,0,8851206.94,46057550.77,36963203.94,41589653.49
在建工程,36558263.98,30888026.03,8851206.94,46057550.77,36963203.94,41589653.49
工程物资,0.00,0.00,0,0,0,0
固定资产及清理(合计),0,0,176144297.16,174810976.36,226837461.06,247869963.05
固定资产净额,129142535.50,152310253.33,176144297.16,174810976.36,226837461.06,247869963.05
固定资产清理,0.00,0.00,0,0,0,0
生产性生物资产,0,0,0,0,0,0
公益性生物资产,0,0,0,0,0,0
油气资产,0,0,0,0,0,0
使用权资产,0,0,0,0,0,0
无形资产,42431213.81,41414068.84,41021551.60,40257971.79,39433805.26,38237693.37
开发支出,0,0,0,0,0,0
商誉,0.00,0.00,0,0,0,0
长期待摊费用,236981.82,194738.31,0,80267.27,1374531.63,1642153.73
递延所得税资产,2979760.55,3243706.48,3155668.94,3787847.26,4921732.35,2087457.69
其他非流动资产,6909350.00,61000.00,0.00,2410000.00,1353399.36,945794.00
非流动资产合计,218258105.66,318611792.99,230143962.53,284709253.55,329026382.87,357279066.88
资产总计,475828031.52,526440729.91,511149455.73,691293960.66,921673006.32,812866657.05
短期借款,15000000.00,53632027.58,87900610.69,102300000.00,115678923.91,111851143.00
交易性金融负债,0,0,0,0,2960000.00,3566800.00
应付票据及应付账款,0,0,150837356.37,140142788.59,178893248.89,156320809.43
应付票据,13721752.62,24467480.00,26600462.56,58442483.15,82620802.00,74259602.83
应付账款,58536589.94,49940022.48,124236893.81,81700305.44,96272446.89,82061206.60
预收款项,202585836.48,198898971.60,76716314.85,95636437.92,222121394.76,129041906.62
应付手续费及佣金,0,0,0,0,0,0
应付职工薪酬,5358014.14,4292495.06,4502911.93,4882588.73,6671632.06,8164914.61
应交税费,14560538.45,18097714.94,8107587.05,5617907.84,6707273.22,4150777.82
其他应付款(合计),0,0,1049633.37,950512.77,1211475.50,412744.68
应付利息,90783.88,106209.72,103719.69,140795.00,945059.35,0
应付股利,3000000.00,0.00,0,0,0,0
其他应付款,315030.05,453648.74,945913.68,809717.77,266416.15,412744.68
预提费用,0,0,0,0,0,0
一年内的递延收益,0,0,0,0,0,0
应付短期债券,0,0,0,0,0,0
一年内到期的非流动负债,0.00,20000000.00,0,0,0,0
其他流动负债,0.00,0.00,0,18670458.09,27994928.06,12672864.11
流动负债合计,313168545.56,369888570.12,329114414.26,368200693.94,562238876.40,426181960.27
长期借款,50000000.00,10000000.00,0,0,0,0
应付债券,0.00,0.00,0,0,0,0
租赁负债,0,0,0,0,0,0
长期应付职工薪酬,0,0,0,0,0,0
长期应付款(合计),0,0,0,0,0,0
长期应付款,0.00,0.00,0,0,0,0
专项应付款,0.00,0.00,0,0,0,0
预计非流动负债,0,0,0,0,0,0
递延所得税负债,0.00,0.00,0,0,0,0
长期递延收益,12328333.34,13759625.01,12399310.63,12761291.63,21351314.71,23107759.93
其他非流动负债,0.00,0.00,0,0,0,0
非流动负债合计,62328333.34,23759625.01,12399310.63,12761291.63,21351314.71,23107759.93
负债合计,375496878.90,393648195.13,341513724.89,380961985.57,583590191.11,449289720.20
实收资本(或股本),65000000.00,65000000.00,65000000.00,112671000.00,202807800.00,202807800.00
资本公积,17543017.31,17543017.31,17543017.31,88560217.31,9690517.31,9745448.52
减：库存股,0,0,0,0,0,0
其他综合收益,0,0,0,0,0,-1190.00
专项储备,0,0,0,0,0,0
盈余公积,1778813.53,5024951.75,8709271.36,12210125.79,15323222.80,18578132.03
一般风险准备,0,0,0,0,0,0
未分配利润,16009321.78,45224565.72,78383442.17,96890631.99,110261275.10,132446746.30
归属于母公司股东权益合计,100331152.62,132792534.78,169635730.84,310331975.09,338082815.21,363576936.85
少数股东权益,0,0,0,0,0,0
所有者权益(或股东权益)合计,100331152.62,132792534.78,169635730.84,310331975.09,338082815.21,363576936.85
负债和所有者权益(或股东权益)总计,475828031.52,526440729.91,511149455.73,691293960.66,921673006.32,812866657.05
