,20141231,20151231,20161231,20171231,20181231,20191231
货币资金,558037577.16,3424564301.89,9191003348.07,4184778367.83,7816800064.49,6579622543.81
交易性金融资产,7991209.11,0,0,0,0,578091841.39
衍生金融资产,0,0,11350101.43,533832.59,1760119.22,12514909.35
应收票据及应收账款,0,1224935058.18,5154410007.94,4807005169.82,10923471709.92,8816447145.27
应收票据,81825383.04,111168341.22,752709811.96,449163016.25,842040602.35,534495670.10
应收账款,1019670761.52,1113766716.96,4401700195.98,4357842153.57,10081431107.57,8281951475.17
应收款项融资,0,0,0,0,0,58894998.42
预付款项,101213010.42,51726881.84,283943332.73,163898562.61,712519817.40,374715010.22
其他应收款(合计),0,191543442.86,502573115.81,601123190.92,620990550.88,840566018.28
应收利息,0,5970014.07,1818200.86,0,0,0
应收股利,0,0,0,0,0,0
其他应收款,114486200.85,185573428.79,500754914.95,601123190.92,620990550.88,840566018.28
买入返售金融资产,0,0,0,0,0,0
存货,877655602.42,1167401597.82,3003625378.63,3787701454.32,7566244980.44,7287081172.45
划分为持有待售的资产,0,0,0,0,0,0
一年内到期的非流动资产,0,0,0,0,0,0
待摊费用,0,0,0,0,0,0
待处理流动资产损益,0,0,0,0,0,0
其他流动资产,27649252.71,925007564.17,619809048.74,1658488793.86,1555347270.91,1239754356.25
流动资产合计,2788528997.23,6985178846.76,18766714333.35,15203529371.95,29197134513.26,25787687995.44
发放贷款及垫款,0,0,0,0,0,0
可供出售金融资产,0,50000000.00,127683809.14,117050015.55,879595676.15,0
持有至到期投资,0,0,0,0,0,0
长期应收款,10742468.36,9333660.04,11209165.55,11366408.81,28085164.37,2280766.96
长期股权投资,4924274.69,31290348.65,117093705.91,163209956.82,75275698.81,873011916.98
投资性房地产,0,0,0,0,0,0
在建工程(合计),0,0,1072097625.17,1362611760.89,1603075595.68,1948466209.56
在建工程,319107239.11,461577727.01,1072097625.17,1362611760.89,1603075595.68,1948466209.56
工程物资,0,0,0,0,0,0
固定资产及清理(合计),0,0,5578169211.23,6284182683.02,12824302162.96,12955863050.62
固定资产净额,2119592718.35,2459676540.97,5578169211.23,6284182683.02,12824302162.96,12955863050.62
固定资产清理,0,0,0,0,0,0
