应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
应付职工薪酬,0,103600833.56,0,110242689.84,102068557.73,102643236.87,90248130.48,67903667.46,40628790.43,38788137.17,30150284.92,31031219.70,0,0,0,
应交税费,0,36245941.06,0,45586315.10,40236820.17,40933957.49,22965875.42,14185161.68,12255998.61,9266062.52,6009270.12,1948246.91,0,0,0,
其他应付款(合计),0,13913433.46,0,21610525.51,13086984.76,19740440.93,12893946.22,39671750.14,0,0,0,0,0,0,0,
应付利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
应付股利,0,0,0,0,0,0,0,8536583.87,8774017.20,8774017.20,37312.45,532497.16,0,0,0,
其他应付款,0,0,0,0,13086984.76,0,0,31135166.27,7467351.64,1089957.79,2335540.42,5420964.84,0,0,0,
预提费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
一年内到期的非流动负债,0,0,0,0,0,5396996.51,10000000.00,3000000.00,0,0,0,0,0,0,0,
其他流动负债,0,0,0,0,0,0,0,0,40700000.00,0,0,0,0,0,0,
流动负债合计,0,830531057.78,0,643495636.67,622844366.22,518257522.54,440276787.76,468002055.71,255762221.33,198319329.26,137944156.43,141390596.38,0,0,0,
长期借款,0,19218774.28,0,14317193.84,32481541.00,16498519.95,32799192.79,19703374.85,24803263.50,20000000.00,0,639178.75,0,0,0,
应付债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
租赁负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
长期应付款(合计),0,0,0,0,0,0,6151116.92,10523876.46,0,0,0,0,0,0,0,
长期应付款,0,0,0,0,0,0,0,0,820352.00,0,0,0,0,0,0,
专项应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
预计非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
递延所得税负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
长期递延收益,0,6031012.08,0,6134550.05,6211288.03,5502219.05,6384760.29,4984345.00,4853830.00,5015185.00,3600605.00,5080000.00,0,0,0,
其他非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
非流动负债合计,0,25249786.36,0,20451743.89,38692829.03,22000739.00,45335070.00,35211596.31,30477445.50,25015185.00,3600605.00,5719178.75,0,0,0,
负债合计,903812700.00,855780844.14,665643700.00,663947380.56,661537195.25,540258261.54,485611857.76,503213652.02,286239666.83,223334514.26,141544761.43,147109775.13,38565400.00,29169400.00,0,
实收资本(或股本),0,136516680.00,0,136516680.00,136516680.00,136516680.00,136516680.00,125516680.00,115928110.00,111411430.00,17068948.00,14986130.00,0,0,0,
资本公积,0,178082019.66,0,178082019.66,197752296.57,189798574.09,189798574.09,93550183.20,44741321.73,23688237.81,89539467.96,50616626.55,0,0,0,
减：库存股,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
其他综合收益,0,-173589.84,0,-742778.12,-687615.85,-1552378.84,-2510526.96,-2150143.25,-1951544.87,-1915922.73,-1707744.15,-666143.51,0,0,0,
专项储备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
盈余公积,0,24273035.01,0,24273035.01,17466596.60,17466596.60,12287880.78,9595554.24,4845147.70,4655399.01,9790979.63,7607325.81,0,0,0,
一般风险准备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
未分配利润,0,236101156.09,0,218037866.86,165048295.49,145266425.38,89758135.91,54934054.61,16371165.00,14048772.84,8744034.85,-17118872.39,0,0,0,
归属于母公司股东权益合计,590256800.00,574799300.92,554811700.00,556166823.41,516096252.81,487495897.23,425850743.82,281446328.80,179934199.56,151887916.93,123435686.29,55425066.46,84001800.00,108035100.00,0,
少数股东权益,0,130637933.70,0,130777561.64,144916914.01,120644688.76,87490863.16,55553065.49,2245683.16,2966998.64,1594661.84,823129.29,0,0,0,
所有者权益(或股东权益)合计,721665100.00,705437234.62,684902900.00,686944385.05,661013166.82,608140585.99,513341606.98,336999394.29,182179882.72,154854915.57,125030348.13,56248195.75,84001800.00,108035100.00,0,
负债和所有者权益(或股东权益)总计,1625477800.00,1561218078.76,1350546600.00,1350891765.61,1322550362.07,1148398847.53,998953464.74,840213046.31,468419549.55,378189429.83,266575109.56,203357970.88,122567200.00,137204500.00,0,
