,20141231,20151231,20161231,20171231,20181231,20191231
一、营业总收入,9787970298.50,8010010888.27,10112537436.36,12535229691.98,14397637076.66,13046256284.52
营业收入,9787970298.50,8010010888.27,10112537436.36,12535229691.98,14397637076.66,13046256284.52
二、营业总成本,9147955522.20,7681785427.31,9740805059.55,11942514423.52,14145980378.33,12369593092.85
营业成本,8127547137.58,6657408655.55,9020239496.22,11085681951.77,12289052225.85,11329567589.30
营业税金及附加,323471376.55,261250059.26,55622391.00,54888901.97,42948723.07,31261958.75
销售费用,156035521.12,140682412.33,186362976.51,239443711.24,264633560.28,176715172.36
管理费用,169739749.76,235172235.84,279177257.16,296936149.74,265104610.57,184240678.60
财务费用,143315317.75,160456926.48,126686664.48,127044000.44,405232882.18,310733220.72
研发费用,0,0,0,29506370.61,386428298.89,337074473.12
资产减值损失,227846419.44,226815137.85,72716274.18,109013337.75,492580077.49,0
公允价值变动收益,0,0,0,0,0,-3252059.32
投资收益,-5633.02,-1052002.57,78879618.96,183057564.71,29974577.93,37986224.81
其中:对联营企业和合营企业的投资收益,-5633.02,-1052002.57,-10123219.52,-6907507.01,-11292609.05,-7303624.62
汇兑收益,0,0,0,0,0,0
三、营业利润,640009143.28,327173458.39,450611995.77,790606297.96,296361457.82,239335081.97
加:营业外收入,7593834.47,44727518.30,30948082.48,63980566.51,83060654.21,64172439.19
减：营业外支出,229271.60,2091297.21,1247373.03,75296409.98,7712863.13,176151560.01
其中：非流动资产处置损失,145271.60,247400.95,427237.20,0,0,0
四、利润总额,647373706.15,369809679.48,480312705.22,779290454.49,371709248.90,127355961.15
减：所得税费用,97703291.02,58954395.54,79872166.31,117226090.54,53502290.52,-5243695.55
五、净利润,549670415.13,310855283.94,400440538.91,662064363.95,318206958.38,132599656.70
归属于母公司所有者的净利润,536543757.02,278921239.04,402721898.97,646707712.19,348388026.53,143877091.34
少数股东损益,13126658.11,31934044.90,-2281360.06,15356651.76,-30181068.15,-11277434.64
基本每股收益(元/股),1.040000,0.510000,0.260000,0.420000,0.230000,0.090000
稀释每股收益(元/股),1.020000,0.510000,0.260000,0.420000,0.230000,0.090000
七、其他综合收益,-7160.76,244373.02,396930.49,-1693203.56,562464.49,651113.14
八、综合收益总额,549663254.37,311099656.96,400837469.40,660371160.39,318769422.87,133250769.84
归属于母公司所有者的综合收益总额,536536596.26,279165612.06,403118829.46,645014508.63,348950491.02,144528204.48
归属于少数股东的综合收益总额,13126658.11,31934044.90,-2281360.06,15356651.76,-30181068.15,-11277434.64
