,20141231,20151231,20161231,20171231,20181231,20191231
一、营业总收入,215165045.43,226802029.58,274682192.25,286359847.67,318813645.89,316379060.65
营业收入,215165045.43,226802029.58,274682192.25,286359847.67,318813645.89,316379060.65
二、营业总成本,173185836.00,180618521.53,231694088.73,259591524.05,287439803.61,272127303.79
营业成本,153909624.02,162912785.96,212405825.68,213756314.31,255016244.18,238635126.06
营业税金及附加,1160782.10,1518297.89,2134291.13,1835264.50,2016933.52,2123010.66
销售费用,5891488.61,6633457.59,9170424.50,11193777.86,11562936.50,12272866.59
管理费用,13016275.85,14536022.17,15921181.81,24687157.34,7646467.08,9568411.93
财务费用,-1790891.07,-7208112.94,-9811276.47,6569896.76,-11147137.33,-4729131.82
研发费用,0,0,0,0,14719202.15,14257020.37
资产减值损失,998556.49,2226070.86,1873642.08,1549113.28,7625157.51,0
公允价值变动收益,0,-530279.51,530279.51,-676475.00,751287.50,-74812.50
投资收益,2797590.43,1590891.45,692665.51,7955048.13,6029267.55,-11068995.55
其中:对联营企业和合营企业的投资收益,0,0,0,2951026.64,4912260.28,-13526824.68
汇兑收益,0,0,0,0,0,0
三、营业利润,44776799.86,47244119.99,44211048.54,34578353.19,38761814.06,29723497.70
加:营业外收入,2791500.00,1460845.06,2456001.09,600.00,179.00,225.00
减：营业外支出,37704.60,11607.55,4000.00,19754.84,24662.18,234882.79
其中：非流动资产处置损失,37604.60,11607.55,1000.00,0,0,0
四、利润总额,47530595.26,48693357.50,46663049.63,34559198.35,38737330.88,29488839.91
减：所得税费用,5478034.86,6485772.90,5615877.59,4112590.60,4077583.56,5985060.02
五、净利润,42052560.40,42207584.60,41047172.04,30446607.75,34659747.32,23503779.89
归属于母公司所有者的净利润,42052560.40,42207584.60,41047172.04,30446607.75,34659747.32,20928978.84
少数股东损益,0,0,0,0,0,2574801.05
基本每股收益(元/股),0.467000,0.469000,0.410000,0.159000,0.181000,0.078000
稀释每股收益(元/股),0.467000,0.469000,0.410000,0.159000,0.181000,0.078000
七、其他综合收益,0,377100.00,286821.96,-567290.67,608027.28,-1842876.68
八、综合收益总额,42052560.40,42584684.60,41333994.00,29879317.08,35267774.60,21660903.21
归属于母公司所有者的综合收益总额,42052560.40,42584684.60,41333994.00,29879317.08,35267774.60,19086102.16
归属于少数股东的综合收益总额,0,0,0,0,0,2574801.05
